"Change in average precipitation by Province, city and Year"

"Province, city";"2010 over 2009";"  2011 over 2010";"2012 over 2011";"2013 over 2012";"2014 over 2013";"2015 over 2014"
"Lai Châu";-118.1;159.9;601.0;37.9;-389.4;27.9
"Sơn La";207.4;-116.4;386.6;60.0;-125.4;388.8
"Tuyên Quang";..;165.2;545.8;-346.6;-149.5;674.5
"Hà Nội";-372.9;556.0;6.0;133.5;-274.1;-140.6
"Bãi  Cháy";274.7;-18.2;318.2;582.1;-802.1;445.6
"Nam Định";-182.2;305.8;5.6;-15.5;-35.9;-371.7
"Vinh";1307.3;-457.9;-366.1;606.8;-1032.8;-2.3
"Huế";-955.1;1627.0;-2111.0;355.7;-416.2;-103.2
"Đà Nẵng";-781.0;1411.0;-1951.7;620.6;-92.6;-351.7
"Qui Nhơn";411.3;-1160.0;-41.9;421.9;-277.0;-276.5
"Pleiku";..;-158.2;-359.7;36.3;213.9;-823.6
"Đà Lạt";..;-199.1;209.5;75.9;143.6;-127.6
"Nha Trang";1265.4;-1330.3;354.1;-316.3;-393.2;478.3
"Vũng Tàu";..;220.2;-167.3;151.0;10.8;-97.9
"Cà Mau";..;201.5;-292.0;-212.6;124.4;231.5
