"Index of land change in 2014 over 2013 by province (As of annual 1st January) by Cities, provincies and Land use"

"Cities, provincies";"Agricultural production land";"Forestry land";"Specially used land";"Homestead land"
"WHOLE COUNTRY";100.2;102.9;101.1;101.0
"Red River Delta";99.8;100.1;100.9;99.9
"Ha Noi";100.7;99.6;100.7;98.6
"Vinh Phuc";100.6;100.0;98.9;100.0
"Bac Ninh";99.5;100.0;101.1;99.0
"Quang Ninh";98.2;100.3;100.9;99.0
"Hai Duong";99.8;100.0;100.7;100.6
"Hai Phong";99.6;97.5;100.7;100.7
"Hung Yen";99.6;..;101.7;100.0
"Thai Binh";99.7;100.0;101.4;100.8
"Ha Nam";98.6;100.0;103.1;101.8
"Nam Dinh";99.9;102.4;100.8;100.9
"Ninh Binh";99.8;100.0;100.5;101.6
"Northern midlands and mountain areas";100.1;106.2;98.4;101.3
"Ha Giang";99.7;100.0;102.2;100.0
"Cao Bang";103.8;98.7;100.0;98.0
"Bac Kan";100.0;100.0;100.8;100.0
"Tuyen Quang";99.1;100.0;101.2;101.8
"Lao Cai";99.3;100.4;102.5;100.0
"Yen Bai";101.6;100.1;99.4;104.1
"Thai Nguyen";100.0;101.1;101.9;99.3
"Lang Son";100.7;100.2;97.1;104.2
"Bac Giang";99.8;100.0;100.2;100.9
"Phu Tho";100.1;100.0;100.7;101.0
"Dien Bien";93.1;105.9;101.9;117.0
"Lai Chau";110.5;175.0;45.0;102.6
"Son La";99.8;100.7;102.1;100.0
"Hoa Binh";99.7;99.9;101.2;100.0
"North Central area and Central coastal area";101.1;101.6;102.1;101.8
"Thanh Hoa";99.7;97.7;100.3;100.6
"Nghe An";100.4;99.9;102.4;105.1
"Ha Tinh";106.5;100.2;100.2;105.4
"Quang Binh";100.2;99.9;100.7;101.9
"Quang Tri";105.9;98.9;102.9;100.0
"Thua Thien Hue";101.5;100.2;102.2;98.9
"Da Nang";95.8;113.7;101.4;100.0
"Quang Nam";101.3;106.2;101.9;100.5
"Quang Ngai";101.0;101.6;102.4;119.4
"Bình Dinh";100.7;117.4;102.0;106.0
"Phu Yen";103.4;100.2;104.5;85.1
"Khanh Hoa";99.9;100.0;100.4;101.5
"Ninh Thuan";99.2;100.2;109.5;97.9
"Binh Thuan";99.6;99.6;106.0;98.7
"Central Highlands";100.1;99.9;102.1;100.7
"Kon Tum";100.2;100.0;103.0;101.2
"Gia Lai";100.0;99.8;101.3;100.6
"Dak Lak";100.3;99.9;100.5;100.7
"Dak Nong";99.7;99.4;109.4;100.0
"Lam Dong";100.1;100.0;101.1;101.1
"South East";99.9;99.9;101.1;100.7
"Binh Phuoc";100.1;99.9;99.4;100.0
"Tay Ninh";99.8;100.0;101.5;101.1
"Binh Duong";99.7;100.0;100.8;100.0
"Dong Nai";99.9;99.9;100.2;100.6
"Ba Ria - Vung Tau";99.9;99.1;104.9;101.7
"TP.Ho Chi Minh";99.6;99.7;101.2;100.8
"Mekong River Delta";100.0;99.7;101.2;101.1
"Long An";100.6;94.6;101.4;104.6
"Tien Giang";100.2;85.4;100.5;100.0
"Ben Tre";99.9;157.8;101.0;100.0
"Tra Vinh";99.9;100.0;101.5;100.0
"Vinh Long";99.8;..;101.0;101.6
"Dong Thap";99.9;100.0;100.8;100.0
"An Giang";99.9;100.0;100.7;100.7
"Kien Giang";99.9;99.2;104.5;100.8
"Can Tho";99.9;100.0;100.9;100.0
"Hau Giang";99.9;102.0;100.0;100.0
"Soc Trang";100.1;100.0;100.0;100.0
"Bac Lieu";100.0;100.0;100.9;100.0
"Ca Mau";100.0;100.0;100.7;100.0
