"Land use (As of 1 January 2014)(*) by Type of land and Use"

"Type of land";"Total area";"Land was allocated for users";"Land was allocated for managers"
"WHOLE COUNTRY";33096.7;25502.7;7594.0
"Agricultural land";26822.9;23425.4;3397.5
"Agricultural production land";10231.7;10101.9;129.8
"Annual crop land";6409.5;6357.4;52.1
"Paddy land";4078.6;4066.1;12.5
"Weed land for animal raising";41.3;29.5;11.8
"Other annual crop land";2289.6;2261.8;27.8
"Perennial crop land";3822.2;3744.5;77.7
"Forestry land";15845.2;12589.3;3255.9
"Productive forest";7598.0;5907.1;1690.9
"Protective forest";5974.7;4592.6;1382.1
"Specially used forest";2272.5;2089.6;182.9
"Water surface land for fishing";707.9;696.9;11.0
"Land for salt production";17.9;17.5;0.4
"Others";20.2;19.8;0.4
"Non-agricultural land";3796.9;1786.0;2010.9
"Homestead land";702.3;696.8;5.5
"Urban";143.8;141.2;2.6
"Rural";558.5;555.6;2.9
"Specially used land";1904.6;904.8;999.8
"Land used by offices and non-profit agencies";19.3;19.0;0.3
"Security and defence land";342.8;342.0;0.8
"Land for non-agricultural production and business";277.9;264.8;13.1
"Public land";1264.6;279.0;985.6
"Religious land";15.3;15.1;0.2
"Cemetery";102.0;91.8;10.2
"Rivers and specialized water surfaces";1068.2;74.7;993.5
"Others'";4.5;2.8;1.7
"Unused land";2476.9;291.3;2185.6
"Unused flat land";224.9;13.5;211.4
"Unused mountainous land";1987.4;270.4;1717.0
"Non tree rocky mountain";264.6;7.4;257.2
