"Land use by province (As of 1 January 2014)(*) by Cities, provincies and Land use"

"Cities, provincies";"Total area";"Agricultural production land";"Forestry land";"Specially used land";"Homestead land"
"WHOLE COUNTRY";33096.7;10231.7;15845.2;1904.6;702.3
"Red River Delta";2106.0;769.3;519.8;318.4;141.0
"Ha Noi";332.4;150.7;24.3;70.5;36.5
"Vinh Phuc";123.8;50.0;32.4;18.7;8.7
"Bac Ninh";82.3;42.0;0.6;18.1;10.0
"Quang Ninh";610.2;49.4;391.5;43.2;10.0
"Hai Duong";165.6;84.4;10.9;30.8;15.7
"Hai Phong";152.7;49.3;19.7;27.5;13.9
"Hung Yen";92.6;53.0;..;18.0;10.0
"Thai Binh";157.1;93.1;1.4;28.9;13.1
"Ha Nam";86.2;42.8;6.3;16.5;5.8
"Nam Dinh";165.3;93.3;4.3;25.7;11.0
"Ninh Binh";137.8;61.3;28.4;20.5;6.3
"Northern midlands and mountain areas";9526.7;1597.7;6098.5;291.8;120.6
"Ha Giang";791.5;155.6;561.7;13.9;6.9
"Cao Bang";670.4;97.8;527.0;14.6;5.0
"Bac Kan";485.9;36.7;379.4;12.4;3.5
"Tuyen Quang";586.7;81.6;446.7;24.9;5.7
"Lao Cai";638.4;83.6;336.2;20.9;3.9
"Yen Bai";688.6;109.3;474.1;15.6;5.1
"Thai Nguyen";353.3;108.1;181.5;21.3;13.7
"Lang Son";832.1;109.5;569.7;26.7;7.5
"Bac Giang";385.0;129.4;140.3;52.6;23.3
"Phu Tho";353.3;98.4;178.7;27.2;9.7
"Dien Bien";956.3;143.4;637.8;11.0;5.5
"Lai Chau";906.9;93.0;739.0;5.4;3.9
"Son La";1417.4;286.5;638.0;19.8;7.4
"Hoa Binh";460.9;64.8;288.4;25.5;19.5
"North Central area and Central coastal area";9583.2;1902.1;5602.3;585.4;185.2
"Thanh Hoa";1113.0;247.5;585.6;73.8;52.7
"Nghe An";1649.0;276.1;963.7;72.0;20.6
"Ha Tinh";599.8;130.1;351.9;44.8;9.7
"Quang Binh";806.5;82.8;630.9;28.6;5.5
"Quang Tri";474.0;95.3;286.9;17.8;4.5
"Thua Thien Hue";503.3;60.8;325.2;32.2;18.1
"Da Nang";128.5;6.9;66.6;42.7;6.5
"Quang Nam";1043.8;115.6;726.6;36.8;21.5
"Quang Ngai";515.3;140.7;274.7;21.7;12.3
"Bình Dinh";605.0;131.2;363.0;30.9;8.8
"Phu Yen";506.1;136.2;253.9;25.8;5.7
"Khanh Hoa";521.8;92.7;226.8;84.1;6.9
"Ninh Thuan";335.8;73.2;186.4;19.6;4.6
"Binh Thuan";781.3;313.0;360.1;54.6;7.8
"Central Highlands";5464.1;2001.6;2811.3;213.9;54.1
"Kon Tum";969.0;215.4;641.1;27.8;8.6
"Gia Lai";1553.7;612.5;728.3;68.2;17.2
"Dak Lak";1312.5;539.1;597.1;64.2;14.8
"Dak Nong";651.6;318.4;263.9;25.6;4.7
"Lam Dong";977.3;316.2;580.9;28.1;8.8
"South East";2359.1;1353.9;511.2;232.4;77.1
"Binh Phuoc";687.1;440.7;176.0;49.6;6.3
"Tay Ninh";403.3;269.9;72.2;26.9;9.1
"Binh Duong";269.4;190.5;15.3;35.6;14.4
"Dong Nai";590.7;276.2;181.4;50.7;17.0
"Ba Ria - Vung Tau";199.0;105.4;32.3;36.1;6.0
"TP.Ho Chi Minh";209.6;71.2;34.0;33.5;24.3
"Mekong River Delta";4057.6;2607.1;302.1;262.7;124.3
"Long An";449.5;313.3;38.8;44.5;24.9
"Tien Giang";250.9;179.2;4.1;21.5;9.4
"Ben Tre";236.0;144.0;7.1;10.6;7.7
"Tra Vinh";234.1;148.0;6.7;13.9;4.5
"Vinh Long";152.0;117.9;..;10.6;6.3
"Dong Thap";337.9;258.9;11.5;24.5;16.9
"An Giang";353.7;278.8;13.9;27.1;15.3
"Kien Giang";634.8;460.3;85.6;25.8;12.3
"Can Tho";140.9;113.4;0.2;11.2;6.4
"Hau Giang";160.2;133.8;5.1;9.9;3.8
"Soc Trang";331.2;208.8;10.2;23.6;6.2
"Bac Lieu";246.9;102.8;4.7;11.1;4.3
"Ca Mau";529.5;147.9;114.2;28.4;6.3
