"Monthly mean humidity at some stations by Year, Cities, provincies and Month"

"Year";"Cities, provincies";"Jan.";"Feb.";"March";"April";"May";"June";"July";"Aug.";"Sep.";"Oct.";"Nov.";"Dec"
"2015";"Lai Chau";75;78;73;73;72;82;84;87;88;84;83;87
"2015";"Son La";80;75;72;70;68;78;83;83;85;81;82;87
"2015";"Tuyen Quang";82;82;87;76;76;75;75;79;83;80;85;84
"2015";"Ha Noi";78;82;88;78;75;75;72;82;83;72;80;75
"2015";"Bai Chay";72;84;89;84;85;86;80;83;86;82;82;81
"2015";"Nam Dinh";82;87;91;83;79;76;76;79;86;79;84;84
"2015";"Vinh";88;92;94;85;72;69;71;77;81;81;87;85
"2015";"Hue";89;90;88;87;77;76;81;80;85;90;90;92
"2015";"Da Nang";82;84;86;83;75;75;73;78;80;82;84;86
"2015";"Qui Nhon";77;79;84;83;83;73;76;79;78;78;86;84
"2015";"Playku";75;74;70;70;80;85;89;89;87;83;81;78
"2015";"Da Lat";81;75;77;82;87;88;87;88;88;87;85;83
"2015";"Nha Trang";74;77;77;76;75;73;72;77;78;79;85;81
"2015";"Vung Tau";77;78;74;75;74;79;80;78;79;79;75;74
"2015";"Ca Mau";79;76;75;74;76;84;83;83;86;83;83;78
"2014";"Lai Chau";76;72;71;76;77;86;86;88;80;79;83;81
"2014";"Son La";77;72;74;75;75;84;85;86;83;82;85;79
"2014";"Tuyen Quang";77;82;87;86;77;82;82;84;83;81;83;76
"2014";"Ha Noi";71;79;87;88;77;80;81;82;78;73;79;67
"2014";"Bai Chay";76;83;92;87;82;84;85;85;83;77;79;70
"2014";"Nam Dinh";79;87;94;90;81;82;83;85;82;79;86;75
"2014";"Vinh";84;91;93;90;74;73;75;76;84;87;89;84
"2014";"Hue";90;91;91;85;78;72;80;79;84;90;91;94
"2014";"Da Nang";82;82;84;83;75;70;78;75;80;84;85;89
"2014";"Qui Nhon";76;80;83;83;80;68;68;71;75;81;80;85
"2014";"Playku";71;71;68;79;80;88;91;86;87;82;80;79
"2014";"Da Lat";78;78;78;90;87;88;90;89;91;87;85;88
"2014";"Nha Trang";72;78;79;78;77;73;74;78;76;78;80;80
"2014";"Vung Tau";71;78;76;74;76;82;82;80;80;80;77;75
"2014";"Ca Mau";76;78;77;76;81;85;85;82;84;84;85;79
"2013";"Lai Chau";89;82;69;79;82;84;90;88;84;81;84;81
"2013";"Son La";84;80;68;75;81;83;89;85;84;79;79;77
"2013";"Tuyen Quang";84;85;78;79;79;78;84;83;86;81;79;78
"2013";"Ha Noi";82;86;80;81;78;74;82;81;82;73;73;68
"2013";"Bai Chay";82;89;86;87;86;83;88;86;85;73;76;72
"2013";"Nam Dinh";87;90;87;87;83;79;86;85;88;79;81;76
"2013";"Vinh";90;91;89;86;75;71;80;78;86;85;89;82
"2013";"Hue";90;90;88;86;79;79;83;80;89;91;93;91
"2013";"Da Nang";84;84;86;83;77;72;79;77;85;83;85;80
"2013";"Qui Nhon";79;81;82;84;81;74;76;73;78;79;83;73
"2013";"Playku";74;71;71;77;80;86;88;90;89;83;79;75
"2013";"Da Lat";81;76;79;84;86;87;87;87;90;87;85;83
"2013";"Nha Trang";74;78;77;78;75;76;78;78;82;80;83;72
"2013";"Vung Tau";75;73;75;75;75;79;81;80;81;80;79;77
"2013";"Ca Mau";78;75;76;79;82;85;85;85;85;85;82;77
"2012";"Lai Chau";84;79;73;71;81;90;91;85;88;84;87;85
"2012";"Son La";85;80;72;71;75;80;84;84;85;81;84;81
"2012";"Tuyen Quang";86;85;82;78;79;81;82;81;84;80;84;83
"2012";"Ha Noi";82;83;82;79;77;74;78;78;76;75;79;79
"2012";"Bai Chay";89;88;88;85;83;83;85;86;80;79;83;81
"2012";"Nam Dinh";91;91;89;85;84;78;80;84;83;80;86;85
"2012";"Vinh";94;92;89;82;76;68;68;76;84;84;87;87
"2012";"Hue";95;91;89;83;80;76;74;74;89;88;90;91
"2012";"Da Nang";87;85;81;80;75;69;72;72;85;83;86;84
"2012";"Qui Nhon";81;81;78;81;75;60;73;64;77;76;80;76
"2012";"Playku";76;75;74;78;82;89;89;90;87;79;78;73
"2012";"Da Lat";81;80;79;85;86;86;87;86;89;82;84;80
"2012";"Nha Trang";78;82;79;82;78;77;75;74;78;79;82;78
"2012";"Vung Tau";77;77;76;79;79;79;81;79;83;78;77;73
"2012";"Ca Mau";78;76;78;78;83;82;85;83;88;83;83;78
"2011";"Lai Chau";78;99;75;78;81;88;84;83;83;79;83;77
"2011";"Son La";84;80;80;80;79;85;84;83;82;80;82;75
"2011";"Tuyen Quang";79;83;83;84;81;82;82;83;84;83;84;75
"2011";"Ha Noi";71;83;80;80;76;80;77;80;80;78;76;67
"2011";"Bai Chay";75;87;85;85;82;86;86;86;82;80;80;71
"2011";"Nam Dinh";75;86;85;84;81;80;79;82;85;84;80;72
"2011";"Vinh";87;88;89;86;79;70;74;80;85;88;86;84
"2011";"Hue";95;91;92;88;84;79;76;81;89;92;91;96
"2011";"Da Nang";83;81;81;82;77;74;70;75;87;86;85;88
"2011";"Qui Nhon";79;78;82;80;77;65;71;70;73;82;81;79
"2011";"Playku";75;76;72;71;83;91;91;90;94;88;81;75
"2011";"Da Lat";85;76;82;79;85;88;89;87;90;87;81;83
"2011";"Nha Trang";83;79;78;77;74;73;75;76;77;83;79;77
"2011";"Vung Tau";77;75;75;77;80;81;83;81;82;82;78;78
"2011";"Ca Mau";75;75;75;76;81;83;82;82;85;80;82;78
"2010";"Lai Chau";77;71;64;75;78;84;86;83;85;82;82;83
"2010";"Son La";76;68;65;76;78;81;83;86;84;81;78;83
"2010";"Tuyen Quang";77;82;82;80;80;79;84;81;81;81;73;75
"2010";"Ha Noi";81;80;78;85;81;74;74;82;79;70;71;77
"2010";"Bai Chay";86;86;82;89;86;83;81;87;86;73;71;78
"2010";"Nam Dinh";89;85;83;90;85;78;80;87;85;77;76;81
"2010";"Vinh";89;86;83;88;78;67;72;84;82;85;83;83
"2010";"Hue";93;90;89;87;79;78;79;88;86;92;93;92
"2010";"Da Nang";84;85;83;83;77;77;77;82;83;85;88;84
"2010";"Qui Nhon";83;84;82;81;79;79;76;75;78;82;89;81
"2010";"Playku";76;76;72;81;85;89;91;90;92;87;78;79
"2010";"Da Lat";81;80;80;84;88;87;90;91;92;89;84;84
"2010";"Nha Trang";78;78;78;78;75;77;80;79;81;82;85;79
"2010";"Vung Tau";74;74;71;79;84;88;91;90;92;86;77;77
"2010";"Ca Mau";78;78;78;82;87;85;89;90;91;87;83;81
