"Monthly sunshine duration at some stations by Year, Cities, provincies and Month"

"Year";"Cities, provincies";"Jan.";"Feb.";"March";"April";"May";"June";"July";"Aug.";"Sep.";"Oct.";"Nov.";"Dec"
"2015";"Lai Chau";192.5;170.8;197.4;217.5;258.1;142.2;123.0;117.0;122.8;172.4;181.7;128.2
"2015";"Son La";181.0;150.1;188.1;222.1;291.1;193.5;165.5;173.1;179.9;221.2;183.1;103.2
"2015";"Tuyen Quang";100.0;74.9;46.8;135.2;240.2;211.3;179.1;191.2;157.0;196.0;106.5;46.2
"2015";"Ha Noi";98.9;43.8;32.4;114.3;204.7;178.0;124.0;157.7;101.0;139.0;83.6;44.6
"2015";"Bai Chay";132.2;42.1;16.3;151.0;178.8;206.5;145.1;193.8;143.6;189.0;116.5;55.8
"2015";"Nam Dinh";114.5;15.7;28.5;130.8;233.7;227.7;136.5;191.8;134.8;147.7;107.3;50.4
"2015";"Vinh";98.5;52.6;52.8;144.5;285.9;278.8;117.3;231.2;175.5;161.9;111.3;40.5
"2015";"Hue";120.1;135.3;167.7;199.1;287.3;270.1;133.9;256.5;225.2;166.2;170.5;105.1
"2015";"Da Nang";151.5;162.4;192.4;232.2;281.7;264.4;143.7;262.2;240.0;192.8;172.9;136.3
"2015";"Qui Nhon";190.8;209.3;274.0;296.2;306.2;270.7;214.4;307.0;245.1;238.8;156.2;149.0
"2015";"Playku";293.8;264.1;284.6;275.3;232.7;188.4;125.4;191.4;174.6;222.6;244.1;259.7
"2015";"Da Lat";260.6;240.0;254.5;195.7;174.5;136.9;108.2;161.8;119.2;178.1;199.7;232.7
"2015";"Nha Trang";209.6;227.5;278.4;167.2;225.1;243.5;211.2;283.7;232.3;216.6;161.6;181.3
"2015";"Vung Tau";217.5;255.2;300.2;295.3;282.5;204.3;205.4;260.5;218.7;228.0;245.4;224.8
"2015";"Ca Mau";192.0;237.0;268.8;267.5;219.3;134.5;167.2;186.5;154.4;160.3;185.2;200.7
"2014";"Lai Chau";191.8;195.1;197.9;219.7;211.5;106.3;144.0;119.2;150.2;145.7;142.4;127.2
"2014";"Son La";188.4;183.1;183.2;208.8;242.2;134.7;179.2;158.4;195.2;205.1;149.4;127.4
"2014";"Tuyen Quang";127.8;42.2;20.4;38.1;202.2;133.7;191.4;180.5;178.5;165.0;86.7;91.8
"2014";"Ha Noi";119.2;31.9;14.9;13.5;181.5;120.3;133.0;107.6;137.7;134.6;86.3;87.5
"2014";"Bai Chay";147.2;28.7;12.8;25.7;165.9;160.5;147.8;132.7;190.8;174.6;115.9;93.8
"2014";"Nam Dinh";116.6;28.6;13.6;11.5;191.0;152.0;135.4;112.3;187.1;137.3;89.1;83.5
"2014";"Vinh";125.2;12.5;41.5;79.5;248.9;188.5;222.9;162.8;182.4;103.5;93.5;41.2
"2014";"Hue";108.2;135.0;109.1;195.2;274.7;222.2;232.5;207.4;216.0;147.3;148.4;29.1
"2014";"Da Nang";104.3;170.3;181.1;228.6;280.2;224.0;231.1;220.7;225.2;166.0;148.9;28.2
"2014";"Qui Nhon";179.9;203.3;269.2;282.7;319.9;219.9;233.4;259.6;242.4;189.0;189.2;49.6
"2014";"Playku";277.9;271.9;291.0;227.6;257.7;133.2;105.8;166.2;160.9;221.7;242.0;192.8
"2014";"Da Lat";237.6;251.1;255.8;149.3;185.3;131.9;85.3;167.6;127.8;170.8;201.9;153.5
"2014";"Nha Trang";168.2;249.1;273.9;284.3;307.6;222.9;230.1;277.7;242.6;208.3;173.7;67.4
"2014";"Vung Tau";207.2;257.1;296.7;272.7;264.1;175.7;190.7;215.6;209.1;205.6;238.2;161.1
"2014";"Ca Mau";175.0;239.4;283.0;244.1;196.0;109.8;128.9;190.9;156.3;145.9;172.2;154.3
"2013";"Lai Chau";117.8;191.8;237.4;184.4;205.0;143.4;102.9;163.4;162.2;148.7;162.5;145.3
"2013";"Son La";93.9;155.2;229.2;192.7;225.0;184.5;137.8;182.6;153.9;163.1;129.1;179.5
"2013";"Tuyen Quang";8.2;60.2;123.0;102.9;191.9;193.6;173.5;181.7;140.9;161.8;77.1;156.7
"2013";"Ha Noi";12.2;38.9;75.4;69.0;158.0;161.7;119.9;140.9;89.4;134.9;68.8;158.7
"2013";"Bai Chay";27.3;30.0;65.4;63.7;123.2;163.9;95.2;151.4;112.5;159.6;85.1;201.4
"2013";"Nam Dinh";13.4;42.0;45.7;71.8;175.7;167.8;131.7;153.8;90.3;123.9;49.0;154.5
"2013";"Vinh";21.0;44.0;106.9;103.9;228.4;224.3;191.4;175.8;66.0;97.6;40.0;73.6
"2013";"Hue";89.4;143.4;159.1;159.6;261.0;225.7;207.0;181.5;129.2;115.5;77.0;17.5
"2013";"Da Nang";126.1;156.5;173.0;172.0;288.3;237.4;214.5;164.0;145.3;136.5;110.8;51.1
"2013";"Qui Nhon";158.4;193.5;269.6;242.9;307.2;211.7;232.5;157.7;173.8;142.6;134.2;116.8
"2013";"Playku";270.3;257.9;254.3;214.1;236.5;155.2;125.7;88.7;95.4;167.4;193.7;251.0
"2013";"Da Lat";224.8;235.1;215.7;177.1;194.2;132.2;124.8;104.9;83.5;162.2;156.6;208.8
"2013";"Nha Trang";183.7;200.4;276.4;245.7;288.4;208.7;232.3;223.3;183.8;189.9;138.1;127.3
"2013";"Vung Tau";201.7;232.7;288.4;203.5;227.7;157.8;157.1;198.7;141.1;190.8;181.0;147.8
"2013";"Ca Mau";150.5;181.1;273.1;199.3;179.8;131.1;142.7;174.0;116.1;158.6;164.8;115.9
"2012";"Lai Chau";115.6;174.7;153.0;250.4;182.4;83.0;100.3;167.1;115.4;182.8;151.7;170.1
"2012";"Son La";90.2;145.3;159.9;248.7;213.3;127.0;171.0;215.8;159.3;211.4;159.9;166.5
"2012";"Tuyen Quang";15.3;16.0;57.4;166.2;194.9;121.2;173.5;224.1;145.1;138.3;82.9;37.6
"2012";"Ha Noi";4.8;18.5;24.3;94.9;0.0;107.7;145.4;160.3;112.0;99.9;99.7;42.2
"2012";"Bai Chay";11.5;16.0;12.7;77.4;162.2;110.4;152.9;168.2;157.0;143.8;85.5;49.4
"2012";"Nam Dinh";3.4;10.7;12.5;104.7;173.4;117.5;175.8;158.9;131.2;112.6;110.0;42.7
"2012";"Vinh";0.1;26.9;61.2;168.1;198.2;145.0;228.9;197.9;143.0;135.1;98.6;57.6
"2012";"Hue";31.0;62.7;111.3;180.1;240.7;194.4;236.3;231.2;144.8;177.8;146.7;108.9
"2012";"Da Nang";63.9;127.0;177.7;209.9;258.2;183.5;242.0;219.4;168.5;162.5;156.2;132.5
"2012";"Qui Nhon";119.9;183.7;222.1;275.2;299.9;220.7;240.9;248.1;196.2;185.9;199.2;175.7
"2012";"Playku";235.8;257.9;235.4;233.0;207.8;137.1;151.8;130.7;139.0;205.3;254.7;281.3
"2012";"Da Lat";156.0;193.5;206.2;200.5;187.2;151.1;141.5;149.7;97.6;194.6;203.1;230.4
"2012";"Nha Trang";114.9;216.2;228.1;280.4;293.8;236.3;249.3;271.9;183.5;213.4;222.8;177.5
"2012";"Vung Tau";205.8;249.5;256.6;265.5;249.7;197.0;199.7;243.4;138.1;216.7;213.9;225.6
"2012";"Ca Mau";135.7;213.2;224.4;227.2;185.4;139.9;145.9;189.3;96.7;165.5;160.0;188.7
"2011";"Lai Chau";47.7;177.6;99.5;156.9;174.0;107.2;166.8;179.1;154.0;140.3;164.9;96.4
"2011";"Son La";31.1;148.9;80.5;143.3;188.2;136.7;190.5;196.4;171.7;163.6;191.3;140.6
"2011";"Tuyen Quang";1.3;35.6;28.0;70.8;171.3;158.4;196.8;214.2;144.0;109.2;155.7;104.3
"2011";"Ha Noi";4.0;37.9;15.0;57.0;138.5;127.2;151.4;151.0;102.7;76.8;106.5;95.6
