"Structure of used land by province (As of 1 January 2014) by Cities, provincies and Land use"

"Cities, provincies";"Total area";"Agricultural production land";"Forestry land";"Specially used land";"Homestead land"
"WHOLE COUNTRY";100.0;30.9;47.9;5.8;2.1
"Red River Delta";100.0;36.5;24.7;15.1;6.7
"Ha Noi";100.0;45.3;7.3;21.2;11.0
"Vinh Phuc";100.0;40.4;26.2;15.1;7.0
"Bac Ninh";100.0;51.0;0.7;22.0;12.2
"Quang Ninh";100.0;8.1;64.2;7.1;1.6
"Hai Duong";100.0;51.0;6.6;18.6;9.5
"Hai Phong";100.0;32.3;12.9;18.0;9.1
"Hung Yen";100.0;57.2;..;19.4;10.8
"Thai Binh";100.0;59.3;0.9;18.4;8.3
"Ha Nam";100.0;49.7;7.3;19.1;6.7
"Nam Dinh";100.0;56.4;2.6;15.5;6.7
"Ninh Binh";100.0;44.5;20.6;14.9;4.6
"Northern midlands and mountain areas";100.0;16.8;64.0;3.1;1.3
"Ha Giang";100.0;19.7;71.0;1.8;0.9
"Cao Bang";100.0;14.6;78.6;2.2;0.7
"Bac Kan";100.0;7.6;78.1;2.6;0.7
"Tuyen Quang";100.0;13.9;76.1;4.2;1.0
"Lao Cai";100.0;13.1;52.7;3.3;0.6
"Yen Bai";100.0;15.9;68.8;2.3;0.7
"Thai Nguyen";100.0;30.6;51.4;6.0;3.9
"Lang Son";100.0;13.2;68.5;3.2;0.9
"Bac Giang";100.0;33.6;36.4;13.7;6.1
"Phu Tho";100.0;27.9;50.6;7.7;2.7
"Dien Bien";100.0;15.0;66.7;1.2;0.6
"Lai Chau";100.0;10.3;81.5;0.6;0.4
"Son La";100.0;20.2;45.0;1.4;0.5
"Hoa Binh";100.0;14.1;62.6;5.5;4.2
"North Central area and Central coastal area";100.0;19.8;58.5;6.1;1.9
"Thanh Hoa";100.0;22.2;52.6;6.6;4.7
"Nghe An";100.0;16.7;58.4;4.4;1.2
"Ha Tinh";100.0;21.7;58.7;7.5;1.6
"Quang Binh";100.0;10.3;78.2;3.5;0.7
"Quang Tri";100.0;20.1;60.5;3.8;0.9
"Thua Thien Hue";100.0;12.1;64.6;6.4;3.6
"Da Nang";100.0;5.4;51.8;33.2;5.1
"Quang Nam";100.0;11.1;69.6;3.5;2.1
"Quang Ngai";100.0;27.3;53.3;4.2;2.4
"Bình Dinh";100.0;21.7;60.0;5.1;1.5
"Phu Yen";100.0;26.9;50.2;5.1;1.1
"Khanh Hoa";100.0;17.8;43.5;16.1;1.3
"Ninh Thuan";100.0;21.8;55.5;5.8;1.4
"Binh Thuan";100.0;40.1;46.1;7.0;1.0
"Central Highlands";100.0;36.6;51.5;3.9;1.0
"Kon Tum";100.0;22.2;66.2;2.9;0.9
"Gia Lai";100.0;39.4;46.9;4.4;1.1
"Dak Lak";100.0;41.1;45.5;4.9;1.1
"Dak Nong";100.0;48.9;40.5;3.9;0.7
"Lam Dong";100.0;32.4;59.4;2.9;0.9
"South East";100.0;57.4;21.7;9.9;3.3
"Binh Phuoc";100.0;64.1;25.6;7.2;0.9
"Tay Ninh";100.0;66.9;17.9;6.7;2.3
"Binh Duong";100.0;70.7;5.7;13.2;5.3
"Dong Nai";100.0;46.8;30.7;8.6;2.9
"Ba Ria - Vung Tau";100.0;53.0;16.2;18.1;3.0
"TP.Ho Chi Minh";100.0;34.0;16.2;16.0;11.6
"Mekong River Delta";100.0;64.3;7.4;6.5;3.1
"Long An";100.0;69.7;8.6;9.9;5.5
"Tien Giang";100.0;71.4;1.6;8.6;3.7
"Ben Tre";100.0;61.0;3.0;4.5;3.3
"Tra Vinh";100.0;63.2;2.9;5.9;1.9
"Vinh Long";100.0;77.6;..;7.0;4.1
"Dong Thap";100.0;76.6;3.4;7.3;5.0
"An Giang";100.0;78.8;3.9;7.7;4.3
"Kien Giang";100.0;72.5;13.5;4.1;1.9
"Can Tho";100.0;80.5;0.1;7.9;4.5
"Hau Giang";100.0;83.5;3.2;6.2;2.4
"Soc Trang";100.0;63.0;3.1;7.1;1.9
"Bac Lieu";100.0;41.6;1.9;4.5;1.7
"Ca Mau";100.0;27.9;21.6;5.4;1.2
