"Total rainfall at some stations by Cities, provinces and Year"

"Cities, provinces";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Lai Chau";1727.0;2476.0;2628.0;1975.9;1857.8;2017.7;2618.7;2656.6;2267.2;2295.1
"Sơn La";1212.0;1353.0;2083.0;1002.4;1209.8;1093.4;1480.0;1540.0;1414.6;1803.4
"Tuyen Quang";1596.0;1294.0;1721.0;1284.3;1284.3;1449.5;1995.3;1648.7;1499.2;2173.7
"Ha Noi";1240.0;1659.0;2268.0;1612.1;1239.2;1795.2;1801.2;1934.7;1660.6;1520.0
"Bai  Chay";1697.0;1432.0;1971.0;1567.3;1842.0;1823.8;2142.0;2724.1;1922.0;2367.6
"Nam Dinh";1114.0;1087.0;1800.0;1643.6;1461.4;1767.2;1772.8;1757.3;1721.4;1349.7
"Vinh";1951.0;1962.0;2120.0;1409.2;2716.5;2258.6;1892.5;2499.3;1466.5;1464.2
"Hue";2479.0;4393.0;3850.0;3809.1;2854.0;4481.0;2370.0;2725.7;2309.5;2206.3
"Da Nang";2233.0;3063.0;2528.0;3017.8;2236.8;3647.8;1696.1;2316.7;2224.1;1872.4
"Qui Nhơn";1291.0;2241.0;2337.0;2273.6;2684.9;1524.9;1483.0;1904.9;1627.9;1351.4
"Pleiku";2178.0;2314.0;1645.0;2725.4;2725.4;2567.2;2207.5;2243.8;2457.7;1634.1
"Da Lat";1698.0;2156.0;1577.0;1849.1;1849.1;1650.0;1859.5;1935.4;2079.0;1951.4
"Nha Trang";819.0;1565.0;2301.0;1392.5;2657.9;1327.6;1681.7;1365.4;972.2;1450.5
"Vung Tau";1514.0;1522.0;1390.0;1162.7;1162.7;1382.9;1215.6;1366.6;1377.4;1279.5
"Ca Mau";2387.0;2606.0;2679.0;2244.4;2244.4;2445.9;2153.9;1941.3;2065.7;2297.2
