"Total sunshine duration at some stations by Cities, provincies and Year"

"Cities, provincies";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Lai Chau";1884.0;1600.0;1645.0;2049.9;1913.8;1664.1;1846.5;1964.8;1951.0;2023.6
"Son La";2063.0;2083.0;1831.0;2208.1;2163.2;1782.8;2068.3;2026.5;2155.1;2251.9
"Tuyen Quang";1421.0;1472.0;1358.0;1578.0;1578.0;1389.6;1372.5;1571.5;1458.3;1684.4
"Ha Noi (Lang station)";1363.0;1462.0;1234.0;1413.0;1256.0;1063.6;909.7;1227.8;1168.0;1322.0
"Bai Chay";1457.0;1409.0;1338.0;1602.2;1285.6;1430.8;1147.0;1278.7;1396.4;1570.7
"Nam Dinh";1418.0;1396.0;1215.0;1454.3;1305.0;1164.6;1153.4;1219.6;1258.0;1519.4
"Vinh";1558.0;1564.0;1314.0;1523.8;1484.0;1188.2;1460.6;1372.9;1502.4;1750.8
"Hue";1899.0;1659.0;1546.0;1860.2;1973.8;1497.5;1865.9;1765.9;2025.1;2237.0
"Da Nang";2193.0;2002.0;1860.0;2112.8;1434.0;1781.6;2101.3;1975.5;2208.6;2432.5
"Qui Nhon";2401.0;2411.0;2289.0;2426.0;2528.6;2178.7;2567.5;2340.9;2638.1;2857.7
"Pleiku";2455.0;2248.0;2349.0;2329.6;2323.6;2214.9;2469.8;2310.2;2548.7;2756.7
"Da Lat";2213.0;1950.0;1920.0;2029.1;2029.1;1912.8;2111.4;2019.9;2117.9;2261.9
"Nha Trang";2712.0;2502.0;2407.0;2493.1;2527.3;2374.3;2688.1;2498.0;2705.8;2638.0
"Vung Tau";2613.0;2349.0;2509.0;2575.9;2575.9;2435.3;2661.5;2328.3;2693.8;2937.8
"Ca Mau";2175.0;1965.0;1939.0;1914.3;1914.3;1892.9;2071.9;1987.0;2195.8;2373.4
