"Water flow of some main rivers by Station, Water flow and Year"

"Station";"Deepest 2002";"Deepest 2003";"Deepest 2004";"Deepest 2005";"Deepest 2006";"Deepest 2007";"Deepest 2008";"Deepest 2009";"Deepest 2010";"Deepest 2011";"Deepest 2012";"Deepest 2013";"Deepest 2014";"Deepest 2015";"Most shallow 2002";"Most shallow 2003";"Most shallow 2004";"Most shallow 2005";"Most shallow 2006";"Most shallow 2007";"Most shallow 2008";"Most shallow 2009";"Most shallow 2010";"Most shallow 2011";"Most shallow 2012";"Most shallow 2013";"Most shallow 2014";"Most shallow 2015"
"Da river - Lai Chau station";7950.0;7000.0;4580.0;..;8620.0;9060.0;593.0;3630.0;2940.0;3220.0;3500.0;4690.0;5150.0;..;238.0;255.0;251.0;..;314.0;121.0;99.0;71.0;362.0;108.0;125.0;89.0;96.0;..
"Da river - Hoa Binh station";10600.0;6990.0;9910.0;8390.0;10200.0;11800.0;8280.0;7490.0;3040.0;3070.0;7320.0;3070.0;4030.0;..;432.0;428.0;229.0;176.0;161.0;128.0;229.0;112.0;70.0;69.0;68.0;69.0;15.0;..
"Thao river - Yen Bai station";609.0;4660.0;2560.0;7450.0;4390.0;326.0;10800.0;3070.0;3070.0;3310.0;4160.0;5340.0;..;..;226.0;166.0;146.0;138.0;142.0;80.0;191.0;135.0;135.0;78.0;117.0;98.0;..;..
"Red river - Son Tay station";21000.0;10300.0;14800.0;11500.0;13400.0;14000.0;14500.0;11500.0;9220.0;9220.0;14800.0;13100.0;6810.0;7250.0;1080.0;1030.0;867.0;979.0;860.0;810.0;700.0;760.0;485.0;485.0;520.0;640.0;640.0;557.0
"Red river - Ha Noi station";13100.0;8160.0;11500.0;8990.0;9900.0;9430.0;10700.0;8240.0;5450.0;5450.0;8540.0;6960.0;6370.0;5730.0;793.0;710.0;656.0;515.0;400.0;525.0;377.0;340.0;175.0;118.0;133.0;145.0;58.0;132.0
"Cau river - Thai Nguyen station";1590.0;1250.0;1300.0;612.0;1580.0;663.0;1070.0;..;1370.0;922.0;850.0;..;..;..;9.5;9.2;10.0;10.0;10.0;11.0;11.0;..;12.0;11.0;10.6;..;..;..
"Luc Nam river - Chu station";3500.0;4700.0;2120.0;3010.0;1060.0;2180.0;4840.0;630.0;2450.0;2450.0;1500.0;2070.0;..;..;..;..;..;..;..;0.0;0.0;3.0;1.0;1.0;..;..;..;..
"Ma river - Xa La station";2580.0;700.0;576.0;..;884.0;700.0;3360.0;1020.0;683.0;..;..;1240.0;1600.0;..;26.6;33.3;242.0;..;18.0;33.0;27.0;317.0;30.0;..;..;26.0;25.0;..
"Ma river - Cam Thuy station";2290.0;3320.0;2700.0;4530.0;3050.0;6720.0;4150.0;1720.0;2360.0;2360.0;3390.0;2480.0;..;..;89.0;177.0;128.0;78.9;96.0;81.0;109.0;115.0;83.0;83.0;52.0;94.0;..;..
"Ca river - Dua station";3690.0;3980.0;2540.0;5100.0;2910.0;5140.0;4610.0;4470.0;3640.0;3580.0;4890.0;5280.0;..;..;63.4;50.7;69.0;73.0;106.0;80.0;106.0;96.0;52.0;51.0;110.0;48.0;..;..
"Ca river - Yen Thuong station";4490.0;4350.0;3070.0;5460.0;5200.0;5880.0;7760.0;5620.0;5060.0;5010.0;4620.0;5280.0;..;..;106.0;102.0;157.0;111.0;105.0;99.0;147.0;90.0;69.0;69.0;135.0;66.0;..;..
"Mekong river - Tan Chau station";24400.0;23100.0;21300.0;..;20700.0;..;..;..;21700.0;..;..;..;..;..;-2280.0;-22.1;-3050.0;..;-2830.0;..;..;..;-2980.0;..;..;..;..;..
"Mekong river - Chau Doc station";6860.0;5730.0;6500.0;6560.0;6490.0;..;..;..;6640.0;..;..;..;..;..;-988.0;-959.0;-1140.0;-1240.0;-1210.0;..;..;..;-1370.0;..;..;..;..;..
