"Water level of some main rivers by Station, Water level and Year"

"Station";"Deepest 2002";"Deepest 2003";"Deepest 2004";"Deepest 2005";"Deepest 2006";"Deepest 2007";"Deepest 2008";"Deepest 2009";"Deepest 2010";"Deepest 2011";"Deepest 2012";"Deepest 2013";"Deepest 2014";"Deepest 2015";"Most shallow 2002";"Most shallow 2003";"Most shallow 2004";"Most shallow 2005";"Most shallow 2006";"Most shallow 2007";"Most shallow 2008";"Most shallow 2009";"Most shallow 2010";"Most shallow 2011";"Most shallow 2012";"Most shallow 2013";"Most shallow 2014";"Most shallow 2015"
"Da river - Lai Chau station";18421;18181;17598;..;18411;18363;17943;17802;19290;19290;21508;21729;21599;21514;16435;16431;16414;..;16432;16445;16446;16354;16260;16260;17550;17743;17874;17919
"Da river - Hoa Binh station";2127;1880;2065;1978;2070;2120;1954;1882;1497;1497;1844;1735;1573;1428;1115;1112;1051;1016;1023;1018;1042;1012;981;981;950;941;936;937
"Thao river - Yen Bai station";3194;3107;3136;3213;3095;3138;3426;3016;3016;3049;3153;3212;..;..;2559;2533;2523;2518;2479;2561;2527;2482;2482;2453;2472;2454;..;..
"Thao river - Phu Tho station";1913;1855;1875;1883;1772;1841;1914;1723;1723;1738;1791;1759;..;..;1418;1384;1366;1354;1367;1339;1347;1332;1332;1298;1273;1270;..;..
"Lo river - Tuyen Quang station";702;2340;2594;2378;2575;2217;2584;2509;2509;2255;2408;2259;..;..;1566;1551;1559;1543;1519;1550;1534;1525;1525;1496;1511;1518;..;..
"Red river - Son Tay station";468;1206;1369;1226;1284;1284;1350;1193;985;958;1161;1056;984;917;481;490;434;399;378;360;327;290;225;225;222;259;207;179
"Red river - Ha Noi station";1201;917;1104;952;997;987;1042;879;646;646;848;722;632;576;257;234;186;158;136;112;80;66;10;10;30;34;24;24
"Cau river - Thai Nguyen station";2679;2593;2598;2387;2651;2400;2527;..;2615;2485;2482;2675;..;..;1969;1976;1982;2002;2021;2060;2009;..;2039;2012;1997;2002;..;..
"Thuong river - Cau Son station";1592;1617;1565;1470;1551;1473;1742;1580;1540;1540;1524;1604;..;1629;1267;1230;1221;1207;1180;1172;1189;850;1226;1226;1214;1190;..;1215
"Thuong river - Phu Lang Thuong station";608;614;638;512;537;393;689;484;428;428;512;629;..;652;33;32;17;-2;3;-12;-16;-9;-18;-18;-15;-21;..;-12
"Luc Nam river - Chu station";1233;1405;1089;1143;752;1026;1575;620;1309;1309;924;1160;..;1363;179;185;182;176;174;180;175;181;174;174;173;174;..;170
"Luc Nam river - Luc Nam station";620;656;603;567;484;476;788;391;587;587;507;561;..;636;31;35;20;11;12;-9;-11;-4;-13;-13;-24;-23;..;-17
"Ma river - Xa La station";28094;27956;27933;..;27947;27956;28213;27994;27935;27935;28084;28121;28164;27896;27754;27759;27752;..;27746;27759;27754;27757;27755;27755;27753;27792;27763;27785
"Ma river - Cam Thuy station";1623;1742;1668;1844;1685;2187;1791;1540;1627;1627;1904;1643;..;1919;1141;1154;1148;1142;1153;1147;1166;1164;1152;1152;1129;1150;..;1141
"Ca river - Dua station";2122;2168;1936;2317;2078;2354;2177;2230;2091;2091;2248;2252;..;1984;1368;1360;1362;1347;1380;1357;1380;1372;1342;1342;1376;1338;..;1327
"Ca river - Yen Thuong station";930;850;678;890;883;987;899;854;876;876;870;890;..;627;132;127;127;90;129;100;125;111;62;62;90;20;..;-18
"Mekong river - Tan Chau station";482;405;441;435;417;408;377;412;412;320;325;435;398;255;-23;-24;-38;-56;-34;-35;-35;-51;-51;-40;-41;-45;-26;-51
"Mekong river - Chau Doc station";442;350;402;390;371;356;320;352;352;282;290;383;320;235;-40;-41;-50;-68;-47;-46;-51;-68;-68;-53;-58;-49;-34;-53
