"Area of concentrated planted forest by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";209.6;203.0;221.8;208.6;230.1;196.4;190.8;190.0;181.3;184.4;177.3;192.7;189.9;200.1;243.0;252.5;212.0;187.0;227.1;221.7;240.6
"Red River Delta";17.8;15.0;16.0;13.5;11.4;12.0;10.5;11.8;11.8;11.4;13.0;17.4;18.5;19.3;18.8;18.0;12.0;14.5;14.0;20.1;14.7
"Ha Noi";0.3;0.7;0.3;0.1;0.1;0.4;0.8;0.5;0.1;0.4;0.3;..;..;0.3;0.1;0.3;..;..;0.2;0.3;0.2
"Ha Tay";1.0;0.9;0.4;0.6;0.2;0.3;0.4;1.1;0.3;0.5;0.4;0.4;0.4;..;..;..;..;..;..;..;..
"Vinh Phuc";1.4;1.3;1.7;1.6;1.5;1.4;1.4;0.9;0.9;0.7;0.7;0.9;0.7;0.9;0.4;0.4;0.3;0.7;0.8;0.6;0.6
"Bac Ninh";..;0.0;0.2;0.2;0.1;0.2;0.2;0.1;0.1;..;0.1;0.1;0.1;..;..;..;..;..;..;..;..
"Quang Ninh";7.3;4.5;5.6;5.9;6.0;7.3;5.3;6.2;6.9;7.6;8.7;13.2;15.5;16.6;16.0;15.1;11.1;13.7;12.7;13.3;13.1
"Hai Duong";1.0;1.1;2.2;1.2;0.2;0.2;0.1;0.1;0.6;0.2;0.2;0.1;0.1;..;..;0.2;..;0.1;..;..;..
"Hai Phong";4.0;0.6;0.9;1.2;0.8;0.4;0.7;1.3;0.9;0.4;0.8;0.6;0.3;0.4;0.8;0.5;0.5;..;..;..;0.3
"Thai Binh";0.4;2.6;2.3;1.1;1.1;0.8;0.8;0.9;1.3;1.2;1.2;1.3;0.5;0.4;0.6;1.0;..;..;0.1;5.7;0.1
"Ha Nam";0.2;0.2;0.4;0.1;0.1;0.2;0.3;0.2;0.2;0.1;0.1;0.2;0.1;0.1;0.2;..;..;..;0.1;..;..
"Nam Dinh";0.7;0.8;1.2;0.9;0.5;0.5;0.3;0.1;0.2;0.1;0.2;0.1;0.2;0.3;0.3;0.3;..;..;0.1;..;0.1
"Ninh Binh";1.5;2.3;0.8;0.6;0.8;0.3;0.2;0.4;0.3;0.2;0.3;0.5;0.6;0.3;0.4;0.2;0.1;..;..;0.1;0.2
"Northern midlands and mountain areas";45.6;55.3;68.7;74.5;76.2;75.0;61.1;61.5;59.9;67.1;56.9;72.7;67.0;78.4;102.7;117.5;98.5;85.2;98.2;85.6;103.7
"Ha Giang";3.4;4.7;4.0;4.0;7.7;8.7;3.2;4.5;5.6;9.5;6.9;8.0;7.2;6.0;16.1;15.6;8.0;3.2;4.1;4.0;11.6
"Cao Bang";0.6;0.8;1.6;5.7;4.0;4.0;1.1;1.4;2.6;2.2;2.2;1.5;1.6;1.9;2.6;2.5;0.6;0.9;6.1;1.6;1.4
"Bac Kan";1.4;2.5;2.8;4.8;5.3;6.1;2.2;3.4;3.9;3.6;2.0;1.9;3.3;4.6;5.3;9.7;14.0;13.0;13.2;9.5;9.2
"Tuyen Quang";5.6;6.5;8.4;7.4;6.6;3.7;5.2;4.8;1.4;3.1;3.8;8.2;7.1;11.4;14.8;15.6;15.0;15.4;14.2;13.7;13.8
"Lao Cai";4.1;4.1;4.6;3.3;2.9;2.4;2.7;2.2;2.2;2.0;2.0;4.6;5.6;4.5;7.5;8.6;5.8;3.5;7.0;7.7;8.2
"Yen Bai";8.6;9.5;10.6;11.3;6.1;6.5;8.0;9.1;4.4;5.1;5.2;13.4;7.9;9.1;14.1;14.2;14.8;14.3;14.9;12.5;15.4
"Thai  Nguyen";2.0;2.8;2.0;2.4;2.0;1.9;2.5;2.0;2.2;1.9;2.1;3.1;5.5;6.4;5.4;7.2;5.6;4.5;6.6;6.4;6.2
"Lang Son";2.5;6.4;8.9;8.6;13.0;15.2;10.6;7.2;11.7;10.1;4.9;5.6;5.2;6.4;6.4;7.8;6.7;5.8;4.9;4.3;6.0
"Bac Giang";5.6;4.6;5.8;6.8;7.7;6.9;4.4;4.5;4.9;4.1;3.9;4.4;4.8;5.7;3.8;6.2;5.4;4.6;7.4;7.2;7.5
