"Area of concentrated planted forest by type of forest by Iterms, Year and Type of forest"

"Iterms";"Year";"Toal";"Production forest";"Protection forest";"Specialized forest"
"Area (Thous. ha )";"2005";177.3;148.5;27.0;1.8
"Area (Thous. ha )";"2006";192.7;162.3;28.4;2.0
"Area (Thous. ha )";"2007";189.9;157.9;29.9;2.1
"Area (Thous. ha )";"2008";200.1;159.3;39.8;1.0
"Area (Thous. ha )";"2009";243.0;195.2;45.6;2.2
"Area (Thous. ha )";"2010";252.5;190.6;57.5;4.4
"Area (Thous. ha )";"2011";212.0;194.3;15.1;2.6
"Area (Thous. ha )";"2012";187.0;171.0;14.6;1.4
"Area (Thous. ha )";"2013";227.1;211.8;14.1;1.2
"Area (Thous. ha )";"2014";221.7;198.6;21.8;1.3
"Area (Thous. ha )";"Prel. 2015";240.6;215.6;23.6;1.4
"Index (Previous year = 100) - %";"2005";96.1;96.9;92.8;90.0
"Index (Previous year = 100) - %";"2006";108.7;109.3;105.2;111.1
"Index (Previous year = 100) - %";"2007";98.5;97.3;105.3;105.0
"Index (Previous year = 100) - %";"2008";105.4;100.9;133.1;47.6
"Index (Previous year = 100) - %";"2009";121.4;122.5;114.6;220.0
"Index (Previous year = 100) - %";"2010";103.9;97.6;126.1;200.0
"Index (Previous year = 100) - %";"2011";84.0;101.9;26.3;59.1
"Index (Previous year = 100) - %";"2012";88.2;88.0;96.7;53.8
"Index (Previous year = 100) - %";"2013";121.4;123.9;96.6;85.7
"Index (Previous year = 100) - %";"2014";97.6;93.8;154.6;108.3
"Index (Previous year = 100) - %";"Prel. 2015";108.5;108.6;108.3;107.7
