"Area of destroyed forest by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";18914.0;5527.2;7123.3;7503.4;5196.3;3542.6;2819.7;5066.0;2040.9;2254.0;3347.3;3124.5;1348.1;3172.2;1563.0;3942.0;6710.3;2251.0;1204.5;716.5;813.0
"Red River Delta";115.0;65.6;517.3;517.5;8.5;212.0;505.0;940.0;536.1;393.7;66.4;7.3;3.2;2.5;8.5;1.8;1.6;134.4;0.7;52.8;1.6
"Ha Noi";..;..;..;..;..;..;..;..;0.1;..;..;..;..;1.0;..;..;..;0.1;0.7;..;..
"Ha Tay";17.0;..;..;..;8.5;..;..;..;5.5;80.0;65.0;3.8;2.0;..;..;..;..;..;..;..;..
"Vinh Phuc";..;..;10.9;2.0;..;..;..;..;..;..;..;..;..;..;..;..;1.6;..;..;..;..
"Quang Ninh";..;..;14.6;15.0;..;..;..;..;19.6;..;..;..;..;0.3;5.1;1.8;..;134.3;..;42.3;1.6
"Hai Duong";..;65.6;..;0.5;..;..;..;..;..;0.3;0.1;..;..;1.1;..;..;..;..;..;3.3;..
"Hai Phong";..;..;..;..;..;..;..;319.0;3.0;13.0;1.2;0.5;..;..;..;..;..;..;..;..;..
"Thai Binh";98.0;..;489.0;..;..;200.0;185.0;..;100.0;300.0;..;..;..;..;..;..;..;..;..;..;..
"Nam Dinh";..;..;..;..;..;12.0;320.0;621.0;255.0;..;..;..;..;0.1;..;..;..;..;..;..;..
"Ninh Binh";..;..;2.8;500.0;..;..;..;..;152.9;0.4;0.1;3.0;1.2;..;3.4;..;..;..;..;7.2;..
"Northern midlands and mountain areas";2199.0;478.7;544.5;2116.1;264.6;332.5;218.2;239.2;179.9;208.2;238.5;241.2;229.0;360.4;309.3;319.5;541.2;267.5;118.3;131.6;212.7
"Ha Giang";143.0;80.0;56.0;56.0;70.0;2.6;14.2;10.6;5.2;11.9;31.7;2.1;2.6;7.0;7.8;..;..;8.7;..;..;0.3
"Cao Bang";12.0;22.0;10.6;1800.0;30.0;5.0;33.6;6.0;17.4;18.2;1.5;0.3;0.2;1.1;22.8;..;..;..;0.7;0.1;..
"Bac Kan";..;..;121.0;52.9;4.0;7.4;..;18.9;28.8;20.0;8.0;2.7;9.1;..;..;2.4;7.6;..;0.8;1.5;2.0
"Tuyen Quang";23.0;8.0;1.6;..;43.5;48.6;..;..;24.5;20.8;36.9;12.6;20.0;57.9;8.6;5.7;17.5;23.0;8.8;9.1;2.6
"Lao Cai";47.0;50.0;..;29.0;..;..;..;..;..;12.0;6.7;3.2;14.0;17.1;0.4;..;..;..;..;..;0.5
"Yen Bai";52.0;25.0;66.1;39.3;24.0;0.2;3.1;8.5;..;..;..;..;..;..;32.9;8.6;92.3;11.5;..;2.3;..
"Thai  Nguyen";388.0;112.0;7.5;0.4;0.5;1.0;0.9;0.9;5.0;1.2;3.0;0.3;0.4;104.4;32.9;..;14.2;..;20.0;0.2;..
"Lang Son";..;..;..;..;0.2;..;9.9;..;..;..;3.0;3.0;7.6;16.7;..;..;1.0;15.2;..;..;..
"Bac Giang";46.0;26.7;3.4;1.7;18.7;1.0;..;0.3;0.2;0.2;4.5;8.9;5.0;..;22.4;..;324.5;..;11.0;..;21.8
"Phu Tho";..;..;..;22.9;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0.5
"Dien Bien";..;..;..;..;..;..;..;..;32.4;21.0;45.5;43.4;38.3;..;9.6;29.9;44.2;0.8;19.2;8.9;148.3
"Lai Chau";1456.0;120.0;178.0;27.9;..;242.1;121.5;107.1;17.9;8.4;0.8;11.7;16.3;155.3;..;11.5;3.9;15.9;..;..;7.9
"Son La";23.0;..;84.3;81.0;70.4;24.6;35.0;86.9;48.0;90.0;90.0;143.5;114.0;0.9;204.8;256.9;36.0;192.4;55.3;109.1;28.2
"Hoa Binh";9.0;35.0;16.0;5.0;3.3;..;..;..;0.5;4.5;6.9;9.5;1.5;..;..;4.5;..;..;2.5;0.5;0.6
"Northern Central area and Central coastal area";2487.0;1440.3;993.3;713.4;1040.0;655.7;199.7;382.8;221.0;268.6;178.5;225.9;124.6;331.8;84.5;307.3;1055.7;699.1;566.1;158.3;201.3
"Thanh Hoa";63.0;6.5;6.4;100.0;159.8;24.0;..;0.7;0.8;0.6;0.7;0.6;..;..;..;..;..;..;2.9;16.9;..
"Nghe An";13.0;..;..;73.0;25.0;..;..;25.3;52.7;11.3;9.2;8.6;6.6;..;..;..;..;9.0;..;..;1.0
"Ha Tinh";15.0;..;..;..;34.0;3.0;1.9;..;6.0;3.0;4.0;2.0;1.0;..;..;..;..;..;..;..;..
"Quang Binh";192.0;24.8;25.6;34.0;114.0;15.4;9.2;12.2;..;..;..;43.2;..;7.0;1.1;4.0;..;2.7;8.4;0.4;..
"Quang Tri";41.0;85.0;23.5;16.1;3.2;..;..;4.4;12.5;6.5;3.8;1.5;8.6;..;..;..;..;..;..;..;..
"Thua Thien-Hue";4.0;5.2;13.8;16.0;10.2;..;..;..;1.8;5.4;0.8;..;19.1;2.1;5.2;9.8;44.8;76.4;53.7;7.1;7.7
"Da Nang";..;..;13.5;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Quang  Nam";1156.0;610.0;13.5;27.5;36.0;58.0;78.0;74.0;58.0;45.0;42.0;39.0;35.0;90.0;27.6;3.9;128.2;245.6;114.9;22.9;38.2
"Quang  Ngai";15.0;4.5;2.8;1.7;1.3;1.1;5.1;21.8;4.0;2.5;59.0;59.0;22.4;101.1;4.6;3.3;174.2;57.2;104.7;40.5;13.0
"Binh Dinh";400.0;77.0;14.6;3.1;3.0;3.7;6.2;8.5;12.0;17.0;21.0;23.0;17.5;10.3;9.1;59.5;349.2;60.2;20.7;46.5;1.8
"Phu Yen";28.0;47.0;447.0;264.0;260.0;145.0;75.0;69.0;35.0;30.0;23.0;25.0;2.1;68.7;22.0;105.7;142.5;100.7;100.5;18.5;126.4
"Khanh  Hoa";159.0;2.3;178.6;9.0;8.5;10.5;9.0;26.2;13.2;0.3;15.0;21.0;7.3;12.7;..;1.8;2.1;..;25.3;1.6;12.5
"Ninh  Thuan";1.0;..;62.0;18.0;6.0;16.0;15.3;13.7;..;..;..;..;..;2.0;..;11.3;105.7;6.3;11.0;0.5;..
"Binh Thuan";400.0;578.0;192.0;151.0;379.0;379.0;..;127.0;25.0;147.0;..;3.0;5.0;37.9;14.9;108.0;109.0;141.0;124.0;3.4;0.8
"Central Highlands";10134.0;2757.5;3356.5;3092.7;3154.0;1547.6;1305.2;1983.4;566.5;457.2;1008.9;996.3;481.3;1040.5;714.8;2951.8;4951.3;1093.7;487.8;355.8;377.0
"Kon Tum";3274.0;..;249.5;441.8;166.0;132.0;155.0;169.0;35.4;6.8;60.0;94.7;60.3;145.3;62.0;72.7;78.0;114.0;80.6;..;4.4
