"Area of forest as of 31 December by province by Cities, provincies, Year and Iterms"

"Cities, provincies";"2008(*) Area of forest";"2008(*) Natural forest";"2008(*) Planted forest";"2008(*) Newplanted are";"2008(*) Proportion of forest coverage  (%)";"2009 Area of forest";"2009 Natural forest";"2009 Planted forest";"2009 Newplanted are";"2009 Proportion of forest coverage  (%)";"2010 (**) Area of forest";"2010 (**) Natural forest";"2010 (**) Planted forest";"2010 (**) Newplanted are";"2010 (**) Proportion of forest coverage  (%)";"2011 Area of forest";"2011 Natural forest";"2011 Planted forest";"2011 Newplanted are";"2011 Proportion of forest coverage  (%)";"2012 Area of forest";"2012 Natural forest";"2012 Planted forest";"2012 Newplanted are";"2012 Proportion of forest coverage  (%)";"2013 Area of forest";"2013 Natural forest";"2013 Planted forest";"2013 Newplanted are";"2013 Proportion of forest coverage  (%)";"2014 Area of forest";"2014 Natural forest";"2014 Planted forest";"2014 Newplanted are";"2014 Proportion of forest coverage  (%)"
" WHOLE COUNTRY";13118.8;10348.6;2770.2;342.7;38.7;13258.7;10338.9;2919.8;..;39.1;13388.1;10304.8;3083.3;357.1;39.5;13515.1;10285.4;3229.7;377.0;39.7;13862.0;10423.8;3438.2;398.4;40.7;13954.4;10398.1;3556.3;396.0;41.0;13796.5;10100.2;3696.3;414.1;40.4
"Red River Delta";416.4;212.8;203.6;36.7;..;428.9;207.6;221.3;..;..;434.9;203.4;231.5;30.4;..;440.8;202.6;238.2;28.9;..;447.7;203.6;244.1;26.9;..;466.0;199.3;266.7;20.4;..;482.9;190.0;292.9;24.1;23.7
"Ha Noi";23.0;5.0;18.0;0.8;6.6;24.5;6.9;17.6;..;7.1;24.3;6.9;17.4;1.0;7.0;24.3;6.9;17.4;1.0;7.0;24.5;6.9;17.6;0.7;7.1;23.8;6.8;17.0;0.9;6.8;23.7;6.8;16.8;1.0;6.8
"Vinh Phuc";28.4;9.4;19.0;1.5;21.8;28.6;9.4;19.2;..;22.3;28.5;9.4;19.2;1.0;22.4;28.2;9.4;18.8;1.0;22.1;31.0;11.1;19.9;1.1;24.1;31.9;12.0;19.9;1.0;25.0;31.8;12.0;19.8;1.0;24.9
"Bac Ninh";0.6;..;0.6;0.2;0.5;0.6;..;0.6;..;0.7;0.6;..;0.6;..;0.7;0.6;..;0.6;..;0.7;0.6;..;0.6;..;0.7;0.6;..;0.6;..;0.7;0.6;..;0.6;..;0.7
"Quang Ninh";291.3;155.9;135.4;32.2;42.6;301.8;149.2;152.6;..;44.4;310.4;147.3;163.0;26.8;46.2;316.6;146.5;170.1;25.6;47.7;322.4;145.9;176.5;24.2;48.9;340.7;141.0;199.7;17.5;53.0;356.2;131.3;224.8;20.6;53.5
"Hai Duong";10.4;2.3;8.1;0.0;6.3;10.3;2.3;8.0;..;6.2;10.2;2.3;7.9;..;6.2;10.4;2.3;8.1;..;6.3;10.4;2.3;8.1;..;6.3;10.4;2.3;8.1;..;6.3;11.1;2.6;8.5;0.2;6.0
"Hai Phong";17.3;10.8;6.5;0.2;11.2;17.8;10.8;7.0;..;11.2;18.0;10.8;7.2;0.8;11.3;18.0;10.8;7.2;0.9;11.3;18.0;10.8;7.2;0.8;11.3;18.0;10.8;7.2;0.8;11.3;18.0;10.8;7.2;0.8;11.3
"Thai Binh";7.5;0.0;7.5;0.7;4.4;7.7;..;7.7;..;4.9;7.3;..;7.3;..;4.8;7.3;..;7.3;..;4.7;5.7;..;5.7;..;3.6;5.7;..;5.7;..;3.6;5.9;..;5.9;..;3.8
"Ha Nam";8.0;5.9;2.1;0.1;9.3;7.4;5.4;2.0;..;8.6;4.8;3.1;1.6;0.3;5.3;4.8;3.1;1.7;0.3;5.3;4.7;3.1;1.6;..;5.5;4.8;3.1;1.6;0.1;5.5;4.8;3.1;1.6;0.1;5.4
"Nam Dinh";2.8;0.0;2.8;0.0;1.7;2.8;..;2.8;..;1.7;3.6;..;3.6;..;2.2;3.7;..;3.7;..;2.2;3.5;..;3.5;..;2.1;3.5;..;3.5;..;2.1;3.5;..;3.5;..;2.1
"Ninh Binh";27.1;23.5;3.6;1.0;18.8;27.4;23.6;3.8;..;19.1;27.2;23.6;3.6;0.5;19.3;26.9;23.5;3.4;0.1;19.2;26.9;23.5;3.4;0.1;19.3;26.6;23.3;3.4;..;19.1;27.4;23.4;4.1;0.4;19.6
"Northern midlands and mountain areas";4558.4;3574.5;983.9;123.2;..;4633.5;3565.8;1067.6;..;..;4675.0;3584.7;1090.3;145.0;..;4746.5;3595.9;1150.6;152.4;..;4925.2;3714.1;1211.1;160.7;..;4959.3;3712.1;1247.2;157.3;..;5030.0;3721.7;1308.2;148.4;50.5
"Ha Giang";422.4;363.9;58.5;6.0;52.6;427.5;360.2;67.3;..;51.6;444.9;367.7;77.2;20.9;53.3;447.9;366.0;81.9;19.0;54.2;447.9;365.4;82.5;11.0;55.2;437.2;356.9;80.3;7.4;54.3;437.0;356.3;80.7;7.0;54.3
