"Area of water surface for the aquaculture by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1988";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";453.6;498.7;504.1;524.5;524.6;641.9;755.2;797.7;867.6;920.1;952.6;976.5;1018.8;1052.6;1044.7;1052.6;1040.5;1038.9;1046.4;1056.3;1057.3
"Red River Delta";67.0;80.6;76.7;76.8;80.7;81.5;85.6;92.2;97.9;102.0;107.8;113.1;117.2;121.2;124.6;124.5;124.8;134.3;125.9;128.8;128.2
"Ha Noi";2.6;2.6;2.7;2.9;3.1;3.4;3.4;3.2;3.3;3.1;3.1;3.4;3.5;18.8;19.5;20.6;20.6;20.8;21.0;23.1;20.6
"Ha Tay";8.1;7.2;6.9;7.0;7.1;7.2;7.4;8.0;8.5;9.6;10.5;12.3;13.0;..;..;..;..;..;..;..;..
"Vinh Phuc";1.9;2.9;3.0;2.4;3.3;3.6;3.9;4.1;4.5;4.9;5.6;5.8;5.9;6.2;7.0;7.0;7.0;6.9;6.9;6.9;7.0
"Bac Ninh";2.9;2.8;2.8;2.8;2.6;2.5;2.7;3.2;3.6;4.1;4.6;4.8;5.0;5.2;5.4;5.4;5.5;5.3;5.4;5.4;5.4
"Quang Ninh";8.3;14.5;13.6;13.7;13.8;13.2;14.2;15.2;17.0;17.3;18.6;18.8;19.0;19.0;19.6;19.1;19.2;22.8;19.1;18.5;19.1
"Hai Duong";2.8;5.5;5.7;5.8;6.3;6.7;7.3;7.6;8.1;8.3;8.6;8.8;9.7;9.9;10.0;9.9;10.2;10.1;10.0;10.1;10.9
"Hai Phong";12.5;13.6;12.9;13.2;13.3;13.1;13.6;14.4;14.6;14.2;13.5;14.0;13.7;13.9;13.9;13.5;12.8;13.5;12.3;12.6;12.0
"Hung Yen";2.0;3.7;3.2;3.3;3.0;3.1;3.6;3.6;3.8;3.9;4.1;4.4;4.5;4.5;4.4;4.4;4.4;4.4;4.4;4.4;5.5
"Thai Binh";9.1;8.8;8.2;8.2;9.5;9.5;9.6;10.0;10.4;11.2;12.2;12.7;13.0;13.0;13.4;13.4;13.5;17.5;14.4;15.0;14.7
"Ha Nam";3.8;4.4;4.4;3.8;3.8;3.9;3.7;4.3;5.0;5.2;5.4;5.5;5.7;5.9;6.2;6.2;6.2;6.1;6.2;6.2;6.0
"Nam Dinh";9.5;11.0;9.8;9.9;11.0;11.6;12.3;12.7;13.2;13.1;14.0;14.2;15.2;15.3;15.5;15.6;15.8;16.2;15.9;15.8;16.0
"Ninh Binh";3.6;3.6;3.6;3.7;3.7;3.7;3.9;5.9;5.9;7.1;7.6;8.4;9.0;9.5;9.7;9.4;9.6;10.7;10.3;10.8;11.0
"Northern midlands and mountain areas";17.8;22.3;18.7;20.2;18.4;20.2;20.9;25.1;28.7;29.8;31.1;33.8;36.2;37.9;40.0;40.8;41.3;41.3;43.0;43.8;45.5
"Ha Giang";0.8;0.8;0.8;0.9;0.9;1.0;1.0;1.1;1.1;1.2;1.2;1.3;1.4;1.5;1.5;1.6;1.6;1.7;1.9;1.9;1.9
