"Area of water surface for the aquaculture by Area of water surface and Year"

"Area of water surface";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"TOTAL";641.9;755.2;797.7;867.6;920.1;952.6;976.5;1018.8;1052.6;1044.7;1052.6;1040.5;1038.9;1046.4;1056.3;1057.3
"Area of marine aquaculture";..;..;..;..;..;..;..;..;..;..;330.2;331.9;333.0;322.2;244.2;252.7
"Area for fish";..;..;..;..;..;..;..;..;..;..;3.2;3.3;3.3;2.5;0.8;0.7
"Area for shrimp";..;..;..;..;..;..;..;..;..;..;305.0;303.0;304.0;290.9;216.2;218.0
"Area for mixed and other aquatic products";..;..;..;..;..;..;..;..;..;..;22.0;25.6;25.7;28.8;27.2;34.0
"Area of inland aquaculture";..;..;..;..;..;..;..;..;..;..;719.2;705.3;702.6;720.6;808.2;800.2
"Brackish water:";396.6;502.0;555.8;612.5;641.9;660.6;682.7;711.1;713.5;704.5;405.0;403.1;405.0;414.7;500.0;492.4
"Area for fish'";50.0;24.7;14.3;13.1;11.2;10.1;17.2;24.4;21.5;23.2;42.2;43.0;46.1;43.1;23.8;24.0
"Area for shrimp,";324.1;454.9;509.6;574.9;598.0;528.3;612.1;633.4;629.3;623.3;324.0;320.1;319.0;336.4;452.4;443.9
"Area for mixed and other aquatic products'";22.5;22.4;31.9;24.5;32.7;122.2;53.4;53.3;62.7;58.0;38.8;40.0;39.9;35.2;23.8;24.5
"Area of fresh water:";244.0;251.2;239.3;252.4;274.9;288.2;290.1;302.8;335.1;336.5;314.2;302.2;297.6;305.9;308.1;307.8
" Area for fish";225.4;228.9;232.3;245.9;267.4;281.7;283.8;294.6;326.0;327.6;302.1;295.0;291.0;299.3;301.3;300.1
" Area for shrimp";16.4;21.8;6.6;5.5;6.4;4.9;4.6;5.4;6.9;6.6;7.1;4.8;4.0;5.0;5.5;6.3
" Area for mixed and other aquatic products";2.2;0.5;0.4;1.0;1.1;1.6;1.7;2.8;2.2;2.3;5.0;2.4;2.6;1.6;1.3;1.3
"Area of water for breeding";1.3;2.0;2.6;2.7;3.3;3.8;3.7;4.9;4.0;3.7;3.2;3.3;3.3;3.6;4.0;4.4
