"Gross output of product per ha of cultivated land and aquaculture water surface by Items, Year and Kinds of activity"

"Items";"Year";"Cultivated land";"Aquaculture water surface"
"Gross output (Mill. Dongs)";"2004";21.1;42.5
"Gross output (Mill. Dongs)";"2005";23.6;47.4
"Gross output (Mill. Dongs)";"2006";26.4;55.4
"Gross output (Mill. Dongs)";"2007";31.6;67.4
"Gross output (Mill. Dongs)";"2008";43.9;77.4
"Gross output (Mill. Dongs)";"2009";45.5;87.1
"Gross output (Mill. Dongs)";"2010";54.6;103.8
"Gross output (Mill. Dongs)";"2011";72.2;135.2
"Gross output (Mill. Dongs)";"2012";72.8;145.3
"Gross output (Mill. Dongs)";"2013";75.7;157.6
"Gross output (Mill. Dongs)";"2014";79.3;177.4
"Gross output (Mill. Dongs)";"Prel. 2015";82.6;169.7
"Index (Previous year = 100) - %";"2004";..;..
"Index (Previous year = 100) - %";"2005";111.8;111.5
"Index (Previous year = 100) - %";"2006";111.9;116.9
"Index (Previous year = 100) - %";"2007";119.7;121.7
"Index (Previous year = 100) - %";"2008";138.9;114.8
"Index (Previous year = 100) - %";"2009";103.6;112.5
"Index (Previous year = 100) - %";"2010";120.0;119.2
"Index (Previous year = 100) - %";"2011";132.2;130.3
"Index (Previous year = 100) - %";"2012";100.8;107.5
"Index (Previous year = 100) - %";"2013";104.0;108.5
"Index (Previous year = 100) - %";"2014";104.8;112.6
"Index (Previous year = 100) - %";"Prel. 2015";104.2;95.7
