"Gross output of wood by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";2793.1;2833.5;2480.0;2216.8;2122.5;2375.6;2397.2;2504.0;2435.8;2627.8;2996.4;3128.5;3461.8;3610.4;3766.7;4042.6;4692.0;5251.0;5908.0;7701.4;8671.6
"Red River Delta";291.8;289.4;201.5;196.1;142.6;148.1;133.5;133.8;121.3;116.4;157.0;163.5;178.8;188.4;182.9;187.3;278.7;318.7;382.4;516.3;483.8
"Ha Noi";8.5;4.8;4.1;4.1;4.1;3.5;3.4;3.5;3.7;3.1;2.3;3.5;2.4;6.4;8.8;10.0;9.8;10.7;17.8;11.8;9.5
"Ha Tay";9.4;9.8;10.3;15.9;10.1;12.8;13.3;7.1;9.9;6.6;6.3;6.4;5.4;..;..;..;..;..;..;..;..
"Vinh Phuc";69.2;65.6;16.6;17.2;15.8;21.7;21.2;30.0;24.2;24.3;27.1;28.2;24.3;27.5;26.7;27.8;25.7;26.4;22.5;27.0;28.2
"Bac Ninh";12.4;6.6;5.5;5.6;5.5;6.8;6.9;6.8;6.2;5.3;4.9;4.6;4.7;4.8;4.8;4.0;4.9;4.8;4.1;4.9;4.8
"Quang Ninh";36.0;36.9;25.8;17.9;13.1;15.1;16.0;21.1;22.9;23.3;54.2;60.1;85.2;93.8;96.5;104.6;200.3;240.4;310.8;429.8;395.0
"Hai Duong";10.0;10.7;0.2;0.3;0.2;1.7;1.7;1.8;2.0;1.9;1.9;1.8;1.8;1.7;2.0;2.5;2.5;1.8;1.1;1.3;1.4
"Hai Phong";30.0;36.2;37.0;35.8;31.8;29.1;21.8;18.7;8.9;8.5;10.5;10.1;7.3;7.1;6.9;6.7;6.7;6.7;2.4;2.7;3.0
"Hung Yen";..;0.0;30.1;31.0;19.8;18.0;14.1;11.3;11.1;10.3;9.1;8.6;7.2;6.9;5.6;5.0;3.7;3.3;2.8;3.2;3.1
"Thai Binh";45.3;56.3;27.1;26.5;9.7;8.7;8.8;8.5;6.5;5.7;4.6;3.8;3.9;3.9;3.9;3.9;3.6;3.7;2.7;3.0;3.0
"Ha Nam";19.7;17.6;17.9;14.5;11.0;12.0;9.3;9.6;11.5;12.0;12.5;12.7;12.7;12.6;12.5;3.9;2.8;2.5;2.0;2.0;2.0
"Nam Dinh";32.3;28.6;20.7;17.7;14.0;11.2;9.3;7.9;6.8;6.7;7.0;6.8;6.9;7.0;7.0;7.5;7.6;7.8;6.8;7.8;7.4
"Ninh Binh";19.0;16.3;6.2;9.6;7.5;7.5;7.7;7.5;7.6;8.7;16.6;16.9;17.0;16.7;8.2;11.4;11.1;10.7;9.4;22.9;26.3
"Northern midlands and mountain areas";790.0;819.4;665.5;652.8;692.3;719.5;751.1;716.2;687.3;786.5;996.7;1063.6;1185.8;1208.7;1279.9;1328.1;1402.9;1590.2;1731.1;2278.1;2626.7
"Ha Giang";58.5;63.8;65.4;64.2;66.5;61.7;56.4;55.6;53.4;52.5;52.3;52.2;61.9;63.1;67.3;73.0;77.5;82.2;83.6;88.7;94.7
"Cao Bang";50.8;53.3;41.4;41.2;39.5;32.4;30.1;22.5;22.3;23.6;23.5;23.4;25.0;26.3;26.3;31.5;19.4;22.0;15.1;20.4;19.6
"Bac Kan";22.3;32.8;27.4;27.0;23.0;22.0;22.7;23.0;25.7;27.3;27.5;32.4;55.1;51.7;56.0;53.8;57.7;87.9;113.0;127.0;148.8
"Tuyen Quang";65.7;61.2;70.0;71.9;72.2;90.2;99.7;89.9;63.4;98.8;152.0;212.8;231.6;215.4;218.2;225.7;225.0;225.5;201.8;393.2;472.3
"Lao Cai";48.6;55.6;22.2;22.2;22.1;25.0;29.9;29.9;30.6;34.2;32.4;34.3;30.1;37.1;43.5;53.9;51.0;60.0;52.8;51.9;52.9
"Yen Bai";56.0;65.5;30.5;37.7;78.0;84.2;103.0;123.0;104.6;148.1;148.6;150.3;200.0;200.0;200.0;200.1;225.0;265.0;360.1;450.0;450.0
