"Livestock population by Items, Year and Livestock"

"Items";"Year";"Buffaloes";"Cattle";"Horses";"Goats, sheep";"Pigs";"Poultry (Mill. heads)"
"Livestock population (Thous. Heads)";"1990";2854.1;3116.9;141.3;372.3;12260.5;107.4
"Livestock population (Thous. Heads)";"1991";2858.6;3135.6;133.7;312.5;12194.3;109.0
"Livestock population (Thous. Heads)";"1992";2886.5;3201.8;133.1;312.3;13891.7;124.5
"Livestock population (Thous. Heads)";"1993";2960.8;3333.0;132.9;353.0;14873.9;133.4
"Livestock population (Thous. Heads)";"1994";2977.3;3466.8;131.1;427.9;15587.7;137.8
"Livestock population (Thous. Heads)";"1995";2962.8;3638.9;126.8;550.5;16306.4;142.1
"Livestock population (Thous. Heads)";"1996";2953.9;3800.0;125.8;512.8;16921.7;151.4
"Livestock population (Thous. Heads)";"1997";2943.6;3904.8;119.8;515.0;17635.9;160.6
"Livestock population (Thous. Heads)";"1998";2951.4;3987.3;122.8;514.3;18132.4;166.4
"Livestock population (Thous. Heads)";"1999";2955.7;4063.6;149.6;470.8;18885.8;179.3
"Livestock population (Thous. Heads)";"2000";2897.2;4127.9;126.5;543.9;20193.8;196.1
"Livestock population (Thous. Heads)";"2001";2807.9;3899.7;113.4;571.9;21800.1;218.1
"Livestock population (Thous. Heads)";"2002";2814.5;4062.9;110.9;621.9;23169.5;233.3
"Livestock population (Thous. Heads)";"2003";2834.9;4394.4;112.5;780.4;24884.6;254.6
"Livestock population (Thous. Heads)";"2004";2869.8;4907.7;110.8;1022.8;26143.7;218.2
"Livestock population (Thous. Heads)";"2005";2922.2;5540.7;110.5;1314.1;27435.0;219.9
"Livestock population (Thous. Heads)";"2006";2921.1;6510.8;87.3;1525.3;26855.3;214.6
"Livestock population (Thous. Heads)";"2007";2996.4;6724.7;103.5;1777.7;26560.7;226.0
"Livestock population (Thous. Heads)";"2008";2897.7;6337.7;121.2;1483.4;26701.6;248.3
"Livestock population (Thous. Heads)";"2009";2886.6;6103.3;102.2;1375.1;27627.7;280.2
"Livestock population (Thous. Heads)";"2010";2877.0;5808.3;93.1;1288.4;27373.3;300.5
"Livestock population (Thous. Heads)";"2011";2712.0;5436.6;88.1;1267.8;27056.0;322.6
"Livestock population (Thous. Heads)";"2012";2627.8;5194.2;..;1343.6;26494.0;308.5
"Livestock population (Thous. Heads)";"2013";2559.5;5156.7;..;1466.3;26264.4;317.7
"Livestock population (Thous. Heads)";"2014";2521.4;5234.3;..;1668.9;26761.4;327.7
"Livestock population (Thous. Heads)";"Prel. 2015";2524.0;5367.2;..;1885.2;27750.7;341.9
"Index (Previous year =100) - %";"1990";99.4;97.4;99.4;96.1;100.4;102.5
"Index (Previous year =100) - %";"1991";100.2;100.6;94.6;83.9;99.5;101.5
"Index (Previous year =100) - %";"1992";101.0;102.1;99.6;99.9;113.9;114.2
"Index (Previous year =100) - %";"1993";102.6;104.1;99.8;113.0;107.1;107.1
"Index (Previous year =100) - %";"1994";100.6;104.0;98.6;121.2;104.8;103.3
"Index (Previous year =100) - %";"1995";99.5;105.0;96.7;128.7;104.6;103.1
"Index (Previous year =100) - %";"1996";99.7;104.4;99.2;93.2;103.8;106.5
"Index (Previous year =100) - %";"1997";99.7;102.8;95.2;100.4;104.2;106.1
"Index (Previous year =100) - %";"1998";100.3;102.1;102.5;99.9;102.8;103.6
"Index (Previous year =100) - %";"1999";100.1;101.9;121.8;91.5;104.2;107.8
"Index (Previous year =100) - %";"2000";98.0;101.6;84.6;115.5;106.9;109.4
"Index (Previous year =100) - %";"2001";96.9;94.5;89.6;105.1;108.0;111.2
"Index (Previous year =100) - %";"2002";100.2;104.2;97.8;108.7;106.3;107.0
"Index (Previous year =100) - %";"2003";100.7;108.2;101.4;125.5;107.4;109.1
"Index (Previous year =100) - %";"2004";101.2;111.7;98.5;131.1;105.1;85.7
"Index (Previous year =100) - %";"2005";101.8;112.9;99.7;128.5;104.9;100.8
"Index (Previous year =100) - %";"2006";100.0;117.5;79.0;116.1;97.9;97.6
"Index (Previous year =100) - %";"2007";102.6;103.3;118.5;116.5;98.9;105.3
"Index (Previous year =100) - %";"2008";96.7;94.2;117.1;83.4;100.5;109.9
"Index (Previous year =100) - %";"2009";99.6;96.3;84.3;92.7;103.5;112.8
"Index (Previous year =100) - %";"2010";99.7;95.2;91.1;93.7;99.1;107.2
"Index (Previous year =100) - %";"2011";94.3;93.6;94.6;98.4;98.8;107.4
"Index (Previous year =100) - %";"2012";96.9;95.5;..;106.0;97.9;95.6
"Index (Previous year =100) - %";"2013";97.4;99.3;..;109.1;99.1;103.0
"Index (Previous year =100) - %";"2014";98.5;101.5;..;113.8;101.9;103.1
"Index (Previous year =100) - %";"Prel. 2015";100.1;102.5;..;113.0;103.7;104.3
