"Number of buffaloes as of annual 1st October by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";2962.8;2953.9;2943.6;2951.4;2955.7;2897.2;2807.9;2814.5;2834.9;2869.8;2922.2;2921.1;2996.4;2897.7;2886.6;2877.0;2712.0;2627.8;2559.5;2521.4;2524.0
"Red River Delta";349.6;333.2;316.2;302.7;293.7;278.1;244.0;233.3;227.1;216.4;209.1;184.1;176.9;171.6;170.6;168.3;155.3;145.7;137.6;134.4;130.5
"Ha Noi";18.7;17.7;17.4;16.7;16.2;15.4;13.8;12.7;12.4;11.2;11.5;10.2;7.3;28.9;28.3;26.9;25.1;24.2;23.9;23.7;23.1
"Ha Tay";47.2;43.3;40.4;37.1;36.2;34.4;31.1;28.6;27.4;26.2;22.8;18.3;18.0;..;..;..;..;..;..;..;..
"Vinh Phuc";35.7;36.1;36.6;36.5;37.1;37.2;32.6;33.4;33.2;32.3;31.6;27.9;26.7;25.1;26.0;26.9;24.2;21.5;21.5;20.5;20.2
"Bac Ninh";21.2;20.6;19.6;19.1;18.3;17.1;12.7;12.0;11.3;9.5;8.0;5.5;4.1;3.5;3.2;2.9;2.8;2.5;2.4;2.4;2.4
"Quang Ninh";62.1;63.9;64.4;66.1;65.0;64.4;61.8;62.1;62.1;61.8;63.2;63.5;66.1;64.1;63.9;63.8;56.6;53.4;46.5;45.5;43.9
"Hai Duong";41.3;46.7;41.5;39.0;38.2;35.6;30.1;27.0;24.7;21.6;18.7;13.5;9.9;8.5;8.0;6.8;6.3;5.4;5.1;5.0;4.6
"Hai Phong";29.8;28.0;25.6;22.9;21.1;17.2;15.4;12.9;12.2;10.9;10.5;10.0;9.5;9.0;9.4;8.9;8.3;8.0;7.6;7.0;6.8
"Hung Yen";18.1;9.9;9.0;7.6;6.6;6.0;5.5;5.2;4.8;3.9;3.3;2.4;2.1;2.0;2.3;2.4;2.3;2.4;2.5;2.4;2.2
"Thai Binh";21.1;17.3;15.5;13.7;12.4;11.1;8.0;7.6;7.1;6.7;6.7;5.4;5.8;5.6;5.5;6.6;5.1;4.3;4.4;4.4;4.3
"Ha Nam";10.8;10.0;8.8;7.8;6.5;5.2;4.2;3.6;3.6;3.4;3.3;2.4;2.6;2.3;2.6;2.8;2.9;2.8;2.9;2.9;2.6
"Nam Dinh";18.2;16.8;15.3;14.1;13.8;12.6;9.7;9.4;9.3;9.1;9.1;8.0;8.0;6.8;6.2;5.5;6.6;6.5;6.3;6.2;6.1
"Ninh Binh";25.4;22.9;22.1;22.1;22.2;21.9;19.1;18.8;19.0;19.8;20.4;17.0;16.8;15.8;15.2;14.8;15.1;14.7;14.5;14.4;14.3
"Northern midlands and mountain areas";1467.8;1494.2;1521.5;1559.7;1591.0;1562.0;1537.8;1550.6;1561.4;1589.1;1616.3;1639.4;1697.2;1624.4;1626.3;1618.2;1506.2;1453.6;1424.2;1410.6;1412.2
"Ha Giang";110.5;113.7;117.0;120.5;126.2;132.2;130.2;129.9;133.0;134.7;138.1;141.1;147.0;146.4;152.8;158.3;156.3;158.7;158.3;155.2;157.1
"Cao Bang";140.5;111.9;113.9;115.3;115.9;108.7;106.2;107.5;108.8;111.2;112.5;114.7;117.4;107.1;108.0;109.3;102.1;100.8;97.4;97.2;98.8
"Bac Kan";82.5;85.1;87.3;91.5;92.3;87.0;80.1;83.0;81.7;83.5;83.0;83.9;87.9;77.7;75.2;66.9;60.8;53.0;52.2;53.4;55.0
"Tuyen Quang";122.9;126.3;129.4;132.5;134.6;137.4;136.7;131.8;129.5;131.8;133.1;138.4;143.2;145.1;144.8;134.6;116.9;104.9;102.8;104.6;107.2
"Lao Cai";90.9;92.9;94.5;98.2;100.4;100.3;117.0;120.9;124.4;102.4;106.7;121.3;127.0;125.5;131.0;134.9;123.6;123.7;120.9;120.1;122.0
"Yen Bai";75.5;77.6;79.1;81.1;82.2;83.3;87.6;89.2;93.2;96.3;101.1;107.1;111.7;110.0;112.4;102.4;102.3;97.4;96.4;95.8;97.5
"Thai  Nguyen";103.0;136.0;134.7;135.9;137.3;135.9;122.1;121.5;114.7;112.3;111.1;109.1;108.6;106.9;96.7;88.5;73.9;70.6;69.9;69.6;69.0
"Lang Son";198.6;198.7;204.4;211.0;218.2;188.8;185.2;185.2;188.2;188.7;188.5;175.1;182.2;160.9;155.7;155.3;132.4;122.7;119.8;118.7;121.2
"Bac Giang";138.8;136.1;134.6;131.1;131.0;125.3;100.8;99.0;94.2;94.3;92.0;90.7;91.2;87.3;84.6;83.7;74.7;68.8;62.0;59.5;56.5
"Phu Tho";84.8;85.8;84.9;86.2;87.6;88.5;90.7;92.3;94.3;96.1;97.1;92.9;95.2;89.2;88.8;86.5;77.3;73.5;70.9;70.6;69.1
"Dien Bien";..;..;..;..;..;..;..;..;..;95.9;99.6;101.2;105.2;107.9;111.1;115.4;113.4;116.2;119.5;118.5;119.2
"Lai Chau";102.9;105.8;109.5;118.2;122.6;127.1;134.6;139.0;144.1;79.8;84.7;86.1;92.4;89.0;92.8;98.8;96.0;89.3;90.2;90.3;93.8
"Son La";107.3;111.3;114.6;115.3;116.1;119.2;128.7;130.8;133.1;139.6;143.8;155.2;162.1;158.6;162.5;170.2;166.1;168.5;158.4;153.0;142.8
"Hoa Binh";109.6;113.0;117.6;122.9;126.7;128.3;117.9;120.5;122.2;122.5;125.0;122.6;126.1;112.8;109.9;113.4;110.4;105.5;105.5;104.1;103.0
"Northern Central area and Central coastal area";825.0;817.5;821.1;818.6;815.8;823.5;826.5;832.4;851.5;867.0;894.6;906.8;931.9;908.9;893.6;889.8;855.7;839.0;815.4;803.4;814.6
"Thanh Hoa";220.9;219.0;217.6;215.9;214.9;216.5;215.4;204.4;212.4;216.7;224.1;224.6;234.7;227.3;210.5;207.9;206.2;195.9;190.2;182.8;190.1
"Nghe An";247.0;250.1;253.5;257.3;261.2;265.9;271.7;283.4;287.9;288.8;293.6;286.6;292.2;296.5;306.1;308.6;300.1;296.4;292.0;291.1;292.7
"Ha Tinh";90.5;90.6;93.5;95.6;96.7;99.1;100.0;101.1;104.8;109.0;115.0;109.2;109.8;102.0;99.6;94.7;89.8;86.0;78.6;77.6;79.0
"Quang Binh";28.4;28.9;29.4;29.4;29.4;30.1;33.6;35.8;36.0;36.7;37.5;39.4;41.2;41.3;41.7;41.7;34.0;33.7;33.1;32.7;34.2
"Quang Tri";37.4;38.7;39.1;35.5;34.7;35.4;37.1;36.0;36.5;37.9;40.9;40.9;39.7;35.6;32.6;30.6;26.8;25.8;24.7;24.2;23.5
