"Number of cattles as of annual 1st  by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";3638.9;3800.0;3904.8;3987.3;4063.6;4127.9;3899.7;4062.9;4394.4;4907.7;5540.7;6510.8;6724.7;6337.7;6103.3;5808.3;5436.6;5194.2;5156.7;5234.3;5367.2
"Red River Delta";452.1;457.1;464.8;470.5;484.4;502.9;495.4;517.3;558.1;623.4;709.9;821.5;822.9;729.9;695.0;651.7;603.4;517.2;496.6;492.8;496.6
"Ha Noi";35.8;35.0;35.5;35.5;35.5;36.6;39.2;41.7;43.3;45.1;47.5;52.3;56.0;207.4;198.7;184.6;173.3;141.7;141.7;140.5;141.9
"Ha Tay";95.7;96.6;96.7;91.3;89.4;90.5;95.0;98.2;105.7;119.8;140.3;161.7;162.6;..;..;..;..;..;..;..;..
"Vinh Phuc";92.3;94.5;94.2;94.7;95.4;99.4;101.5;108.2;121.4;134.8;149.6;177.1;166.2;142.9;140.0;138.7;122.6;94.1;95.5;97.3;102.0
"Bac Ninh";35.3;36.9;37.0;39.1;40.7;42.6;42.0;44.0;48.3;54.6;59.8;62.2;60.6;49.6;44.6;42.3;40.3;36.1;35.7;34.6;34.0
"Quang Ninh";10.8;11.6;12.3;13.7;14.3;14.6;12.5;15.2;15.8;18.9;24.1;28.5;30.2;27.4;26.0;24.9;21.7;19.2;17.5;17.6;18.1
"Hai Duong";35.4;34.1;34.3;35.7;36.4;37.5;40.6;42.2;43.1;44.6;47.4;59.0;55.9;43.5;38.2;28.4;22.9;22.0;20.7;20.8;21.3
"Hai Phong";5.2;6.0;7.2;8.5;9.7;10.3;10.7;10.5;11.1;12.1;13.8;16.4;17.9;16.5;17.4;17.1;16.7;15.9;14.0;13.7;13.7
"Hung Yen";34.2;35.3;36.9;32.0;28.9;29.2;29.8;30.5;31.6;36.9;43.2;50.0;50.7;46.9;47.0;43.8;43.4;44.1;37.9;38.0;38.0
"Thai Binh";40.3;40.6;44.1;49.0;54.0;57.4;40.2;41.0;43.6;47.4;54.0;63.7;66.8;64.2;65.4;64.4;60.1;49.9;44.1;41.6;40.0
"Ha Nam";19.9;23.8;23.7;23.4;24.9;27.5;26.4;27.2;29.9;34.8;42.3;45.0;48.5;40.1;37.0;38.2;34.7;27.7;26.4;26.8;27.6
"Nam Dinh";22.8;20.6;21.7;23.9;27.9;28.4;27.0;27.1;29.4;34.1;39.0;46.0;47.5;41.4;37.4;34.7;37.0;35.7;34.5;33.3;30.6
"Ninh Binh";24.4;22.1;21.2;23.7;27.3;28.9;30.5;31.5;34.9;40.3;48.9;59.6;60.0;50.0;43.3;34.6;30.7;30.8;28.6;28.6;29.4
"Northern midlands and mountain areas";536.8;559.7;581.9;612.4;638.4;651.1;685.3;710.7;755.5;809.6;875.7;1026.6;1088.8;1058.9;1031.7;993.7;924.7;904.6;896.7;909.1;943.1
"Ha Giang";42.7;44.2;45.8;48.0;52.0;54.6;60.5;62.6;65.6;69.1;72.7;80.2;84.3;90.1;95.9;101.7;103.0;103.8;106.1;100.1;102.0
"Cao Bang";106.7;96.0;99.9;102.5;106.3;104.3;110.1;111.4;114.5;117.9;124.4;124.3;129.5;123.1;126.1;129.8;122.6;121.1;119.5;120.9;123.3
"Bac Kan";12.3;20.2;21.3;28.3;30.0;32.5;32.0;33.5;35.3;37.2;38.6;40.2;44.9;36.2;31.0;25.1;22.4;20.2;19.8;20.1;21.1
"Tuyen Quang";19.1;20.1;20.4;19.4;19.1;19.3;20.1;26.7;32.5;38.5;43.0;48.2;55.3;56.2;51.7;26.7;20.9;18.4;17.5;18.3;19.4
"Lao Cai";8.7;9.9;10.6;11.3;15.9;17.6;17.9;18.5;19.2;16.6;19.5;23.2;23.9;23.3;23.9;23.4;17.2;16.3;14.6;14.7;15.4
"Yen Bai";26.1;27.5;28.6;29.7;29.8;30.1;28.1;27.5;26.5;26.3;28.1;33.1;38.8;36.5;34.3;24.3;20.5;19.0;18.2;18.8;19.7
"Thai  Nguyen";12.0;18.7;19.1;20.9;22.0;23.4;25.6;26.1;32.4;39.9;43.3;56.0;57.0;55.0;43.8;36.9;30.8;34.8;36.1;36.6;38.0
"Lang Son";33.0;34.1;36.2;39.4;43.0;42.5;45.3;46.0;48.4;48.8;52.7;51.6;57.1;50.4;45.6;44.3;38.0;31.9;31.9;31.8;33.2
