"Number of farms by kinds of manufacturing sector and by province by Cities, provincies, Year and kinds of manufacturing sector"

"Cities, provincies";"2011 Total";"2011 Cultivation farm";"2011 Livestock farm";"2011 Fishing farm";"2011 Others(*)";"2012 Total";"2012 Cultivation farm";"2012 Livestock farm";"2012 Fishing farm";"2012 Others(*)";"2013 Total";"2013 Cultivation farm";"2013 Livestock farm";"2013 Fishing farm";"2013 Others(*)";"2014 Total";"2014 Cultivation farm";"2014 Livestock farm";"2014 Fishing farm";"2014 Others(*)";"2015 Total";"2015 Cultivation farm";"2015 Livestock farm";"2015 Fishing farm";"2015 Others(*)"
" WHOLE COUNTRY";20078;8635;6267;4440;736;22655;8861;8133;4720;941;23774;8745;9206;4690;1133;27114;8935;12642;4644;893;29389;9178;15068;4175;968
"Red River Delta";3512;43;2439;923;107;4472;35;3174;986;277;5197;31;3779;1017;370;6133;36;4851;922;324;7258;41;5998;932;287
"Ha Noi";1123;15;919;152;37;1233;11;919;188;115;1291;11;944;180;156;1637;11;1346;132;148;2137;16;1849;131;141
"Vinh Phuc";79;..;10;63;6;508;..;460;36;12;589;..;532;33;24;600;..;534;51;15;691;..;628;49;14
"Bac Ninh";311;..;266;13;32;74;..;65;2;7;78;..;73;4;1;94;..;91;2;1;108;..;105;1;2
"Quang Ninh";63;..;61;1;1;141;4;44;88;5;212;4;84;109;15;316;8;136;139;33;329;6;140;152;31
"Hai Duong";289;..;272;13;4;506;3;419;16;68;525;2;451;23;49;579;4;505;26;44;626;4;553;24;45
"Hai Phong";398;2;299;85;12;421;1;347;63;10;571;3;458;78;32;614;..;519;89;6;624;..;528;90;6
"Hung Yen";189;6;177;3;3;353;4;345;3;1;416;5;404;4;3;584;8;569;5;2;659;12;639;5;3
"Thai Binh";524;5;169;341;9;600;4;265;320;11;650;1;279;316;54;721;2;474;204;41;781;..;573;199;9
"Ha Nam";215;11;176;24;4;240;6;176;26;32;418;4;371;23;20;468;2;443;13;10;769;2;740;17;10
"Nam Dinh";306;3;76;227;..;366;2;116;243;5;391;1;138;247;5;412;1;150;254;7;424;1;159;257;7
"Ninh Binh";15;..;14;1;..;30;..;18;1;11;56;..;45;..;11;108;..;84;7;17;110;..;84;7;19
"Northern midlands and mountain areas";593;38;519;21;15;929;40;828;31;30;1120;64;917;36;103;1456;162;1184;27;83;1637;183;1327;34;93
"Ha Giang";7;7;..;..;..;5;5;..;..;..;8;8;..;..;..;18;15;2;..;1;33;31;1;..;1
"Cao Bang";..;..;..;..;..;2;..;1;..;1;3;..;2;..;1;3;..;2;..;1;3;..;2;..;1
"Bac Kan";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1;..;1;..;..;1;..;1;..;..
"Tuyen Quang";23;9;10;..;4;23;6;9;..;8;37;4;14;..;19;90;60;20;1;9;111;49;41;..;21
"Lao Cai";..;..;..;..;..;12;..;11;1;..;10;..;9;1;..;21;..;19;1;1;76;1;58;4;13
"Yen Bai";137;1;123;10;3;9;..;9;..;..;14;..;14;..;..;19;2;17;..;..;18;2;16;..;..
"Thai  Nguyen";270;2;268;..;..;416;2;411;3;..;445;2;440;3;..;548;..;548;..;..;548;..;548;..;..
"Lang Son";2;..;2;..;..;2;..;2;..;..;4;..;4;..;..;6;..;6;..;..;3;..;3;..;..
"Bac Giang";137;1;123;10;3;256;6;231;13;6;310;6;283;16;5;445;32;387;10;16;487;37;429;16;5
"Phu Tho";65;3;43;11;8;112;4;86;14;8;124;3;66;11;44;136;3;93;9;31;167;2;126;9;30
"Dien Bien";..;..;..;..;..;5;1;2;..;2;8;4;2;..;2;12;6;3;1;2;10;5;3;1;1
"Lai Chau";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3;..;..;2;1;4;..;1;2;1
"Son La";29;..;29;..;..;29;1;28;..;..;29;1;28;..;..;37;2;35;..;..;48;2;46;..;..
"Hoa Binh";53;16;37;..;..;58;15;38;..;5;128;36;55;5;32;117;42;51;3;21;128;54;52;2;20
"Northern Central area and Central coastal area";1750;756;507;261;226;2266;865;767;304;330;2450;875;886;289;400;2900;1003;1268;289;340;3145;1109;1390;265;381
"Thanh Hoa";374;32;200;120;22;530;50;324;130;26;587;51;342;124;70;697;42;498;128;29;710;44;509;112;45
"Nghe An";159;24;86;29;20;230;16;110;33;71;239;17;120;33;69;314;30;178;35;71;327;29;187;35;76
"Ha Tinh";14;..;4;7;3;86;5;43;14;24;137;6;87;16;28;181;9;140;18;14;190;9;152;16;13
"Quang Binh";531;288;32;54;157;579;293;52;53;181;616;300;70;51;195;627;283;96;55;193;651;282;114;50;205
"Quang Tri";5;1;2;2;..;24;13;4;5;2;26;12;5;4;5;32;13;11;5;3;39;13;12;7;7
"Thua Thien-Hue";20;..;11;4;5;40;..;21;14;5;42;..;23;14;5;45;..;29;12;4;48;..;34;10;4
"Da Nang";12;..;6;1;5;11;..;6;..;5;9;..;5;..;4;9;..;5;..;4;10;..;8;..;2
"Quang  Nam";86;..;72;9;5;98;..;78;12;8;111;..;92;7;12;117;1;105;4;7;117;1;105;3;8
"Quang  Ngai";..;..;..;..;..;20;1;16;..;3;20;..;16;..;4;31;..;23;..;8;43;..;29;..;14
"Binh Dinh";17;1;14;..;2;30;1;27;..;2;39;1;36;..;2;61;1;57;..;3;84;1;80;..;3
"Phu Yen";45;34;2;7;2;64;46;6;11;1;74;52;10;11;1;101;74;16;7;4;123;80;32;7;4
"Khanh  Hoa";56;24;31;..;1;62;35;25;1;1;59;32;27;..;..;69;37;32;..;..;71;37;34;..;..
"Ninh  Thuan";45;18;13;14;..;52;19;14;18;1;50;15;17;18;..;55;16;23;16;..;67;12;39;16;..
"Binh Thuan";386;334;34;14;4;440;386;41;13;..;441;389;36;11;5;561;497;55;9;..;665;601;55;9;..
"Central Highlands";2528;2134;370;9;15;2622;2149;453;4;16;2676;2167;478;4;27;2928;2127;759;3;39;3275;2319;907;4;45
"Kon Tum";55;55;..;..;..;61;59;2;..;..;62;59;3;..;..;67;61;5;..;1;66;59;4;1;2
"Gia Lai";577;564;13;..;..;609;585;24;..;..;624;595;23;..;6;643;609;31;..;3;667;619;45;..;3
"Dak Lak";535;371;146;9;9;582;401;161;4;16;553;379;157;4;13;583;318;234;3;28;668;329;304;3;32
"Dak Nong";985;967;13;..;5;913;897;16;..;..;953;928;17;..;8;876;819;51;..;6;1057;990;60;..;7
"Lam Dong";376;177;198;..;1;457;207;250;..;..;484;206;278;..;..;759;320;438;..;1;817;322;494;..;1
"South East";5389;3430;1851;54;54;5474;3465;1903;52;54;5565;3268;2204;50;43;6098;2766;3256;50;26;6727;2766;3886;49;26
"Binh Phuoc";1237;1146;88;..;3;1371;1280;89;..;2;1326;1197;121;..;8;945;798;147;..;..;968;794;174;..;..
"Tay Ninh";856;814;37;5;..;987;937;42;6;2;937;877;52;6;2;1092;965;125;..;2;1091;962;127;..;2
"Binh  Duong";1223;879;341;2;1;1131;793;335;2;1;1149;751;395;3;..;1105;545;549;8;3;1100;509;579;9;3
"Dong Nai";1764;520;1177;18;49;1621;389;1172;13;47;1749;377;1329;12;31;2532;398;2099;17;18;3055;439;2578;20;18
"Ba Ria - Vung Tau";199;68;120;7;4;224;66;142;14;2;235;66;153;14;2;286;60;211;12;3;298;62;221;12;3
"Ho Chi Minh city";110;..;88;22;..;140;..;123;17;..;169;..;154;15;..;138;..;125;13;..;215;..;207;8;..
"Mekong River Delta";6306;2234;581;3172;319;6892;2307;1008;3343;234;6766;2340;942;3294;190;7599;2841;1324;3353;81;7347;2760;1560;2891;136
"Long An";564;302;250;12;..;807;433;364;10;..;731;438;284;9;..;937;552;373;7;5;965;564;383;10;8
"Tien Giang";167;3;123;40;1;297;13;220;64;..;283;11;232;39;1;370;18;306;46;..;410;18;352;..;40
"Ben Tre";82;1;78;2;1;318;3;269;46;..;279;4;231;44;..;410;4;360;46;..;550;4;501;45;..
"Tra Vinh";19;1;2;16;..;63;6;10;46;1;70;5;19;45;1;96;6;25;64;1;108;6;40;61;1
"Vinh Long";32;8;21;2;1;37;8;26;3;..;40;8;29;3;..;87;4;80;1;2;99;7;89;1;2
"Dong Thap";219;171;2;39;7;229;167;12;44;6;224;161;18;39;6;361;280;39;38;4;370;274;59;33;4
"An Giang";663;605;3;52;3;571;533;8;30;..;539;510;10;19;..;758;715;17;26;..;697;653;18;26;..
"Kien  Giang";568;531;5;32;..;576;516;8;26;26;608;542;16;35;15;625;566;8;50;1;634;575;8;50;1
"Can Tho";28;3;2;23;..;36;..;7;29;..;36;..;8;28;..;39;..;14;25;..;35;..;15;20;..
"Hau Giang";4;1;1;..;2;4;1;1;..;2;3;1;1;..;1;11;2;7;1;1;11;2;7;1;1
"Soc Trang";325;198;64;60;3;328;215;61;52;..;380;222;77;80;1;370;213;72;68;17;452;194;65;169;24
"Bac Lieu";3613;408;26;2876;303;3589;412;19;2959;199;3536;438;16;2917;165;3479;481;21;2927;50;2953;463;21;2414;55
"Ca Mau";22;..;4;18;..;37;..;3;34;..;37;..;1;36;..;56;..;2;54;..;63;..;2;61;..
