"Number of farms by province by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";57069;61017;61787;86141;110832;114362;113699;116222;120699;135437;145880;20078;22655;23774;27114;29389
"Red River Delta";2214;2697;2796;6308;9350;10960;15222;16085;17318;20581;23574;3512;4472;5197;6133;7258
"Ha Noi";203;140;145;277;466;462;491;490;2511;3207;3561;1123;1233;1291;1637;2137
"Ha Tay";88;181;190;491;596;844;1574;1782;..;..;..;..;..;..;..;..
"Vinh Phuc";115;124;146;475;482;525;686;832;946;1327;1953;311;508;589;600;691
"Bac Ninh";43;33;33;214;1501;1757;1788;1859;1962;2477;2679;79;74;78;94;108
"Quang Ninh";568;863;857;1277;1219;1323;1378;1352;1440;2161;2253;63;141;212;316;329
"Hai Duong";126;171;177;240;489;619;717;927;1179;1229;2523;289;506;525;579;626
"Hai Phong";243;344;367;805;889;1043;1418;1474;1631;2011;2209;398;421;571;614;624
"Hung Yen";14;59;44;947;1535;1105;2186;2264;2402;2414;2384;189;353;416;584;659
"Thai Binh";155;105;125;347;543;1182;2875;2920;2989;3281;3376;524;600;650;721;781
"Ha Nam";19;39;74;244;298;273;547;558;572;560;574;215;240;418;468;769
"Nam Dinh";261;344;344;580;761;1134;927;997;963;1170;1265;306;366;391;412;424
"Ninh Binh";379;294;294;411;571;693;635;630;723;744;797;15;30;56;108;110
"Northern midlands and mountain areas";2507;2473;2516;3949;4165;4545;3850;3835;4423;4680;6108;593;929;1120;1456;1637
"Ha Giang";172;181;181;223;162;173;154;158;169;204;211;7;5;8;18;33
"Cao Bang";18;12;13;14;58;54;55;57;57;49;55;..;2;3;3;3
"Bac Kan";1;12;12;14;21;24;21;40;10;8;8;..;..;..;1;1
"Tuyen Quang";77;68;68;84;83;99;77;54;54;81;95;23;23;37;90;111
"Lao Cai";6;201;188;193;122;129;213;257;253;260;252;..;12;10;21;76
"Yen Bai";695;839;857;877;928;1030;319;319;307;409;438;7;9;14;19;18
"Thai  Nguyen";320;379;379;429;661;662;587;584;638;702;923;270;416;445;548;548
"Lang Son";5;77;77;158;127;126;27;31;26;31;25;2;2;4;6;3
"Bac Giang";752;377;386;1140;1146;1364;1406;1324;1785;1281;2369;137;256;310;445;487
"Phu Tho";179;192;192;450;457;489;470;470;555;892;935;65;112;124;136;167
"Dien Bien";94;23;36;122;139;113;127;138;152;168;198;..;5;8;12;10
"Lai Chau";..;..;..;..;12;25;116;116;120;221;223;..;..;..;3;4
"Son La";94;38;48;110;126;120;92;89;111;114;114;29;29;29;37;48
"Hoa Binh";94;74;79;135;123;137;186;198;186;260;262;53;58;128;117;128
"Northern Central area and Central coastal area";8527;7791;8120;13607;15873;16788;17378;18015;18202;20420;21491;1750;2266;2450;2900;3145
"Thanh Hoa";1874;1564;1661;2326;2882;3359;3384;3655;3687;3963;4146;374;530;587;697;710
"Nghe An";1336;306;316;772;853;1072;954;979;1133;1723;1859;159;230;239;314;327
"Ha Tinh";280;44;73;86;277;340;403;447;478;1237;1218;14;86;137;181;190
"Quang Binh";318;425;425;713;714;700;796;849;943;1325;1587;531;579;616;627;651
"Quang Tri";256;525;529;604;668;746;741;957;911;1060;902;5;24;26;32;39
"Thua Thien-Hue";20;149;212;341;488;489;478;482;497;546;591;20;40;42;45;48
"Da Nang";36;259;199;283;252;260;327;328;328;328;332;12;11;9;9;10
"Quang  Nam";305;423;456;703;798;916;933;917;994;994;1165;86;98;111;117;117
"Quang  Ngai";43;63;74;304;349;353;322;337;363;376;377;..;20;20;31;43
"Binh Dinh";595;400;450;766;913;1124;993;1019;1019;1019;1039;17;30;39;61;84
"Phu Yen";1293;910;915;2502;2613;2701;2735;2750;2661;2661;2702;45;64;74;101;123
"Khanh  Hoa";850;849;849;1951;2011;1784;2498;2449;2430;2430;1952;56;62;59;69;71
"Ninh  Thuan";407;706;757;972;1172;1048;930;930;756;756;814;45;52;50;55;67
"Binh Thuan";914;1168;1204;1284;1883;1896;1884;1916;2002;2002;2807;386;440;441;561;665
"Central Highlands";3589;6035;6223;6650;9450;9623;8730;9240;9481;8835;8932;2528;2622;2676;2928;3275
"Kon Tum";255;252;365;303;350;373;417;473;528;575;605;55;61;62;67;66
"Gia Lai";1200;1439;1459;1807;2090;2107;2128;2144;2194;2349;2386;577;609;624;643;667
"Dak Lak";1418;3989;4032;4088;1240;1391;802;1235;1198;1481;1492;535;582;553;583;668
"Dak Nong";..;..;..;..;3886;3774;4592;4591;4664;3514;3501;985;913;953;876;1057
"Lam Dong";716;355;367;452;1884;1978;791;797;897;916;948;376;457;484;759;817
