"Number of pigs as of annual 1st October by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";16306.4;16921.7;17635.8;18132.4;18885.8;20193.8;21800.1;23169.5;24884.6;26143.7;27435.0;26855.3;26560.7;26701.6;27627.6;27373.3;27056.0;26494.0;26264.4;26761.4;27750.7
"Red River Delta";4516.8;4587.0;4871.8;5053.9;5322.6;5687.7;6226.8;6635.3;7113.0;7264.9;7795.5;7472.9;7248.2;7334.2;7444.0;7301.0;7092.2;6855.2;6759.5;6824.8;7061.2
"Ha Noi";271.6;280.8;296.5;298.3;302.9;307.9;341.3;366.6;366.6;372.0;372.1;347.1;349.7;1669.7;1682.0;1625.2;1533.1;1377.1;1380.1;1420.5;1498.3
"Ha Tay";680.0;716.4;751.3;780.9;830.8;896.8;1030.7;1117.4;1224.8;1137.9;1320.2;1134.3;1208.7;..;..;..;..;..;..;..;..
"Vinh Phuc";347.1;345.3;369.5;385.9;399.9;461.8;432.8;466.8;496.2;520.5;549.0;555.0;551.6;490.5;533.9;548.7;498.0;480.1;488.6;509.5;535.7
"Bac Ninh";293.2;296.2;332.0;368.8;398.5;419.7;417.5;443.6;473.3;451.3;462.7;441.2;384.9;416.9;437.5;389.3;392.1;385.0;375.4;383.7;405.1
"Quang Ninh";237.5;250.8;257.2;258.9;271.5;289.2;305.0;328.2;355.4;366.4;374.9;304.1;357.7;362.4;348.2;354.5;330.8;330.5;332.0;340.7;356.9
"Hai Duong";506.8;518.0;552.8;566.7;589.7;613.5;709.4;752.9;787.3;820.1;855.5;873.2;614.5;629.4;597.7;586.2;537.6;537.1;544.4;557.2;592.1
"Hai Phong";389.0;390.2;418.8;430.8;464.8;483.0;518.2;562.9;588.0;589.2;612.8;611.9;537.5;531.9;533.6;526.0;541.4;526.9;515.1;487.3;484.7
"Hung Yen";310.6;318.6;333.2;344.3;371.4;400.2;432.8;459.2;499.3;545.6;599.6;548.3;600.5;615.1;608.6;630.1;644.6;640.3;623.3;589.2;594.4
"Thai Binh";521.6;502.3;540.9;582.1;616.8;690.8;778.3;794.6;905.9;1015.1;1133.8;1055.0;1042.1;1023.1;1111.1;1131.2;1118.3;1099.1;1061.5;1030.0;1041.3
