"Number of poultry as of annual 1st October by province by Cities, provincies and Year"

"Cities, provincies";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";196188.0;218102.0;233287.0;254610.0;218153.0;219911.0;214565.0;226027.0;248320.0;280181.0;300498.0;322569.0;308461.0;317697.0;327696.0;341906.0
"Red River Delta";54742.0;58952.0;61994.0;67951.0;61251.0;64465.0;61151.0;64303.0;68640.0;72524.0;76535.0;83165.0;81344.0;87885.0;88928.0;90949.0
"Ha Noi";2938.0;3155.0;3299.0;3321.0;2759.0;3391.0;2896.0;3436.0;15696.0;16508.0;17261.0;18228.0;17996.0;21244.0;21616.0;21801.0
"Ha Tay";7743.0;8824.0;9912.0;11393.0;10485.0;10766.0;10070.0;10820.0;..;..;..;..;..;..;..;..
"Vinh Phuc";5018.0;6871.0;5231.0;6028.0;5030.0;5410.0;5842.0;7107.0;7050.0;7033.0;7338.0;8464.0;8434.0;8843.0;7817.0;8390.0
"Bac Ninh";3038.0;3406.0;3802.0;3956.0;3388.0;3676.0;3312.0;3807.0;3924.0;3971.0;4250.0;4440.0;4150.0;4487.0;4580.0;4704.0
"Quang Ninh";2165.0;1815.0;2299.0;2448.0;2167.0;2105.0;2760.0;2024.0;2113.0;1938.0;2363.0;2521.0;2419.0;2525.0;2578.0;2741.0
"Hai Duong";7003.0;7312.0;7981.0;8592.0;7758.0;8034.0;7046.0;6686.0;6857.0;7123.0;8106.0;9948.0;9842.0;10591.0;10266.0;10186.0
"Hai Phong";4247.0;4438.0;4567.0;5051.0;4396.0;4591.0;4285.0;4817.0;5532.0;5809.0;6208.0;6708.0;6607.0;7083.0;7390.0;7579.0
"Hung Yen";5543.0;5790.0;6073.0;6179.0;6206.0;6496.0;5023.0;5582.0;6263.0;6991.0;7597.0;7953.0;7644.0;7701.0;8107.0;8303.0
"Thai Binh";6615.0;6360.0;7085.0;8531.0;7796.0;8150.0;7699.0;7773.0;7962.0;8549.0;8899.0;9097.0;8711.0;9344.0;10159.0;10469.0
"Ha Nam";2573.0;3187.0;3276.0;3510.0;3348.0;3412.0;3867.0;3913.0;4316.0;5000.0;4499.0;5468.0;5331.0;5409.0;5507.0;5529.0
"Nam Dinh";4846.0;5027.0;5415.0;5729.0;5068.0;5399.0;5278.0;5406.0;5533.0;6051.0;6394.0;6645.0;6560.0;6893.0;7103.0;7279.0
"Ninh Binh";3013.0;2767.0;3054.0;3213.0;2850.0;3036.0;3073.0;2932.0;3394.0;3551.0;3620.0;3694.0;3650.0;3765.0;3805.0;3966.0
"Northern midlands and mountain areas";34514.0;40387.0;43116.0;47591.0;45218.0;47835.0;48026.0;51693.0;55447.0;61224.0;67002.0;65927.0;62526.0;63230.0;66970.0;70567.0
"Ha Giang";1223.0;1597.0;1745.0;2055.0;2047.0;2139.0;2478.0;2595.0;2742.0;2913.0;3041.0;3232.0;3166.0;3403.0;3876.0;4042.0
"Cao Bang";1549.0;1509.0;1590.0;1845.0;1909.0;1968.0;2158.0;2089.0;2113.0;2075.0;2145.0;2130.0;1975.0;2044.0;2146.0;2187.0
"Bac Kan";1227.0;948.0;990.0;1208.0;1220.0;1205.0;1126.0;1012.0;1200.0;1208.0;1182.0;1209.0;1142.0;1228.0;1442.0;1413.0
"Tuyen Quang";2432.0;3029.0;3366.0;3982.0;4131.0;4374.0;2549.0;3032.0;3611.0;4779.0;5718.0;3945.0;3519.0;3838.0;3975.0;4274.0
"Lao Cai";1376.0;1965.0;2074.0;2100.0;1857.0;1981.0;2174.0;2506.0;2623.0;2711.0;2883.0;2942.0;2309.0;2464.0;2686.0;2800.0
"Yen Bai";2411.0;2429.0;2526.0;2674.0;2324.0;2507.0;2667.0;2784.0;2881.0;3042.0;3097.0;3372.0;3363.0;3539.0;3734.0;3870.0
"Thai  Nguyen";2621.0;4700.0;5015.0;4818.0;4735.0;4669.0;4844.0;5071.0;5295.0;6066.0;6823.0;7602.0;7564.0;8179.0;8915.0;9552.0
"Lang Son";2962.0;3495.0;3534.0;3641.0;3658.0;3703.0;3160.0;3055.0;3284.0;4131.0;3758.0;3944.8;3330.0;3517.0;3711.0;3855.0
"Bac Giang";7077.0;7564.0;8102.0;9662.0;8257.0;9075.0;10280.0;10979.0;12067.0;14338.0;15425.0;15543.0;14962.0;13415.0;14014.0;15486.0
"Phu Tho";6559.0;6295.0;7060.0;7757.0;7205.0;7887.0;7838.0;8068.0;8495.0;8860.0;11127.0;9796.0;9499.0;10027.0;10519.0;10536.0
"Dien Bien";738.0;841.0;892.0;1000.0;800.0;917.0;1117.0;1417.0;1634.0;1880.0;2020.0;2337.0;2302.0;2493.0;2614.0;2833.0
"Lai Chau";..;..;..;..;493.0;526.0;815.0;853.0;900.0;953.0;1011.0;996.0;915.0;974.0;807.0;834.0
"Son La";2016.0;3051.0;3172.0;3306.0;3171.0;3402.0;3753.0;4848.0;5014.0;4496.0;4890.0;4838.0;4604.0;4472.0;4752.0;4936.0
"Hoa Binh";2323.0;2964.0;3050.0;3543.0;3411.0;3483.0;3068.0;3383.0;3588.0;3772.0;3882.0;4040.0;3876.0;3637.0;3779.0;3949.0
"Northern Central area and Central coastal area";40385.0;44870.0;49279.0;57005.0;53300.0;54392.0;48335.0;49889.0;52509.0;61094.0;64188.0;68726.0;66175.0;65813.0;67990.0;71135.0
"Thanh Hoa";8180.0;8206.0;9949.0;14467.0;14096.0;16027.0;13500.0;13805.0;12556.0;16606.0;16732.0;17414.0;16746.0;15063.0;15519.0;16568.0
"Nghe An";6714.0;9309.0;9693.0;10523.0;10274.0;10951.0;10521.0;10967.0;12599.0;14013.0;14938.0;15821.0;15645.0;15279.0;15588.0;16724.0
"Ha Tinh";3034.0;3616.0;3571.0;4630.0;4828.0;4976.0;4158.0;4380.0;4670.0;5013.0;4861.0;4747.0;4577.0;4920.0;5200.0;5436.0
"Quang Binh";1712.0;1868.0;2067.0;2247.0;2151.0;2055.0;1830.0;1937.0;2253.0;2367.0;2452.0;2331.0;1990.0;2112.0;2236.0;2278.0
"Quang Tri";1450.0;1877.0;2202.0;2363.0;2100.0;1829.0;1829.0;1299.0;1438.0;1566.0;1684.0;1796.0;1757.0;1792.0;1880.0;1789.0
"Thua Thien-Hue";1414.0;2283.0;2304.0;2450.0;2146.0;1722.0;1400.0;1632.0;1647.0;1835.0;2049.0;2120.0;2075.0;2007.0;2067.0;2093.0
"Da Nang";849.0;852.0;934.0;899.0;730.0;455.0;342.0;275.0;314.0;450.0;457.0;515.0;386.0;386.0;412.0;417.0
"Quang  Nam";3817.0;3957.0;4031.0;4245.0;4083.0;3922.0;3526.0;3361.0;3410.0;3531.0;3931.0;4698.0;4559.0;4670.0;4938.0;5083.0
"Quang  Ngai";2340.0;2549.0;2657.0;3350.0;3175.0;3307.0;2472.0;2532.0;2405.0;2892.0;3145.0;3469.0;3403.0;3681.0;3830.0;3962.0
"Binh Dinh";3462.0;3515.0;3998.0;3865.0;3321.0;3004.0;2992.0;3633.0;4269.0;5065.0;5663.0;6227.0;5928.0;6313.0;6432.0;6681.0
"Phu Yen";1737.0;1793.0;1866.0;1906.0;1924.0;1899.0;1841.0;1931.0;2065.0;2125.0;2168.0;2803.0;2722.0;2908.0;3034.0;3213.0
"Khanh  Hoa";1477.0;1695.0;1879.0;1927.0;1564.0;1264.0;1364.0;1607.0;1910.0;2143.0;2250.0;2317.0;2205.0;2683.0;2704.0;2700.0
"Ninh  Thuan";685.0;623.0;658.0;645.0;601.0;390.0;604.0;749.0;857.0;1217.0;1468.0;1748.0;1591.0;1255.0;1318.0;1197.0
"Binh Thuan";3514.0;2727.0;3470.0;3488.0;2307.0;2593.0;1957.0;1781.0;2116.0;2271.0;2390.0;2720.0;2591.0;2744.0;2831.0;2995.0
"Central Highlands";6102.0;7415.0;8440.0;10059.0;8682.0;8729.0;7807.0;8159.0;9552.0;11894.0;11591.0;14268.0;13754.0;14638.0;15513.0;16490.0
"Kon Tum";594.0;605.0;432.0;454.0;400.0;459.0;426.0;652.0;567.0;658.0;697.0;706.0;672.0;709.0;794.0;848.0
"Gia Lai";1033.0;1055.0;1092.0;1179.0;1046.0;1142.0;1202.0;1237.0;1350.0;1479.0;1695.0;1762.0;1735.0;1875.0;1929.0;2025.0
"Dak Lak";2906.0;3963.0;4732.0;5477.0;4560.0;4482.0;3515.0;3509.0;4536.0;6280.0;5740.0;7719.0;7413.0;7580.0;8186.0;8872.0
"Dak Nong";..;..;..;..;770.0;826.0;863.0;953.0;1079.0;1090.0;964.0;1134.0;1077.0;1438.0;1461.0;1565.0
"Lam Dong";1569.0;1792.0;2184.0;2949.0;1906.0;1820.0;1802.0;1807.0;2020.0;2387.0;2495.0;2948.0;2857.0;3037.0;3144.0;3180.0
"South East";16434.0;19761.0;20467.0;20541.0;14142.0;13143.0;12868.0;12118.0;13645.0;17645.0;20480.0;24121.0;23335.0;27428.0;30049.0;34306.0
"Binh Phuoc";999.0;1421.0;1465.0;1561.0;860.0;820.0;1465.0;1358.0;1475.0;1907.0;2631.0;3325.0;3291.0;3518.0;3889.0;4074.0
"Tay Ninh";2652.0;2713.0;2950.0;3296.0;3039.0;3232.0;1883.0;2148.0;2386.0;2796.0;3121.0;3518.0;3439.0;3750.0;4595.0;4782.0
"Binh  Duong";2225.0;2284.0;2360.0;2414.0;1707.0;1721.0;2022.0;2058.0;1901.0;2406.0;2829.0;3291.0;3170.0;5830.0;4636.0;5631.0
"Dong Nai";6101.0;8966.0;9300.0;8817.0;6264.0;5166.0;5756.0;4975.0;5925.0;8162.0;9301.0;10655.0;10557.0;11181.0;13356.0;15805.0
"Ba Ria - Vung Tau";1443.0;1480.0;1501.0;1993.0;1265.0;1644.0;1663.0;1501.0;1857.0;2257.0;2497.0;3111.0;2648.0;2882.0;3061.0;3371.0
"Ho Chi Minh city";3014.0;2897.0;2891.0;2460.0;1007.0;561.0;80.0;78.0;101.0;117.0;101.0;222.0;230.0;267.0;512.0;643.0
"Mekong River Delta";44011.0;46717.0;49991.0;51463.0;35561.0;31347.0;36378.0;39867.0;48527.0;55800.0;60703.0;66361.0;61327.0;58703.0;58246.0;58459.0
"Long An";3789.0;5916.0;5959.0;5092.0;2117.0;1917.0;3830.0;3569.0;5656.0;9415.0;10736.0;12794.0;10516.0;8572.0;8119.0;7043.0
"Tien Giang";4831.0;4977.0;5756.0;5801.0;4597.0;4078.0;4807.0;4974.0;5711.0;5967.0;6148.0;6308.0;5866.0;5931.0;6310.0;7175.0
"Ben Tre";5045.0;4755.0;5052.0;5622.0;2705.0;2660.0;2617.0;2767.0;3565.0;3982.0;4703.0;5410.0;4945.0;5046.0;4997.0;4748.0
"Tra Vinh";3422.0;3558.0;3754.0;4080.0;3458.0;2431.0;2991.0;3232.0;4102.0;4554.0;5393.0;6374.0;5431.0;5176.0;4678.0;4457.0
"Vinh Long";4933.0;5372.0;5647.0;5834.0;5952.0;4607.0;2544.0;2895.0;3608.0;3989.0;4709.0;5772.0;5702.0;5921.0;6106.0;6201.0
"Dong Thap";4032.0;3299.0;3614.0;3801.0;3086.0;3100.0;3679.0;3396.0;4239.0;5022.0;5605.0;5691.0;5635.0;5181.0;4612.0;4715.0
"An Giang";2492.0;3160.0;3237.0;3698.0;2606.0;2835.0;2953.0;4552.0;4802.0;4021.0;4067.0;4119.0;3795.0;3880.0;4042.0;4322.0
"Kien  Giang";3171.0;4126.0;4991.0;5360.0;3044.0;2858.0;3883.0;4289.0;5183.0;5832.0;5916.0;5358.0;5271.0;5116.0;5217.0;5281.0
"Can Tho";3256.0;4996.0;5088.0;5150.0;1553.0;1216.0;1570.0;1848.0;1894.0;1822.0;1895.0;1968.0;1912.0;1797.0;1910.0;1863.0
"Hau Giang";..;..;..;..;2303.0;1750.0;2867.0;2966.0;3595.0;3684.0;3572.0;3688.0;3727.0;3596.0;3614.0;3585.0
"Soc Trang";2852.0;3083.0;3110.0;3506.0;1917.0;2132.0;2611.0;3122.0;3506.0;4154.0;4494.0;4994.0;4714.0;4467.0;4658.0;5023.0
"Bac Lieu";3309.0;1988.0;2398.0;2192.0;1401.0;1116.0;1235.0;1360.0;1624.0;2089.0;1994.0;2230.0;2211.0;2333.0;2378.0;2505.0
"Ca Mau";2879.0;1487.0;1385.0;1327.0;822.0;647.0;793.0;897.0;1042.0;1269.0;1469.0;1654.0;1602.0;1687.0;1604.0;1541.0
