"Number of upper 90 CV offshore fishing vessels by province by Cities, provincies and Year"

"Cities, provincies";"2010";"2012";"2013";"2014";"Prel.2015"
"WHOLE COUNTRY";19251;22566;25456;27679;28719
"Red River Delta";896;975;1009;1160;1331
"Quang Ninh";162;143;193;268;342
"Hai Phong";342;404;388;431;437
"Thai Binh";145;150;146;158;180
"Nam Đinh";245;276;280;301;367
"Ninh Binh";2;2;2;2;5
"North Central and Central coastal areas";8491;11165;13415;15068;16068
"Thanh Hoa";636;720;1451;1168;1264
"Nghe An";795;932;1097;1260;1287
"Ha Tinh";30;38;93;141;251
"Quang Binh";338;523;648;1022;1167
"Quang Tri";76;120;152;171;165
"Thua Thien - Hue";172;189;245;265;261
"Đa Nang";175;164;219;219;335
"Quang Nam";149;165;265;435;479
"Quang Ngai";1545;2063;2072;2650;2873
"Binh Đinh";932;1975;2471;2821;2832
"Phu Yen";680;978;991;1011;983
"Khanh Hoa";523;765;836;880;830
"Ninh Thuan";728;754;832;933;808
"Binh Thuan";1712;1779;2043;2092;2533
"South East";2129;2655;2567;2637;2657
"Ba Ria - Vung Tau";2038;2616;2540;2605;2617
"TP. Ho Chi Minh";91;39;27;32;40
"Mekong River Delta";7735;7771;8465;8814;8663
"Long An";..;6;15;15;11
"Tien Giang";743;631;633;678;663
"Ben Tre";1480;1747;1745;1724;1656
"Tra Vinh";111;146;164;182;162
"Kien Giang";3292;3268;3819;3950;4060
"Soc Trang";245;257;296;297;286
"Bac Lieu";433;438;488;521;486
"Ca Mau";1431;1278;1305;1447;1339
