"Planted area and production of cereals by Items, Year and Cereals"

"Items";"Year";"Total Planted area (Thous. ha)";"Planted area of Paddy (Thous. ha)";"Planted area of Maize (Thous. ha)";"Total Production (Thous. Tons)";"Production of Paddy (Thous. Tons)";"Production of Maize (Thous. Tons)"
"Planted area and production";"1990";6476.9;6042.8;431.8;19897.7;19225.1;671.0
"Planted area and production";"1991";6752.7;6302.8;447.6;20295.8;19621.9;672.0
"Planted area and production";"1992";6956.3;6475.3;478.0;22342.8;21590.4;747.9
"Planted area and production";"1993";7058.3;6559.4;496.5;23720.5;22836.5;882.2
"Planted area and production";"1994";7135.7;6598.6;534.6;24673.7;23528.2;1143.9
"Planted area and production";"1995";7324.3;6765.6;556.8;26142.5;24963.7;1177.2
"Planted area and production";"1996";7620.6;7003.8;615.2;27935.7;26396.7;1536.7
"Planted area and production";"1997";7768.2;7099.7;662.9;29182.9;27523.9;1650.6
"Planted area and production";"1998";8016.0;7362.7;649.7;30758.6;29145.5;1612.0
"Planted area and production";"1999";8348.6;7653.6;691.8;33150.1;31393.8;1753.1
"Planted area and production";"2000";8399.1;7666.3;730.2;34538.9;32529.5;2005.9
"Planted area and production";"2001";8224.7;7492.7;729.5;34272.9;32108.4;2161.7
"Planted area and production";"2002";8322.5;7504.3;816.0;36960.7;34447.2;2511.2
"Planted area and production";"2003";8366.7;7452.2;912.7;37706.9;34568.8;3136.3
"Planted area and production";"2004";8437.8;7445.3;991.1;39581.0;36148.9;3430.9
"Planted area and production";"2005";8383.4;7329.2;1052.6;39621.6;35832.9;3787.1
"Planted area and production";"2006";8359.7;7324.8;1033.1;39706.2;35849.5;3854.6
"Planted area and production";"2007";8304.7;7207.4;1096.1;40247.4;35942.7;4303.2
"Planted area and production";"2008";8542.2;7400.2;1140.2;43305.4;38729.8;4573.1
"Planted area and production";"2009";8527.4;7437.2;1089.2;43323.4;38950.2;4371.7
"Planted area and production";"2010";8615.9;7489.4;1125.7;44632.2;40005.6;4625.7
"Planted area and production";"2011";8777.6;7655.4;1121.3;47235.5;42398.5;4835.6
"Planted area and production";"2012";8918.9;7761.2;1156.6;48712.6;43737.8;4973.6
"Planted area and production";"2013";9074.0;7902.5;1170.4;49231.6;44039.1;5191.2
"Planted area and production";"2014";8996.2;7816.2;1179.0;50178.5;44974.6;5202.3
"Planted area and production";"Prel. 2015";9015.1;7834.9;1179.3;50498.3;45215.6;5281.0
"Index ( Previous year = 100 ) - %";"1990";100.8;102.2;84.8;100.3;101.2;80.1
"Index ( Previous year = 100 ) - %";"1991";104.3;104.3;103.7;102.0;102.1;100.1
"Index ( Previous year = 100 ) - %";"1992";103.0;102.7;106.8;110.1;110.0;111.3
"Index ( Previous year = 100 ) - %";"1993";101.5;101.3;103.9;106.2;105.8;118.0
"Index ( Previous year = 100 ) - %";"1994";101.1;100.6;107.7;104.0;103.0;129.7
"Index ( Previous year = 100 ) - %";"1995";102.6;102.5;104.2;106.0;106.1;102.9
"Index ( Previous year = 100 ) - %";"1996";104.0;103.5;110.5;106.9;105.7;130.5
"Index ( Previous year = 100 ) - %";"1997";101.9;101.4;107.8;104.5;104.3;107.4
"Index ( Previous year = 100 ) - %";"1998";103.2;103.7;98.0;105.4;105.9;97.7
"Index ( Previous year = 100 ) - %";"1999";104.1;104.0;106.5;107.8;107.7;108.8
"Index ( Previous year = 100 ) - %";"2000";100.6;100.2;105.6;104.2;103.6;114.4
"Index ( Previous year = 100 ) - %";"2001";97.9;97.7;99.9;99.2;98.7;107.8
"Index ( Previous year = 100 ) - %";"2002";101.2;100.2;111.9;107.8;107.3;116.2
"Index ( Previous year = 100 ) - %";"2003";100.5;99.3;111.9;102.0;100.4;124.9
"Index ( Previous year = 100 ) - %";"2004";100.8;99.9;108.6;105.0;104.6;109.4
"Index ( Previous year = 100 ) - %";"2005";99.4;98.4;106.2;100.1;99.1;110.4
"Index ( Previous year = 100 ) - %";"2006";99.7;99.9;98.1;100.2;100.0;101.8
"Index ( Previous year = 100 ) - %";"2007";99.3;98.4;106.1;101.4;100.3;111.6
"Index ( Previous year = 100 ) - %";"2008";102.9;103.0;104.0;107.6;107.8;106.3
"Index ( Previous year = 100 ) - %";"2009";99.8;100.5;95.5;100.0;100.6;95.6
"Index ( Previous year = 100 ) - %";"2010";101.0;100.7;103.4;103.0;102.7;105.8
"Index ( Previous year = 100 ) - %";"2011";101.9;102.2;99.6;105.8;106.0;104.5
"Index ( Previous year = 100 ) - %";"2012";101.6;101.4;103.2;103.1;103.2;102.9
"Index ( Previous year = 100 ) - %";"2013";101.7;101.8;101.2;101.1;100.7;104.4
"Index ( Previous year = 100 ) - %";"2014";99.1;98.9;100.7;101.9;102.1;100.2
"Index ( Previous year = 100 ) - %";"Prel. 2015";100.2;100.2;100.0;100.6;100.5;101.5
