"Planted area and production of paddy by Items, Year and Crop"

"Items";"Year";"Total Planted area (Thous. Ha)";"Planted area of Spring paddy (Thous. Ha)";"Planted area of Autumn paddy (Thous. Ha)";"Planted area of Winter paddy (Thous. Ha)";"Total Production (Thous. Tons)";"Production of Spring paddy (Thous. Tons)";"Production of Autumn paddy (Thous. Tons)";"Production of Winter paddy (Thous. Tons)"
"Planted area and production";"1990";6042.8;2073.6;1215.7;2753.5;19225.1;7865.6;4090.5;7269.0
"Planted area and production";"1991";6302.8;2160.6;1382.1;2760.1;19621.9;6788.3;4715.8;8117.8
"Planted area and production";"1992";6475.3;2279.0;1448.6;2747.7;21590.4;9156.3;4907.2;7526.9
"Planted area and production";"1993";6559.4;2323.6;1549.1;2686.7;22836.5;9035.6;5633.1;8167.8
"Planted area and production";"1994";6598.6;2381.4;1586.1;2631.1;23528.2;10508.5;5679.4;7340.3
"Planted area and production";"1995";6765.6;2421.3;1742.4;2601.9;24963.7;10736.6;6500.8;7726.3
"Planted area and production";"1996";7003.8;2541.1;1984.2;2478.5;26396.7;12209.5;6878.5;7308.7
"Planted area and production";"1997";7099.7;2682.7;1885.2;2531.8;27523.9;13310.3;6637.8;7575.8
"Planted area and production";"1998";7362.7;2783.3;2140.6;2438.8;29145.5;13559.5;7522.6;8063.4
"Planted area and production";"1999";7653.6;2888.9;2341.2;2423.5;31393.8;14103.0;8758.3;8532.5
"Planted area and production";"2000";7666.3;3013.2;2292.8;2360.3;32529.5;15571.2;8625.0;8333.3
"Planted area and production";"2001";7492.7;3056.9;2210.8;2225.0;32108.4;15474.4;8328.4;8305.6
"Planted area and production";"2002";7504.3;3033.0;2293.7;2177.6;34447.2;16719.6;9188.7;8538.9
"Planted area and production";"2003";7452.2;3022.9;2320.0;2109.3;34568.8;16822.7;9400.8;8345.3
"Planted area and production";"2004";7445.3;2978.5;2366.2;2100.6;36148.9;17078.0;10430.9;8640.0
"Planted area and production";"2005";7329.2;2942.1;2349.3;2037.8;35832.9;17331.6;10436.2;8065.1
"Planted area and production";"2006";7324.8;2995.5;2317.4;2011.9;35849.5;17588.2;9693.9;8567.4
"Planted area and production";"2007";7207.4;2988.4;2203.5;2015.5;35942.7;17024.1;10140.8;8777.8
"Planted area and production";"2008";7400.2;3013.1;2368.7;2018.4;38729.8;18326.9;11395.7;9007.2
"Planted area and production";"2009";7437.2;3060.9;2358.4;2017.9;38950.2;18695.8;11212.2;9042.2
"Planted area and production";"2010";7489.4;3085.9;2436.0;1967.5;40005.6;19216.8;11686.1;9102.7
"Planted area and production";"2011";7655.4;3096.8;2589.5;1969.1;42398.5;19778.3;13402.9;9217.3
"Planted area and production";"2012";7761.2;3124.3;2659.1;1977.8;43737.8;20291.9;13958.0;9487.9
"Planted area and production";"2013";7902.5;3105.6;2810.8;1986.1;44039.1;20069.7;14623.4;9346.0
"Planted area and production";"2014";7816.2;3116.5;2734.1;1965.6;44974.6;20850.5;14479.2;9644.9
"Planted area and production";"Prel. 2015";7834.9;3112.4;2785.1;1937.4;45215.6;20691.7;14991.7;9532.2
"Index (Previous year =100) - %";"1990";102.2;104.1;106.6;99.1;101.2;104.3;100.7;98.3
"Index (Previous year =100) - %";"1991";104.3;104.2;113.7;100.2;102.1;86.3;115.3;111.7
"Index (Previous year =100) - %";"1992";102.7;105.5;104.8;99.6;110.0;134.9;104.1;92.7
"Index (Previous year =100) - %";"1993";101.3;102.0;106.9;97.8;105.8;98.7;114.8;108.5
"Index (Previous year =100) - %";"1994";100.6;102.5;102.4;97.9;103.0;116.3;100.8;89.9
"Index (Previous year =100) - %";"1995";102.5;101.7;109.9;98.9;106.1;102.2;114.5;105.3
"Index (Previous year =100) - %";"1996";103.5;104.9;113.9;95.3;105.7;113.7;105.8;94.6
"Index (Previous year =100) - %";"1997";101.4;105.6;95.0;102.2;104.3;109.0;96.5;103.7
"Index (Previous year =100) - %";"1998";103.7;103.7;113.5;96.3;105.9;101.9;113.3;106.4
"Index (Previous year =100) - %";"1999";104.0;103.8;109.4;99.4;107.7;104.0;116.4;105.8
"Index (Previous year =100) - %";"2000";100.2;104.3;97.9;97.4;103.6;110.4;98.5;97.7
"Index (Previous year =100) - %";"2001";97.7;101.5;96.4;94.3;98.7;99.4;96.6;99.7
"Index (Previous year =100) - %";"2002";100.2;99.2;103.7;97.9;107.3;108.0;110.3;102.8
"Index (Previous year =100) - %";"2003";99.3;99.7;101.1;96.9;100.4;100.6;102.3;97.7
"Index (Previous year =100) - %";"2004";99.9;98.5;102.0;99.6;104.6;101.5;111.0;103.5
"Index (Previous year =100) - %";"2005";98.4;98.8;99.3;97.0;99.1;101.5;100.1;93.3
"Index (Previous year =100) - %";"2006";99.9;101.8;98.6;98.7;100.0;101.5;92.9;106.2
"Index (Previous year =100) - %";"2007";98.4;99.8;95.1;100.2;100.3;96.8;104.6;102.5
