"Planted area of autumn paddy by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"WHOLE COUNTRY";1742.4;1984.2;1885.2;2140.6;2341.2;2292.8;2210.8;2293.7;2320.0;2366.2;2349.3;2317.4;2203.5;2368.7;2358.4;2436.0;2589.5;2659.1;2810.8;2734.1;2785.1
"North Central area and Central coastal area";271.5;284.9;290.1;280.3;301.4;302.8;300.2;291.4;306.0;308.6;281.9;316.3;310.7;328.5;345.2;333.6;338.6;347.6;343.2;345.6;328.6
"Nghe An";44.8;42.3;48.4;48.9;48.5;51.3;52.9;53.5;55.9;57.3;55.7;59.5;59.6;56.9;65.6;58.2;54.3;59.4;59.9;59.3;55.6
"Ha Tinh";31.6;33.4;33.8;32.2;33.9;36.2;38.9;39.9;40.4;38.1;35.4;39.2;38.9;40.6;41.7;41.4;41.7;41.9;41.3;42.8;42.0
"Quang Binh";13.8;15.6;15.3;14.2;16.5;17.3;19.0;19.3;19.2;20.1;20.5;21.3;21.9;22.1;22.9;23.2;23.6;24.0;24.0;24.1;23.5
"Quang Tri";15.5;16.5;16.7;15.6;18.0;18.0;18.6;18.7;18.7;18.4;16.9;18.4;18.7;19.4;21.2;21.2;21.6;21.9;22.3;22.3;20.1
"Thua Thien Hue";21.5;22.3;22.7;23.0;24.0;24.1;24.3;24.6;24.4;24.3;24.0;24.0;24.0;24.4;25.5;25.6;25.5;25.6;25.4;25.4;25.9
"Da Nang";2.0;2.0;1.9;1.8;1.5;0.7;0.4;0.6;0.1;..;..;..;..;..;..;..;..;..;..;..;..
"Quang Nam";19.2;19.0;18.2;16.3;15.8;8.2;1.1;0.3;0.2;0.2;..;..;..;..;..;..;..;..;..;..;..
"Quang Ngai";24.3;24.1;24.1;23.6;24.3;24.6;23.7;24.8;25.5;27.4;27.2;27.7;27.1;31.4;31.7;31.7;31.9;33.2;33.9;32.9;33.8
"Binh Dinh";35.2;38.4;38.2;35.6;40.0;40.9;41.0;36.5;39.7;39.3;33.7;40.2;36.7;40.4;41.6;41.3;42.4;42.9;38.2;42.4;42.3
"Phu Yen";21.3;21.7;21.7;21.7;22.8;23.0;23.4;22.8;23.7;24.0;22.7;23.6;23.4;23.7;24.0;23.8;24.4;24.5;25.0;24.4;24.5
"Khanh Hoa";14.5;18.4;15.9;14.5;16.6;17.8;17.9;13.0;17.7;17.5;9.9;18.0;13.7;18.1;18.6;17.4;18.7;19.1;18.7;17.0;8.8
"Ninh Thuan";8.4;10.0;10.3;9.6;11.1;10.7;8.9;8.0;9.2;10.6;5.6;10.5;11.1;12.9;13.7;11.1;14.3;14.5;13.7;12.8;11.6
"Binh Thuan";19.4;21.2;22.9;23.3;28.4;30.0;30.1;29.4;31.3;31.4;30.3;33.9;35.6;38.6;38.7;38.7;40.2;40.6;40.8;42.2;40.5
"Central Highlands";0.0;0.0;8.6;5.2;5.6;5.9;5.2;5.4;5.4;5.8;6.0;5.6;5.9;6.0;6.3;5.9;6.2;6.3;6.2;6.2;6.4
"Lam Dong";..;0.0;8.6;5.2;5.6;5.9;5.2;5.4;5.4;5.8;6.0;5.6;5.9;6.0;6.3;5.9;6.2;6.3;6.2;6.2;6.4
"South East";73.3;79.8;76.3;79.1;94.5;102.5;93.9;96.0;98.0;94.0;86.1;85.6;87.7;94.4;96.3;91.3;93.7;92.7;91.0;89.5;90.0
"Tay Ninh";29.1;34.3;33.2;34.9;45.7;51.5;45.1;48.2;50.8;48.2;42.7;42.2;46.2;51.1;53.0;51.9;52.9;51.3;50.9;49.2;49.2
"Binh Duong";3.5;3.6;4.0;3.9;3.9;4.1;4.2;3.9;3.8;3.8;3.3;2.9;2.6;2.3;2.2;2.1;1.9;1.9;1.8;1.7;1.7
"Dong Nai";21.8;22.6;21.7;22.3;24.6;26.4;26.0;27.0;27.4;27.3;27.4;27.6;26.2;26.9;26.3;25.4;25.5;25.7;24.3;24.3;23.7
"Ba Ria - Vung Tau";5.0;4.2;3.9;4.4;5.3;5.8;6.2;5.6;5.7;5.6;5.4;5.8;5.1;6.6;7.7;5.4;7.4;7.8;7.7;7.8;8.2
"TP. Ho Chi Minh";13.9;15.1;13.5;13.6;15.0;14.7;12.4;11.3;10.3;9.1;7.3;7.1;7.6;7.5;7.1;6.5;6.0;6.0;6.3;6.5;7.2
"Mekong River Delta";1397.6;1619.5;1510.2;1776.0;1939.7;1881.6;1811.5;1900.9;1910.6;1957.8;1975.3;1909.9;1799.2;1939.8;1910.6;2005.2;2151.0;2212.5;2370.4;2292.8;2360.1
"Long An";120.0;146.5;130.6;149.5;174.2;171.8;155.3;166.2;168.6;181.5;174.9;183.2;178.8;201.7;201.3;207.7;220.2;227.4;286.2;274.9;286.1
"Tien Giang";178.6;183.6;185.0;180.1;187.2;184.9;179.6;174.6;171.7;171.3;166.2;163.9;163.4;162.3;163.7;162.1;160.8;160.8;156.3;153.2;149.6
"Ben Tre";21.0;25.9;23.3;26.5;28.4;29.5;30.0;28.8;27.3;26.5;24.0;25.4;24.2;24.5;24.2;23.2;23.1;22.2;20.1;19.3;17.9
"Tra Vinh";50.0;66.3;73.4;80.0;84.6;87.0;87.6;84.9;86.6;86.7;84.9;82.8;81.1;82.9;82.4;81.4;81.0;80.2;80.7;80.2;79.2
"Vinh Long";124.0;131.3;118.8;150.2;145.9;128.8;137.9;133.0;131.9;134.8;132.2;126.8;89.8;109.2;109.1;103.1;115.7;122.1;118.4;118.7;119.5
"Dong Thap";185.0;201.0;175.3;224.4;240.1;204.7;202.3;221.9;233.3;250.5;264.4;248.4;238.7;260.1;243.6;257.4;294.2;279.3;333.6;321.2;341.1
"An Giang";185.0;206.7;190.0;200.0;231.5;232.8;225.9;246.6;275.2;294.0;298.1;265.1;282.5;324.7;315.6;347.0;366.7;383.3;397.9;383.2;400.3
"Kien Giang";170.0;211.7;188.8;249.0;255.7;266.9;268.3;293.3;277.1;286.4;299.8;293.8;266.4;279.0;282.1;296.6;345.3;368.5;403.9;385.3;399.2
"Can Tho";230.0;233.8;214.0;257.8;291.4;233.1;259.2;275.7;275.8;136.0;138.6;129.8;115.8;128.0;118.7;119.6;136.0;140.4;148.6;144.3;150.6
"Hau Giang";..;..;..;..;..;..;..;..;..;143.5;143.0;142.9;110.3;121.3;108.9;126.4;129.7;136.2;132.1;127.8;127.0
"Soc Trang";98.0;148.8;140.3;150.3;168.3;171.3;159.6;165.9;170.7;154.2;154.4;160.9;158.9;160.7;169.1;188.2;187.1;200.5;200.7;192.0;196.9
"Bac Lieu";18.5;29.3;30.3;53.2;70.8;84.6;72.9;72.7;58.3;56.6;58.6;50.8;53.3;49.1;55.8;56.9;55.8;55.8;56.4;56.0;56.3
"Ca Mau";17.5;34.6;40.4;55.0;61.6;86.2;32.9;37.3;34.1;35.8;36.2;36.1;36.0;36.3;36.1;35.6;35.4;35.8;35.5;36.7;36.4
