"Planted area of cassava by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"WHOLE COUNTRY";277.4;275.6;254.4;235.5;225.5;237.6;292.3;337.0;371.9;388.6;425.5;475.2;495.5;554.0;507.8;498.0;558.4;551.9;543.9;552.8;566.5
"Ha Noi";0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.3;0.2;0.2;0.2;0.2;0.2;2.4;2.5;2.1;2.1;2.1;2.1;1.9;1.8
"Ha Giang";5.1;4.5;4.2;3.7;3.6;3.2;3.2;2.8;2.6;2.5;2.6;2.5;2.4;3.8;4.0;4.2;0.7;5.1;5.0;5.0;4.6
"Cao Bang";2.5;2.6;1.6;1.5;1.4;1.6;1.6;1.6;1.7;2.3;2.2;2.0;2.1;2.1;2.1;2.3;2.6;2.7;3.0;3.2;4.0
"Bac Kan";1.5;1.5;1.9;2.5;2.8;3.1;2.7;3.3;3.0;2.9;2.1;1.8;2.0;2.2;2.1;2.2;2.6;2.5;3.1;2.9;3.0
"Tuyen Quang";4.5;4.5;4.6;3.5;3.7;3.7;3.4;3.5;3.5;3.5;3.7;5.3;5.0;6.3;4.4;4.6;5.7;4.8;4.3;4.2;4.6
"Lao Cai";5.2;6.2;6.2;6.0;5.9;6.2;6.2;5.9;6.3;5.1;5.6;6.1;6.7;8.2;8.5;7.8;9.7;9.3;9.2;9.1;8.9
"Yen Bai";8.1;6.9;8.2;8.2;8.5;8.6;8.5;9.6;10.2;11.9;12.7;13.4;14.5;15.8;12.8;13.6;15.3;16.2;16.9;16.5;15.8
"Thai nguyen";2.4;2.4;3.2;3.1;3.2;3.6;3.9;3.8;3.9;4.2;3.6;4.1;3.8;4.1;3.9;3.9;3.6;3.8;3.7;3.7;3.4
"Lang Son";4.0;4.8;4.7;4.1;3.9;4.7;4.5;4.5;4.2;4.5;4.6;4.7;5.1;5.1;4.8;5.1;5.9;6.0;5.5;5.0;4.5
"Bac Giang";7.5;6.6;5.4;4.8;3.6;3.5;3.6;3.4;3.0;3.2;3.4;4.7;4.5;5.4;4.8;5.2;5.7;5.8;5.9;5.7;5.0
"Phu Tho";8.6;8.8;8.6;8.0;8.0;8.6;8.5;8.0;7.8;8.0;7.7;7.8;7.5;7.3;7.3;7.6;8.1;9.2;8.7;8.6;8.3
"Dien Bien";..;..;..;..;..;..;..;..;..;6.8;7.2;7.3;7.4;7.5;7.3;7.2;7.1;7.0;7.2;7.2;7.7
"Lai Chau";8.3;8.0;8.2;7.9;8.4;8.5;6.9;9.8;9.9;5.5;5.5;4.8;5.5;5.3;6.1;5.4;4.5;4.4;4.5;4.4;4.4
"Son La";13.7;14.7;15.2;15.7;16.6;17.0;16.2;17.2;17.9;18.1;17.8;18.0;18.6;23.7;22.3;24.6;28.5;28.1;28.0;30.5;31.2
"Hoa Binh";9.0;8.4;8.7;8.4;8.8;9.8;8.9;8.6;9.7;10.2;10.7;11.2;11.4;13.2;11.0;11.3;12.6;12.3;12.2;12.5;11.7
"Thanh Hoa";14.4;15.1;14.4;12.5;10.9;12.1;11.9;13.6;15.2;14.5;15.1;14.5;15.2;16.9;15.6;15.3;16.3;16.8;16.1;18.0;17.8
"Nghe An";11.3;11.0;10.9;10.6;10.3;11.2;10.2;9.9;11.3;12.5;13.9;15.2;16.2;19.3;18.8;17.3;21.0;19.3;18.3;16.5;17.4
"Ha Tinh";2.1;2.4;2.7;2.7;2.4;2.5;2.6;2.9;3.1;3.7;3.9;3.7;4.1;4.1;3.9;3.4;3.8;3.8;3.7;4.0;4.1
"Quang Binh";4.3;4.7;4.6;4.3;4.2;4.3;3.8;3.6;4.0;5.0;5.6;6.1;6.0;5.8;5.8;5.9;5.7;5.7;5.6;5.8;6.3
"Quang Tri";4.1;4.3;4.0;3.7;3.8;4.0;3.2;4.1;5.4;6.8;7.8;9.3;9.9;10.0;9.9;9.8;10.7;10.7;11.0;11.8;12.7
"Thua Thien Hue";5.5;5.6;5.2;4.6;4.7;4.3;4.5;4.9;5.5;5.9;6.6;7.1;7.3;7.5;6.9;7.1;7.8;7.6;7.2;7.0;7.1
"Quang Nam";14.6;13.9;12.4;12.0;11.7;11.5;11.5;12.6;12.6;13.3;13.2;13.5;14.1;13.9;14.2;13.9;15.1;14.3;13.3;12.6;12.8
"Quang Ngai";11.0;11.4;10.5;10.9;8.2;7.7;11.7;14.0;15.7;16.3;17.9;19.2;19.3;20.5;19.4;19.3;21.5;21.5;20.5;19.1;19.7
"Binh Dinh";10.9;10.5;10.8;10.9;10.5;10.1;10.1;10.6;11.3;11.6;12.0;13.1;13.2;13.9;14.0;13.3;13.5;13.6;13.8;13.7;13.6
"Phu Yen";3.0;3.3;2.4;2.5;2.4;2.6;3.0;4.0;4.7;5.6;10.6;10.4;13.1;16.5;14.2;15.2;17.9;19.1;22.3;19.5;23.0
