"Planted area of cereals by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";7324.3;7620.6;7768.2;8016.0;8348.6;8399.1;8224.7;8322.5;8366.7;8437.8;8383.4;8359.7;8304.7;8542.2;8527.4;8615.9;8777.6;8918.9;9074.0;8996.2;9015.1
"Red River Delta";1336.3;1333.5;1362.2;1359.3;1357.4;1359.5;1324.4;1320.7;1318.6;1299.9;1274.6;1256.7;1249.2;1251.7;1228.3;1247.8;1240.6;1225.2;1218.3;1210.9;1201.7
"Ha Noi";65.7;65.9;66.1;66.3;65.6;66.3;62.6;62.0;59.7;56.1;53.8;52.9;52.1;232.6;225.3;229.7;229.2;225.9;225.0;223.0;221.6
"Ha Tay";185.8;184.3;185.6;187.3;187.3;189.4;183.8;183.2;181.7;178.7;176.0;171.0;168.9;..;..;..;..;..;..;..;..
"Vinh Phuc";88.3;87.2;93.4;93.9;92.7;94.9;85.5;89.5;92.9;91.6;86.1;85.1;84.2;76.4;68.4;77.1;76.1;73.1;74.8;73.7;74.5
"Bac Ninh";82.7;84.7;88.0;89.1;88.7;88.5;86.7;85.7;84.9;83.2;82.2;81.6;81.0;78.7;77.2;76.9;76.5;76.9;76.3;76.4;75.5
"Quang Ninh";47.9;49.4;51.1;51.3;51.6;53.4;53.5;54.1;54.5;54.3;53.7;53.4;52.8;52.5;51.4;51.4;50.3;49.7;48.9;49.1;48.4
"Hai Duong";159.3;161.1;159.4;156.3;155.9;152.7;146.9;146.4;146.4;141.5;138.4;135.2;133.1;131.3;130.9;132.2;130.8;130.0;130.1;129.1;126.7
"Hai Phong";94.2;94.6;95.9;95.6;95.7;96.5;95.7;94.5;93.0;91.5;89.9;88.3;87.2;85.0;84.3;83.5;82.2;81.0;79.8;78.4;76.9
"Hung Yen";99.9;101.7;100.1;99.1;99.7;96.9;93.8;93.1;93.4;92.2;89.5;88.8;89.6;90.9;88.4;90.5;90.6;89.6;89.1;87.3;86.0
"Thai Binh";177.9;181.0;182.2;178.2;177.5;178.3;177.8;176.8;177.9;179.9;177.4;174.3;174.1;177.6;175.6;175.6;174.9;172.1;171.1;171.9;171.7
"Ha Nam";78.7;78.8;79.6;82.2;83.1;83.3;81.7;81.0;80.7;79.4;78.7;77.9;78.4;78.1;76.5;78.8;78.6;77.6;76.6;76.1;75.5
"Nam Dinh";170.4;170.5;172.2;171.6;170.8;169.6;168.1;167.0;166.5;165.1;163.1;162.5;160.2;161.3;163.0;163.9;163.4;162.0;159.6;159.2;158.8
"Ninh Binh";85.5;74.3;88.6;88.4;88.8;89.7;88.3;87.4;87.0;86.4;85.8;85.7;87.6;87.3;87.3;88.2;88.0;87.3;87.0;86.7;86.1
"Northern midlands and mountain areas";823.0;828.3;857.6;866.4;884.5;922.3;938.5;961.7;986.5;1009.1;1033.5;1031.3;1098.8;1118.8;1114.1;1127.5;1137.1;1180.5;1194.2;1204.9;1203.9
"Ha Giang";67.1;67.9;68.7;70.1;70.3;73.4;75.5;77.2;79.7;79.1;79.6;79.2;79.5;83.4;84.1;84.4;87.5;90.2;90.3;91.9;91.8
"Cao Bang";65.9;60.7;59.8;58.6;59.9;60.7;62.2;61.9;63.2;64.4;65.8;66.4;68.2;70.0;67.8;69.2;69.3;70.2;69.4;69.5;70.5
"Bac Kan";21.3;22.4;24.6;24.5;25.9;28.7;29.8;31.3;33.1;34.1;35.5;35.0;37.4;37.9;37.8;37.7;39.1;38.8;39.4;40.6;41.0
"Tuyen Quang";52.5;50.7;52.1;52.6;55.5;56.2;58.7;60.3;61.1;60.7;60.3;60.4;63.2;61.4;60.4;62.1;62.0;59.9;62.1;61.5;64.2
"Lao Cai";52.4;52.5;53.6;54.2;57.5;59.0;60.5;60.5;61.6;51.7;53.1;53.0;54.8;57.1;58.7;60.8;63.1;64.3;65.2;69.9;67.9
"Yen Bai";44.6;45.1;46.8;50.0;48.7;50.0;50.8;51.2;52.6;54.4;55.5;55.7;57.3;57.0;59.7;63.6;66.1;65.1;67.2;69.4;69.5
"Thai  Nguyen";64.4;70.9;75.6;76.3;75.6;79.3;79.2;82.1;83.8;85.8;86.0;85.4;88.0;89.5;87.3;87.7;89.8;90.5;91.2;92.0;93.4
"Lang Son";55.8;56.0;57.8;56.2;56.1;59.8;62.9;61.5;63.5;67.0;67.9;66.3;68.3;69.9;70.1;69.8;70.5;72.1;72.8;72.3;71.9
"Bac Giang";117.6;121.1;126.5;128.2;126.8;126.4;124.1;123.8;126.1;129.9;127.3;128.0;126.2;125.5;123.4;124.5;123.3;120.7;120.9;122.9;122.2
"Phu Tho";79.8;77.6;82.2;83.3;83.3;87.8;86.1;89.2;92.8;92.8;93.5;89.4;93.4;91.0;87.7;89.5;91.1;86.6;88.4;88.3;88.6
"Dien Bien";..;..;..;..;..;..;..;..;..;64.2;65.5;67.5;69.5;72.1;74.4;75.5;77.3;77.5;78.3;79.3;79.1
"Lai Chau";74.6;77.3;74.6;75.8;79.6;83.0;86.8;89.6;93.0;43.6;46.5;47.4;48.0;48.8;48.9;49.7;49.3;50.2;51.5;52.5;53.6
"Son La";68.8;68.9;73.4;78.4;84.4;93.1;95.8;104.3;103.2;107.2;119.9;121.6;168.5;177.9;178.0;177.3;171.6;216.9;219.5;216.8;212.0
"Hoa Binh";58.2;57.2;61.9;58.2;60.9;64.9;66.1;68.8;72.8;74.2;77.1;76.0;76.5;77.3;75.8;75.7;77.1;77.5;78.0;78.0;78.2
"Northern Central area and Central coastal area";1297.3;1327.3;1348.2;1328.5;1372.5;1389.3;1382.3;1373.3;1397.5;1420.4;1370.6;1478.1;1403.1;1430.5;1424.0;1427.5;1436.7;1439.2;1436.8;1452.2;1431.2
