"Planted area of crops by crop group by Iterms, Year and Crop group"

"Iterms";"Year";"Total";"Annual crops";"Cereals";"Annual industrial crops";"Perennial crops";"Perennial industrial crops";"Fruit crops"
"Planted area (Thous. ha)";"1990";9040.0;8101.5;6476.9;542.0;938.5;657.3;281.2
"Planted area (Thous. ha)";"1991";9410.0;8475.3;6752.7;578.7;934.7;662.7;271.9
"Planted area (Thous. ha)";"1992";9752.9;8754.4;6956.3;584.3;998.5;697.8;260.9
"Planted area (Thous. ha)";"1993";10028.3;8893.0;7058.3;598.9;1135.3;758.5;296.0
"Planted area (Thous. ha)";"1994";10381.4;9000.6;7135.7;655.8;1380.8;809.9;320.1
"Planted area (Thous. ha)";"1995";10496.9;9224.2;7324.3;716.7;1272.7;902.3;346.4
"Planted area (Thous. ha)";"1996";10928.9;9486.1;7620.6;694.3;1442.8;1015.3;375.5
"Planted area (Thous. ha)";"1997";11316.4;9680.9;7768.2;728.2;1635.5;1153.4;426.1
"Planted area (Thous. ha)";"1998";11740.4;10011.3;8016.0;808.2;1729.1;1202.7;447.0
"Planted area (Thous. ha)";"1999";12320.3;10468.9;8348.6;889.4;1851.4;1257.8;512.8
"Planted area (Thous. ha)";"2000";12644.3;10540.3;8399.1;778.1;2104.0;1451.3;565.0
"Planted area (Thous. ha)";"2001";12507.0;10352.2;8224.7;786.0;2154.8;1475.8;609.6
"Planted area (Thous. ha)";"2002";12831.4;10595.9;8322.5;845.8;2235.5;1491.5;677.5
"Planted area (Thous. ha)";"2003";12983.3;10680.1;8366.7;835.0;2303.2;1510.8;724.5
"Planted area (Thous. ha)";"2004";13184.5;10817.8;8437.8;857.1;2366.7;1554.3;746.8
"Planted area (Thous. ha)";"2005";13287.0;10818.8;8383.4;861.5;2468.2;1633.6;767.4
"Planted area (Thous. ha)";"2006";13409.8;10868.2;8359.7;841.7;2541.6;1708.6;771.4
"Planted area (Thous. ha)";"2007";13555.6;10894.9;8304.7;846.0;2660.7;1821.7;778.5
"Planted area (Thous. ha)";"2008";13872.9;11156.7;8542.2;806.1;2716.2;1885.8;775.5
"Planted area (Thous. ha)";"2009";13807.6;11047.1;8527.4;753.6;2760.5;1936.0;774.0
"Planted area (Thous. ha)";"2010";14061.1;11214.3;8615.9;797.6;2846.8;2010.5;779.7
"Planted area (Thous. ha)";"2011";14363.5;11420.5;8777.6;788.2;2943.0;2079.6;772.5
"Planted area (Thous. ha)";"2012";14635.6;11537.9;8918.9;729.9;3097.7;2222.8;765.9
"Planted area (Thous. ha)";"2013";14792.5;11714.4;9074.0;730.9;3078.1;2110.9;706.9
"Planted area (Thous. ha)";"2014";14809.4;11665.4;8996.2;710.0;3144.0;2133.5;799.1
"Planted area (Thous. ha)";"Prel. 2015";14926.0;11691.3;9015.1;676.8;3234.7;2150.5;819.3
"Index ( Previous year = 100 ) - %";"1990";100.7;100.4;100.8;99.7;103.5;105.2;99.8
"Index ( Previous year = 100 ) - %";"1991";104.1;104.6;104.3;106.8;99.6;100.8;96.7
"Index ( Previous year = 100 ) - %";"1992";103.6;103.3;103.0;101.0;106.8;105.3;96.0
"Index ( Previous year = 100 ) - %";"1993";102.8;101.6;101.5;102.5;113.7;108.7;113.5
"Index ( Previous year = 100 ) - %";"1994";103.5;101.2;101.1;109.5;121.6;106.8;108.1
"Index ( Previous year = 100 ) - %";"1995";101.1;102.5;102.6;109.3;92.2;111.4;108.2
"Index ( Previous year = 100 ) - %";"1996";104.1;102.8;104.0;96.9;113.4;112.5;108.4
"Index ( Previous year = 100 ) - %";"1997";103.5;102.1;101.9;104.9;113.4;113.6;113.5
"Index ( Previous year = 100 ) - %";"1998";103.7;103.4;103.2;111.0;105.7;104.3;104.9
"Index ( Previous year = 100 ) - %";"1999";104.9;104.6;104.1;110.0;107.1;104.6;114.7
"Index ( Previous year = 100 ) - %";"2000";102.6;100.7;100.6;87.5;113.6;115.4;110.2
"Index ( Previous year = 100 ) - %";"2001";98.9;98.2;97.9;101.0;102.4;101.7;107.9
"Index ( Previous year = 100 ) - %";"2002";102.6;102.4;101.2;107.6;103.7;101.1;111.1
"Index ( Previous year = 100 ) - %";"2003";101.2;100.8;100.5;98.7;103.0;101.3;106.9
"Index ( Previous year = 100 ) - %";"2004";101.5;101.3;100.8;102.6;102.8;102.9;103.1
"Index ( Previous year = 100 ) - %";"2005";100.8;100.0;99.4;100.5;104.3;105.1;102.8
"Index ( Previous year = 100 ) - %";"2006";100.9;100.5;99.7;97.7;103.0;104.6;100.5
"Index ( Previous year = 100 ) - %";"2007";101.1;100.2;99.3;100.5;104.7;106.6;100.9
"Index ( Previous year = 100 ) - %";"2008";102.3;102.4;102.9;95.3;102.1;103.5;99.6
"Index ( Previous year = 100 ) - %";"2009";99.5;99.0;99.8;93.5;101.6;102.7;99.8
"Index ( Previous year = 100 ) - %";"2010";101.8;101.5;101.0;105.8;103.1;103.8;100.7
"Index ( Previous year = 100 ) - %";"2011";102.2;101.8;101.9;98.8;103.4;103.4;99.1
"Index ( Previous year = 100 ) - %";"2012";101.9;101.0;101.6;92.6;105.3;106.9;99.1
"Index ( Previous year = 100 ) - %";"2013";101.1;101.5;101.7;100.1;99.4;95.0;92.3
"Index ( Previous year = 100 ) - %";"2014";100.1;99.6;99.1;97.1;102.1;101.1;113.0
"Index ( Previous year = 100 ) - %";"Prel. 2015";100.8;100.2;100.2;95.3;102.9;100.8;102.5
