"Planted area of main annual crops by Items, Year and Main annual crops"

"Items";"Year";"Paddy";"Maize";"Sugar-cane";"Cotton";"Peanut";"Soya-bean"
"Planted area (Thous. ha)";"2000";7666.3;730.2;302.3;18.6;244.9;124.1
"Planted area (Thous. ha)";"2001";7492.7;729.5;290.7;27.7;244.6;140.3
"Planted area (Thous. ha)";"2002";7504.3;816.0;320.0;34.1;246.7;158.6
"Planted area (Thous. ha)";"2003";7452.2;912.7;313.2;27.8;243.8;165.6
"Planted area (Thous. ha)";"2004";7445.3;991.1;286.1;28.0;263.7;183.8
"Planted area (Thous. ha)";"2005";7329.2;1052.6;266.3;25.8;269.6;204.1
"Planted area (Thous. ha)";"2006";7324.8;1033.1;288.1;20.9;246.7;185.6
"Planted area (Thous. ha)";"2007";7207.4;1096.1;293.4;12.1;254.5;187.4
"Planted area (Thous. ha)";"2008";7400.2;1140.2;270.7;5.8;255.3;192.1
"Planted area (Thous. ha)";"2009";7437.2;1089.2;265.6;9.6;245.0;147.0
"Planted area (Thous. ha)";"2010";7489.4;1125.7;269.1;9.1;231.4;197.8
"Planted area (Thous. ha)";"2011";7655.4;1121.3;282.2;9.8;223.8;181.1
"Planted area (Thous. ha)";"2012";7761.2;1156.6;301.9;6.9;219.2;119.6
"Planted area (Thous. ha)";"2013";7902.5;1170.4;310.4;3.0;216.4;117.2
"Planted area (Thous. ha)";"2014";7816.2;1179.0;305.0;2.8;208.7;109.4
"Planted area (Thous. ha)";"Prel. 2015";7834.9;1179.3;284.5;1.5;200.0;100.8
"Index (Previous year = 100) - %";"2000";100.2;105.6;87.8;87.7;98.9;96.1
"Index (Previous year = 100) - %";"2001";97.7;99.9;96.2;148.9;99.9;113.1
"Index (Previous year = 100) - %";"2002";100.2;111.9;110.1;123.1;100.9;113.0
"Index (Previous year = 100) - %";"2003";99.3;111.9;97.9;81.5;98.8;104.4
"Index (Previous year = 100) - %";"2004";99.9;108.6;91.3;100.7;108.2;111.0
"Index (Previous year = 100) - %";"2005";98.4;106.2;93.1;92.1;102.2;111.0
"Index (Previous year = 100) - %";"2006";99.9;98.1;108.2;81.0;91.5;90.9
"Index (Previous year = 100) - %";"2007";98.4;106.1;101.8;57.9;103.2;101.0
"Index (Previous year = 100) - %";"2008";102.7;104.0;92.3;47.9;100.3;102.5
"Index (Previous year = 100) - %";"2009";100.5;95.5;82.7;38.0;97.5;104.0
"Index (Previous year = 100) - %";"2010";100.7;103.4;101.3;94.8;94.4;134.6
"Index (Previous year = 100) - %";"2011";102.2;99.6;104.9;107.7;96.7;91.6
"Index (Previous year = 100) - %";"2012";101.4;103.2;107.0;70.4;97.9;66.0
"Index (Previous year = 100) - %";"2013";101.8;101.2;102.8;43.5;98.7;98.0
"Index (Previous year = 100) - %";"2014";98.9;100.7;98.3;93.3;96.4;93.3
"Index (Previous year = 100) - %";"Prel. 2015";100.2;100.0;93.3;53.6;95.8;92.1
