"Planted area of peanut by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"WHOLE COUNTRY";259.9;262.8;253.5;269.4;247.6;244.9;244.6;246.7;243.8;263.7;269.6;246.7;254.5;255.3;245.0;231.4;223.8;219.2;216.4;208.7;200.0
"Ha Noi";3.3;3.7;3.2;3.5;4.0;3.5;3.7;3.8;3.6;3.9;4.2;3.4;3.3;8.3;6.9;6.7;6.1;5.0;4.8;4.1;3.8
"Vinh Phuc";3.9;4.2;3.9;4.1;4.5;3.7;3.7;3.8;3.9;3.9;4.1;2.7;4.1;4.6;3.7;3.6;3.6;3.3;3.4;3.2;3.0
"Nam Dinh";3.0;2.8;3.0;3.4;3.6;3.7;4.4;5.2;5.7;6.1;6.4;6.8;6.8;6.9;6.1;6.2;6.3;6.3;6.3;5.6;5.7
"Ninh Binh";0.4;4.7;5.0;5.2;5.1;5.1;5.5;5.1;4.9;5.5;5.7;5.3;5.1;4.8;5.1;4.8;4.9;4.7;4.9;4.5;4.2
"Ha Giang";1.6;1.5;1.6;1.8;1.9;2.1;2.3;2.2;2.7;3.6;3.7;4.3;4.3;5.6;6.5;6.7;7.1;7.3;7.8;8.3;8.6
"Tuyen Quang";2.8;3.1;3.0;3.1;3.0;3.0;3.3;3.0;2.9;2.9;3.4;3.5;4.1;4.4;4.7;4.9;4.8;4.7;4.8;4.3;4.4
"Thai Nguyen";6.3;6.0;5.7;5.8;5.7;5.5;5.2;4.9;4.3;4.3;4.2;3.9;4.3;4.5;4.5;4.3;4.2;4.3;4.3;4.4;4.1
"Bac Giang";6.9;7.6;7.3;7.6;7.5;7.3;7.8;8.3;8.1;9.2;10.9;9.7;10.1;12.6;11.2;11.5;11.6;11.8;11.7;11.4;11.7
"Phu Tho";5.5;5.9;5.7;5.7;7.3;6.8;6.7;6.0;5.8;6.2;6.0;5.7;6.0;6.3;6.0;5.5;5.4;5.0;5.1;4.7;4.3
"Hoa Binh";3.9;3.6;4.1;4.1;3.8;3.9;4.1;4.1;3.9;4.1;4.6;4.6;4.5;4.9;5.1;4.7;4.1;4.5;4.5;4.4;4.6
"Thanh Hoa";13.6;13.1;12.9;15.3;14.1;14.1;16.2;16.8;16.8;18.0;18.4;16.2;16.8;15.6;16.1;15.0;14.7;14.1;13.5;12.7;12.8
"Nghe An";27.0;26.3;25.4;28.1;29.1;26.6;26.6;23.2;22.6;24.1;27.2;23.3;24.4;23.4;23.8;21.9;20.5;20.1;19.6;18.0;16.2
"Ha Tinh";13.8;13.7;13.9;15.8;17.1;16.8;17.4;18.9;19.9;21.4;21.7;20.3;20.5;20.6;19.9;19.4;18.0;17.1;17.3;17.4;16.0
"Quang Binh";2.8;3.2;3.2;3.4;3.7;4.3;4.5;4.7;4.5;5.1;5.2;5.4;5.6;5.5;5.9;5.7;5.1;5.3;5.4;5.3;4.0
"Quang Tri";3.5;3.4;3.7;4.2;4.1;4.5;5.4;5.8;5.6;5.9;5.4;5.3;5.6;4.5;5.1;4.8;4.4;4.5;4.3;4.2;4.0
"Quang Nam";9.3;9.6;9.6;10.0;9.7;9.3;8.6;8.7;8.3;8.5;8.9;9.6;10.6;10.4;10.3;9.9;10.0;9.9;10.8;10.2;9.7
"Quang Ngai";5.0;4.7;5.0;5.9;5.6;5.6;5.8;5.5;5.2;5.6;5.9;5.5;5.7;5.6;5.4;5.5;5.7;5.8;5.9;6.4;6.0
"Binh Dinh";8.7;7.1;7.7;9.9;8.3;8.3;8.1;7.0;7.1;7.8;7.7;7.4;8.1;9.2;8.9;8.3;8.8;9.0;10.2;8.4;8.7
"Binh Thuan";5.6;7.4;7.1;7.0;7.3;7.7;7.9;7.1;7.8;7.3;8.2;7.0;6.7;5.7;6.4;5.3;5.2;5.6;5.9;6.0;5.3
"Dak Lak";16.0;17.1;15.7;13.2;13.2;15.9;17.4;20.3;19.6;13.7;12.4;11.7;9.5;8.6;7.9;7.8;7.4;7.8;7.4;7.2;7.2
"Dak Nong";..;..;..;..;..;..;..;..;..;6.9;8.2;7.7;8.7;8.3;7.6;7.8;7.7;6.4;3.8;4.4;4.2
"Tay Ninh";41.2;39.8;37.5;39.8;23.0;23.8;18.9;21.2;19.8;25.3;23.4;20.9;21.3;21.7;18.2;14.7;12.0;9.4;6.6;6.7;5.9
"Long An";12.6;14.5;12.1;13.3;7.1;6.0;5.1;6.8;6.6;8.7;8.8;7.2;7.8;8.2;6.8;5.1;6.2;7.0;8.1;6.8;6.0
"Tra Vinh";0.9;0.7;1.2;1.4;1.5;1.6;1.7;2.1;2.4;2.8;3.6;3.4;3.9;4.1;4.3;4.4;4.5;4.7;4.6;4.6;4.7
