"Planted area of soya-bean by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";121.1;110.3;106.4;129.4;129.1;124.1;140.3;158.6;165.6;183.8;204.1;185.6;187.4;192.1;147.0;197.8;181.1;119.6;117.2;109.4;100.8
"Ha Noi";2.4;2.4;2.0;2.3;2.7;2.3;2.3;2.6;1.9;1.9;2.0;1.7;1.6;34.8;7.3;35.9;32.5;12.1;19.8;18.5;20.2
"Ha Tay";7.8;8.8;6.3;9.6;12.8;12.5;12.2;14.9;16.0;19.0;27.5;31.8;33.6;..;..;..;..;..;..;..;..
"Vinh Phuc";3.3;2.5;2.8;4.4;6.0;4.6;5.4;5.9;5.6;6.2;8.5;6.9;4.3;6.2;2.7;6.2;4.6;2.9;2.7;2.4;2.5
"Bac Ninh";1.7;1.5;1.5;1.4;1.7;1.4;1.8;2.0;2.1;1.9;1.7;1.8;2.0;2.5;3.3;3.3;2.4;1.7;1.5;1.2;0.9
"Quang Ninh";2.1;1.9;1.7;1.8;1.5;1.4;1.3;1.3;1.2;1.0;0.9;1.0;0.9;0.9;1.0;0.9;0.8;0.8;0.8;0.6;0.5
"Hai Duong";3.2;3.3;1.9;2.6;1.9;1.8;2.1;2.1;1.9;1.9;2.3;1.6;1.3;1.1;1.4;1.1;0.8;0.6;0.6;0.6;0.5
"Hung Yen";4.0;4.0;2.3;3.4;4.2;3.6;4.1;4.9;4.9;5.5;7.3;4.7;4.4;3.9;3.2;3.9;3.3;2.4;2.4;2.0;2.2
"Thai Binh";4.0;3.5;3.2;3.3;3.2;3.0;3.0;3.3;3.8;6.0;6.2;6.7;7.2;7.3;10.2;15.7;13.9;6.8;5.0;5.1;4.5
"Ha Nam";1.4;1.4;1.2;1.7;2.1;2.3;2.3;2.7;3.0;3.5;6.2;7.7;8.2;9.9;1.5;12.3;12.2;5.0;6.1;5.1;3.8
"Nam Dinh";1.7;1.6;1.4;1.8;1.9;2.0;2.3;2.5;2.7;2.8;3.2;3.6;3.2;3.5;2.3;2.1;2.9;1.7;1.5;2.6;1.8
"Ha Giang";3.2;3.7;4.3;5.1;5.9;6.2;7.9;9.2;12.3;14.9;15.7;15.9;15.9;19.9;21.2;20.8;21.3;22.1;22.9;23.8;23.8
"Cao Bang";7.5;6.8;6.6;6.8;6.2;6.9;7.0;7.0;7.2;7.3;7.6;6.4;6.2;6.2;5.7;5.6;5.5;5.4;4.8;4.7;4.4
"Bac Kan";0.7;0.6;0.7;1.0;1.2;1.1;1.6;1.8;1.9;2.5;2.6;2.3;2.1;2.3;2.4;2.0;1.8;1.6;1.3;1.0;1.0
"Tuyen Quang";2.5;2.4;2.3;2.7;1.8;1.8;2.3;2.5;1.9;2.1;2.0;2.2;2.6;2.8;2.3;2.7;2.8;2.1;1.6;1.2;1.1
"Lao Cai";3.0;3.2;3.7;3.4;3.7;3.6;4.3;4.7;5.0;5.2;5.3;5.6;5.7;5.2;5.4;5.0;4.9;4.9;4.9;4.9;5.0
"Thai Nguyen";2.6;2.3;2.6;3.2;3.3;3.4;3.7;4.5;3.7;3.6;3.4;2.9;2.3;2.0;1.9;1.6;1.6;1.4;1.3;1.2;1.0
"Lang Son";2.4;2.6;2.7;2.8;2.0;2.0;2.1;2.0;2.1;2.3;2.4;2.1;2.0;2.0;1.8;1.6;1.4;1.3;1.2;1.2;1.1
"Bac Giang";6.1;5.5;5.3;6.4;5.6;5.5;5.7;5.8;5.4;4.8;4.2;3.1;2.3;2.1;1.8;1.6;1.2;1.1;0.8;0.7;0.7
"Dien Bien";..;..;..;..;..;..;..;..;..;6.1;8.6;8.9;9.1;10.0;9.2;7.7;7.1;6.6;5.4;5.5;4.9
"Lai Chau";2.7;2.9;3.5;3.4;3.6;3.9;4.3;5.0;7.3;1.5;1.7;2.0;2.1;2.3;2.3;2.4;2.6;2.5;2.8;2.3;2.2
"Son La";8.0;7.5;6.9;8.8;8.4;9.5;10.0;10.8;12.2;13.2;12.1;9.2;9.2;7.7;7.5;7.4;7.4;3.6;2.7;2.1;1.4
"Hoa Binh";3.4;2.8;2.2;2.1;1.9;2.1;2.6;2.7;2.2;2.2;2.2;2.3;2.7;2.8;1.5;1.4;1.1;0.6;0.6;0.5;0.4
"Thanh Hoa";2.3;1.5;1.4;2.3;2.7;2.7;4.7;6.7;6.7;6.2;5.6;4.9;5.3;4.4;4.7;6.0;9.6;7.8;9.3;7.6;4.1
"Dak Lak";9.8;10.9;10.6;10.9;11.3;15.0;15.4;21.0;22.6;11.7;11.5;9.6;9.4;9.2;8.3;8.0;7.9;7.7;3.9;3.7;3.4
"Dak Nong";..;..;..;..;..;..;..;..;..;14.0;15.1;13.7;14.9;15.0;15.9;15.4;11.1;6.6;5.1;4.9;5.1
"Dong Nai";13.1;8.8;12.9;14.4;13.7;9.9;9.5;7.8;7.6;5.2;4.5;3.2;2.8;1.8;1.2;1.6;0.7;0.6;0.4;0.3;0.3
"Dong Thap";7.9;6.4;5.0;7.2;5.9;3.2;5.9;7.2;7.6;10.4;11.5;6.7;7.3;6.2;5.3;4.9;2.5;1.7;0.9;0.7;0.3
"An Giang";3.3;3.8;2.1;4.6;3.2;2.3;3.7;3.6;2.5;3.4;2.5;1.0;1.1;0.7;0.6;0.4;0.2;0.3;0.1;0.1;0.1
