"Planted area of sugar-cane by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"WHOLE COUNTRY";224.8;237.0;257.0;283.0;344.2;302.3;290.7;320.0;313.2;286.1;266.3;288.1;293.4;270.7;265.6;269.1;282.2;301.9;310.4;305.0;284.5
"Quang Ninh";0.3;0.4;0.4;0.4;0.4;0.5;0.5;0.4;0.4;0.5;0.4;0.4;0.4;0.4;0.4;0.4;0.5;..;..;..;..
"Ninh Binh";0.7;1.4;1.3;1.4;1.4;1.4;1.4;1.4;1.5;1.5;1.5;1.2;1.3;1.1;0.9;1.0;0.9;1.0;1.0;1.0;0.9
"Ha Giang";0.3;0.3;0.3;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.6;0.6;0.6
"Cao Bang";1.1;1.1;1.3;1.9;2.7;2.6;2.2;2.2;2.6;2.3;1.7;2.1;2.6;2.9;2.7;2.9;3.4;4.2;4.5;4.3;3.2
"Tuyen Quang";2.4;3.1;4.3;4.8;6.6;6.9;5.1;6.6;6.7;6.4;5.3;5.4;6.5;6.4;6.3;6.6;8.6;10.1;10.6;10.7;11.6
"Yen Bai";1.1;1.1;1.0;1.0;1.1;1.1;1.1;1.1;1.1;0.7;0.6;0.7;0.7;0.8;0.8;0.8;0.7;0.7;0.7;0.6;0.6
"Son La";0.9;1.5;3.1;3.4;4.7;3.7;3.5;4.3;4.2;3.6;3.4;4.2;4.0;3.4;3.3;3.3;4.2;4.7;4.8;5.2;5.5
"Hoa Binh";4.9;5.6;6.3;6.3;7.0;6.5;6.8;7.7;7.6;7.0;6.6;6.4;8.0;7.8;7.8;8.1;9.1;8.3;8.7;9.3;9.5
"Thanh Hoa";7.5;11.1;15.8;17.5;29.7;28.8;27.8;28.7;32.0;31.4;30.7;31.5;32.9;32.3;31.6;30.3;31.1;34.6;36.5;34.0;32.2
"Nghe An";2.1;3.1;4.3;7.9;13.1;17.3;20.1;25.7;26.2;24.0;22.3;26.7;30.3;29.9;27.4;23.4;23.3;25.6;27.8;28.4;26.7
"Quang Ngai";10.7;10.9;10.2;11.2;12.2;9.8;7.4;9.4;9.2;8.3;7.0;6.9;7.3;7.0;6.1;5.8;5.6;5.7;5.3;5.1;4.4
"Binh Đinh";5.4;6.4;6.7;7.5;8.3;10.0;6.6;7.0;6.7;5.5;4.0;3.3;3.5;3.1;2.3;2.4;2.6;2.8;2.8;2.9;1.6
"Phu Yen";9.8;13.1;14.2;17.2;19.5;17.2;19.5;20.9;20.2;20.1;18.0;19.7;20.3;18.1;18.2;19.9;20.9;23.4;24.7;26.2;24.8
"Khanh Hoa";11.7;12.4;12.4;14.3;15.7;14.8;15.7;16.2;15.9;16.3;15.4;17.3;17.3;16.9;16.9;17.3;17.2;17.7;18.2;19.8;19.9
"Ninh Thuan";1.1;1.4;1.5;1.9;2.0;2.5;1.6;2.0;1.9;1.9;1.4;1.5;1.6;1.6;1.7;1.7;2.3;2.6;3.1;2.9;3.1
"Binh Thuan";1.4;2.2;3.4;3.4;6.8;7.1;4.3;4.6;5.5;6.1;4.3;3.0;3.3;3.2;3.8;4.8;3.4;2.9;2.7;2.0;1.0
