"Production of aquaculture by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Pre.2015"
" WHOLE COUNTRY";389069;423038;414594;425031;480767;589595;709891;844810;1003095;1202486;1478870;1693860;2124555;2465607;2589790;2728334;2933083;3115315;3215901;3412799;3513266
"Red River Delta";55628;64784;75977;88396;100157;112957;131950;166193;180666;215656;234327;266415;304285;322147;360795;393863;420973;456105;524801;542167;583377
"Ha Noi";4985;5651;5696;6492;6917;7746;8722;8873;8975;9659;9816;10210;10802;34767;41484;56735;62131;67784;72823;79295;86755
"Ha Tay";6450;7585;6460;7469;8480;8724;9760;12098;14432;17140;21639;23084;27960;..;..;..;..;..;..;..;..
"Vinh Phuc";3810;2504;2990;3338;3518;3907;4371;5325;6317;7662;8523;9218;10409;11818;12406;12406;16195;15890;16597;17190;17781
"Bac Ninh";954;1615;4014;4910;5286;5544;7203;8403;10514;13065;16383;19388;22828;23266;26136;29074;31700;32626;33456;34097;34662
"Quang Ninh";2248;2470;3826;2790;3168;4192;8407;17046;15196;20666;19165;19249;26171;25208;27508;28725;29615;28945;33142;38266;45806
"Hai Duong";4352;6601;8231;9205;10458;11653;13050;16937;22002;25020;28258;32548;40123;46333;49558;51411;55554;60498;61124;61607;64859
"Hai Phong";11589;13634;14281;15164;16145;19424;20617;28034;33437;34548;34977;38510;39942;42187;43442;40175;47070;49863;50840;51703;46969
"Hung Yen";1415;2351;3103;3217;5248;5572;6283;7315;8147;9490;11236;13754;15549;17389;20291;23486;25360;28298;29653;30913;33933
"Thai Binh";8747;8108;8709;14456;16050;19016;22329;24262;19770;29215;32988;39188;43790;52572;60925;68406;53562;66743;114364;107609;118498
"Ha Nam";2666;2727;2922;4261;3643;4331;5790;7473;9407;10299;11584;12992;13933;11902;17296;18208;19608;20151;20793;21185;21595
"Nam Dinh";6562;9723;12897;13497;16866;17627;20089;22609;22714;28074;28419;33571;37547;39682;42199;48937;53230;54037;59289;66390;76973
"Ninh Binh";1850;1815;2847;3597;4378;5221;5329;7818;9755;10817;11339;14704;15232;17022;19550;16300;26948;31270;32720;33912;35547
"Northern midlands and mountain areas";10906;12365;13644;15723;16908;19601;20953;25826;29487;32513;37006;42526;48850;50162;60148;65792;72936;81066;88924;95243;102874
"Ha Giang";627;682;729;795;836;858;886;984;998;1045;1081;1145;1203;1271;1316;1341;1413;1552;1683;1729;1756
"Cao Bang";85;91;80;134;191;197;201;208;234;247;252;263;289;289;274;265;278;297;323;319;327
"Bac Kan";195;266;228;242;45;266;215;289;369;378;430;524;648;698;772;834;842;827;860;876;890
