"Production of aquaculture fish by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";209142;255958;279324;285626;335979;391053;421020;486421;604400;761566;971179;1157093;1530255;1863314;1962596;2101577;2255563;2402240;2351580;2458750;2522597
"Red River Delta";49676;54877;65415;71536;79840;86672;97857;115036;128714;151326;174650;203143;230522;243818;276590;307161;332303;354124;370397;389358;406447
"Ha Noi";4985;5651;5696;6492;6917;7744;8688;8827;8928;9614;9795;10179;10774;34738;41460;56708;62105;67752;71793;79295;86749
"Ha Tay";6450;7585;6460;7469;8480;8722;9755;12097;14431;16983;21634;23025;27900;..;..;..;..;..;..;..;..
"Vinh Phuc";3810;2504;2990;3338;3514;3907;4371;5325;6317;7662;8513;9216;10393;11805;12389;12389;16184;15883;16587;17183;17774
"Bac Ninh";845;1453;4009;4514;4948;5201;6783;7993;10120;12627;15978;19013;22443;22765;25754;28659;31275;32212;33059;33750;34249
"Quang Ninh";1436;1591;2497;1583;1700;2279;2669;3564;4664;5956;7133;8581;9462;9406;10697;10413;9083;8763;12540;14687;15847
"Hai Duong";4351;6600;8160;9205;10457;11651;13050;16923;21986;24901;28123;32380;40014;46250;49465;51318;55478;60419;61043;61526;64805
"Hai Phong";7702;10343;10906;10566;10907;11819;12291;13010;13957;15812;17666;20748;23047;26084;27804;29726;32693;37442;35977;36587;30044
"Hung Yen";1414;2350;3100;3212;5223;5534;5822;6650;7463;8727;10357;13074;14627;16573;19336;22428;24676;27551;28902;30186;33153
"Thai Binh";8121;6713;6721;7964;9486;10695;12727;14153;12157;16307;19733;23835;25771;28299;32559;34687;35390;36211;37682;38673;39935
"Ha Nam";2254;2670;2860;4100;3590;4056;5553;7422;9348;10200;11430;12786;13699;11655;16871;17718;19365;20002;20642;21080;21487
"Nam Dinh";6488;5692;9403;9594;10392;10088;11260;12623;11262;13620;15276;17268;19171;21125;23974;26874;28934;29908;32872;35981;41571
"Ninh Binh";1820;1725;2612;3499;4226;4976;4888;6449;8081;8916;9012;13038;13221;15118;16281;16241;17120;17983;19300;20411;20833
