"Production of aquaculture shrimp by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";55316;49749;49298;54884;57452;93503;154911;186216;237880;281816;327194;354514;384519;388359;419381;449652;478694;473910;560500;615164;628231
"Red River Delta";1849;2213;2669;2971;3342;4450;5953;9023;11645;13023;13321;14098;16054;14512;14981;15753;15844;17263;17815;19373;20963
"Ha Noi";..;..;..;..;0;2;34;46;47;45;21;31;28;21;13;14;17;13;10;..;..
"Ha Tay";..;..;..;..;..;..;1;1;1;..;4;8;9;..;..;..;..;..;..;..;..
"Vinh Phuc";..;..;..;..;4;..;..;..;..;..;6;2;2;1;..;..;..;..;..;..;..
"Bac Ninh";..;..;..;391;335;342;360;346;311;308;221;199;203;189;132;139;141;152;149;146;142
"Quang Ninh";518;533;777;526;694;854;903;1748;2947;4230;5038;5325;7126;6287;6938;7162;7010;7784;7864;8332;7725
"Hai Duong";..;..;..;..;..;..;..;14;16;14;17;18;12;15;14;16;15;21;22;17;9
"Hai Phong";478;627;757;824;967;1303;1533;2232;2591;2400;2266;2800;2547;2613;2597;3039;3282;4108;4255;5047;5664
"Hung Yen";..;..;..;..;25;38;82;186;180;187;269;192;237;196;252;273;210;232;236;234;238
"Thai Binh";350;425;419;423;396;616;1357;1902;2344;2683;2201;2490;2727;2279;1975;1938;2013;2090;2046;2093;2445
"Ha Nam";79;27;30;..;..;35;48;50;16;56;129;162;202;212;321;311;112;14;15;16;17
"Nam Dinh";394;565;617;721;796;1039;1284;1660;2075;2237;1904;2008;1906;1900;1896;2007;2120;2351;2615;2781;3967
"Ninh Binh";30;35;70;87;125;221;351;838;1117;863;1245;864;1055;799;843;854;924;499;604;708;756
"Northern midlands and mountain areas";30;40;42;50;54;69;57;66;102;123;312;355;388;294;379;328;239;321;337;179;170
"Ha Giang";..;1;2;1;1;2;3;3;4;4;4;4;5;18;23;24;24;23;16;16;16
"Cao Bang";..;..;..;..;..;..;..;..;..;..;..;1;6;5;3;1;..;..;..;..;..
"Bac Kan";3;5;4;4;4;3;1;2;5;5;6;7;8;8;8;5;5;4;5;6;6
"Tuyen Quang";..;7;8;8;11;13;11;12;13;12;13;12;14;14;16;11;3;2;1;..;..
"Lao Cai";..;..;..;..;..;..;..;..;4;1;2;4;5;5;3;1;1;..;..;..;..
"Yen Bai";..;..;..;..;..;6;..;..;3;5;6;6;6;7;8;9;..;..;..;..;..
"Thai  Nguyen";27;27;25;33;32;36;35;39;45;47;49;49;50;50;51;56;56;58;60;60;57
"Lang Son";..;..;..;..;..;1;..;..;3;8;4;3;4;4;1;2;2;2;2;8;3
"Phu Tho";..;..;..;4;2;..;..;3;8;16;174;185;226;114;205;162;86;166;169;..;..
"Dien Bien";..;..;..;..;..;..;..;..;1;3;9;11;13;17;7;10;10;11;11;12;14
"Lai Chau";..;..;..;..;1;1;1;1;1;4;7;7;8;6;6;7;6;6;3;4;4
"Son La";..;..;..;..;..;..;..;..;..;..;11;26;1;1;12;2;7;8;28;29;26
"Hoa Binh";..;..;3;..;2;7;6;6;15;18;30;40;42;45;36;38;39;41;43;44;45
"Northern Central area and Central coastal area";5666;6866;7495;10667;10895;18188;25591;27490;33499;33201;33311;37214;43563;51216;69562;71457;77835;75664;76771;83179;78918
"Thanh Hoa";180;353;580;592;619;706;1015;1993;2323;1897;2208;1934;2147;1965;1898;2105;2496;2506;2763;2763;3007
"Nghe An";330;151;48;125;68;149;409;550;855;891;1180;1750;1914;1937;2736;4069;5830;4405;5441;5467;5203
"Ha Tinh";116;250;123;86;94;346;301;631;1511;1881;2517;2213;1857;1352;1540;1726;2120;2139;2436;2686;3701
"Quang Binh";124;117;94;121;136;177;227;408;1043;1558;1585;1661;2150;2309;3057;3310;4082;4321;4223;4948;4917
"Quang Tri";39;28;39;22;36;53;241;270;1096;1225;1653;1617;1847;2103;3968;4725;4626;4165;4434;4897;5283
"Thua Thien-Hue";99;149;174;258;365;649;1697;2130;3174;3443;3362;3861;3710;4056;4268;3558;3696;4174;4510;5959;5776
"Da Nang";23;38;70;80;152;186;286;304;517;514;505;203;259;276;253;168;81;130;51;78;80
"Quang  Nam";282;374;276;424;632;1613;2350;2257;1710;3054;3151;2930;3305;5517;10926;8253;8647;12340;10555;11879;11902
"Quang  Ngai";250;290;187;448;586;766;902;1050;903;1300;3005;4160;4950;5690;6796;5717;5354;5293;4746;4403;4209
"Binh Dinh";481;542;652;635;828;1559;1682;1901;1949;1910;1709;2310;2908;4041;5147;5971;6166;5393;5357;5725;5911
"Phu Yen";899;1133;1636;1862;1734;2586;2523;2880;3331;3382;2615;2872;3203;4123;6070;7438;8863;6859;8201;8648;6845
"Khanh  Hoa";1923;2345;2545;3848;3808;6928;8200;6609;8072;5968;5330;6368;6478;7569;6949;7188;7857;7620;7047;7268;6518
"Ninh  Thuan";600;699;750;1122;1358;1820;3858;3890;3695;3500;1995;3575;5412;5821;7112;7851;7820;6953;7956;8943;7093
"Binh Thuan";320;398;320;1044;480;650;1900;2617;3320;2678;2496;1760;3423;4457;8842;9378;10197;9366;9052;9516;8474
"Central Highlands";0;0;0;33;53;18;52;54;62;55;64;62;88;61;67;71;61;7;7;7;7
"Gia Lai";..;..;..;..;..;..;..;..;..;..;..;..;0;0;1;1;1;..;..;..;..
"Dak Lak";..;..;..;33;53;18;52;54;53;51;55;54;52;52;52;54;50;7;..;7;7
"Dak Nong";..;..;..;..;..;..;..;..;5;3;7;5;29;5;10;12;9;..;7;..;..
"Lam Dong";..;..;..;..;..;..;..;..;4;1;2;3;6;4;5;4;1;..;..;..;..
"South East";650;979;959;1781;1708;1786;4827;6674;10351;12772;14426;15948;14896;15207;15805;14804;18519;22833;24313;19157;23692
"Tay Ninh";..;..;..;..;..;..;..;10;8;12;3;5;18;1;1;1;1;1;..;..;4
"Binh  Duong";..;..;..;..;..;..;..;4;3;2;2;18;19;2;..;..;..;..;..;..;..
"Dong Nai";151;238;262;408;625;635;891;1335;1564;1662;1531;1262;1956;4088;4102;195;4448;4731;4804;4857;5158
"Ba Ria - Vung Tau";208;237;538;535;349;454;1027;1509;1802;2855;3702;3981;3322;2495;2951;3657;1259;4596;4833;..;5674
"Ho Chi Minh city";291;504;159;838;734;697;2909;3816;6974;8241;9188;10682;9581;8621;8751;10951;12811;13505;14676;14300;12855
"Mekong River Delta";47121;39652;38133;39382;41400;68995;118432;142908;182221;222643;265761;286837;309531;307070;318586;347239;366196;357822;441257;493269;504483
"Long An";51;157;146;142;374;595;1725;2202;4264;4072;6014;7190;6968;5720;7333;6660;8912;10179;11809;12717;12061
"Tien Giang";350;738;676;805;1115;1174;1405;2576;4322;6297;7998;8273;9381;10118;11058;12833;14479;15595;17295;19600;20599
"Ben Tre";5300;5446;5580;4603;5167;5827;8024;11454;13698;19398;25090;23446;25362;22841;20338;29208;38251;35796;53589;55946;47180
"Tra Vinh";3909;4550;2150;3500;4590;2310;4391;4928;9574;12884;19688;24142;24814;19789;17442;20944;24678;11256;20592;35465;35430
"Vinh Long";57;58;57;60;61;64;71;76;52;44;47;34;27;27;24;16;12;13;11;10;10
"Dong Thap";48;34;105;127;145;316;396;634;645;221;103;402;953;1504;1737;1727;1889;1900;1541;1822;1399
"An Giang";639;2;..;3;3;5;178;305;459;651;698;815;1060;1297;1045;916;774;697;333;266;333
"Kien  Giang";1861;1061;918;1122;1062;1764;4800;6675;10183;15228;18461;22847;28350;28601;31207;34765;39668;40292;41978;51430;52210
"Can Tho";142;117;113;117;17;17;65;67;78;100;75;124;206;81;35;22;25;22;20;19;19
"Hau Giang";..;..;..;..;..;..;..;..;24;45;34;25;27;27;19;9;3;3;4;5;5
"Soc Trang";3534;3444;3468;5109;3210;11143;13700;15980;21211;27424;42837;52696;58495;58790;60548;60830;47753;40529;68514;82197;89164
"Bac Lieu";7214;5720;5985;6977;5936;10403;28347;37392;55268;68342;63616;58400;64151;63984;68200;70462;72400;77107;84957;93825;102532
"Ca Mau";24016;18325;18935;16817;19720;35377;55330;60619;62443;67936;81100;88443;89737;94291;99600;108847;117352;124433;140614;139967;143541
