"Production of aquaculture by Iterms, Year and Aquaculture"

"Iterms";"Year";"Total";"Fish";"Shrimps"
"Production (Thous. tons)";"1990";162.1;129.3;32.7
"Production (Thous. tons)";"1991";168.1;132.3;35.8
"Production (Thous. tons)";"1992";172.9;135.5;37.4
"Production (Thous. tons)";"1993";188.1;139.7;39.4
"Production (Thous. tons)";"1994";344.1;178.4;44.7
"Production (Thous. tons)";"1995";389.1;209.1;55.3
"Production (Thous. tons)";"1996";423.0;256.0;49.7
"Production (Thous. tons)";"1997";414.6;279.3;49.3
"Production (Thous. tons)";"1998";425.0;285.6;54.9
"Production (Thous. tons)";"1999";480.8;336.0;57.5
"Production (Thous. tons)";"2000";590.0;391.1;93.5
"Production (Thous. tons)";"2001";710.3;421.0;154.9
"Production (Thous. tons)";"2002";845.3;486.4;186.2
"Production (Thous. tons)";"2003";1003.7;604.2;237.9
"Production (Thous. tons)";"2004";1203.2;761.5;281.8
"Production (Thous. tons)";"2005";1478.9;971.2;327.2
"Production (Thous. tons)";"2006";1695.0;1157.1;354.5
"Production (Thous. tons)";"2007";2124.6;1530.3;384.5
"Production (Thous. tons)";"2008";2465.6;1863.3;388.4
"Production (Thous. tons)";"2009";2589.8;1962.6;419.4
"Production (Thous. tons)";"2010";2728.3;2101.6;449.7
"Production (Thous. tons)";"2011";2933.1;2255.6;478.7
"Production (Thous. tons)";"2012";3115.3;2402.2;473.9
"Production (Thous. tons)";"2013";3215.9;2351.6;560.5
"Production (Thous. tons)";"2014";3412.8;2458.7;615.2
"Production (Thous. tons)";"Prel. 2015";3513.3;2522.6;628.2
"Index (Previous year = 100) - %";"1990";98.3;93.7;121.7
"Index (Previous year = 100) - %";"1991";103.7;102.3;109.5
"Index (Previous year = 100) - %";"1992";102.9;102.4;104.5
"Index (Previous year = 100) - %";"1993";108.8;103.1;105.3
"Index (Previous year = 100) - %";"1994";182.9;127.7;113.5
"Index (Previous year = 100) - %";"1995";113.1;117.2;123.7
"Index (Previous year = 100) - %";"1996";108.7;122.4;89.9
"Index (Previous year = 100) - %";"1997";98.0;109.1;99.2
"Index (Previous year = 100) - %";"1998";102.5;102.3;111.4
"Index (Previous year = 100) - %";"1999";113.1;117.6;104.7
"Index (Previous year = 100) - %";"2000";122.6;116.4;162.6
"Index (Previous year = 100) - %";"2001";120.4;107.6;165.7
"Index (Previous year = 100) - %";"2002";119.0;115.5;120.2
"Index (Previous year = 100) - %";"2003";118.7;124.2;127.8
"Index (Previous year = 100) - %";"2004";119.9;126.0;118.5
"Index (Previous year = 100) - %";"2005";122.9;127.5;116.1
"Index (Previous year = 100) - %";"2006";114.6;119.1;108.3
"Index (Previous year = 100) - %";"2007";125.3;132.3;108.5
"Index (Previous year = 100) - %";"2008";116.1;121.8;101.0
"Index (Previous year = 100) - %";"2009";105.0;105.3;108.0
"Index (Previous year = 100) - %";"2010";105.3;107.1;107.2
"Index (Previous year = 100) - %";"2011";107.5;107.3;106.4
"Index (Previous year = 100) - %";"2012";106.2;106.5;99.0
"Index (Previous year = 100) - %";"2013";103.2;97.9;118.3
"Index (Previous year = 100) - %";"2014";106.1;104.6;109.8
"Index (Previous year = 100) - %";"Prel. 2015";102.9;102.6;102.1
