"Production of cereals by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";26142.5;27935.7;29182.9;30758.6;33150.1;34538.9;34272.9;36960.7;37706.9;39581.0;39621.6;39706.2;40247.4;43305.4;43323.4;44632.2;47235.5;48712.6;49231.6;50178.5;50498.3
"Red River Delta";5462.5;5794.1;6143.1;6449.0;6874.5;7056.9;6846.9;7212.8;7019.6;7288.9;6755.0;7068.6;6875.5;7219.5;7105.4;7246.6;7409.8;7285.2;7062.7;7175.2;7172.9
"Ha Noi";198.9;222.0;223.6;232.6;238.7;256.3;222.4;233.2;231.0;227.6;215.7;211.7;212.7;1288.8;1229.2;1237.5;1332.2;1301.9;1256.5;1273.5;1273.6
"Ha Tay";698.5;745.4;755.8;847.4;941.1;990.4;961.9;1035.3;1005.7;1022.7;991.7;972.7;939.6;..;..;..;..;..;..;..;..
"Vinh Phuc";255.7;269.2;303.1;314.2;334.7;381.9;346.6;397.8;421.1;436.7;413.2;382.6;367.8;375.0;350.0;388.7;405.5;355.6;373.6;395.6;395.6
"Bac Ninh";257.4;308.0;337.7;365.7;404.1;453.1;438.2;452.8;448.6;455.3;444.6;442.0;429.6;450.1;453.7;450.8;480.5;471.9;442.5;457.0;463.2
"Quang Ninh";122.7;142.3;155.7;163.2;171.1;189.0;198.8;213.8;230.6;235.3;237.1;221.1;230.6;228.1;226.1;232.8;236.6;239.2;232.9;234.0;233.8
"Hai Duong";697.1;763.6;798.2;807.7;843.9;842.9;803.5;841.0;846.9;823.2;797.0;789.5;762.5;779.2;792.8;780.3;801.5;800.6;760.8;763.6;761.4
"Hai Phong";397.0;423.5;430.6;441.4;472.6;492.1;488.5;500.0;505.5;512.9;466.9;488.2;469.3;485.5;498.4;499.2;498.1;499.1;498.1;491.0;484.1
"Hung Yen";421.7;463.2;480.0;504.2;539.9;549.1;522.7;547.4;553.2;547.5;537.1;535.2;535.1;561.7;546.3;563.3;579.4;574.9;548.0;536.6;529.5
"Thai Binh";966.4;1011.9;975.5;993.9;1081.2;1071.2;1013.0;1102.6;964.4;1124.9;1033.3;1122.1;1062.8;1154.2;1150.7;1153.7;1140.8;1110.1;1098.0;1116.6;1126.6
"Ha Nam";312.9;322.8;359.1;383.0;408.6;408.9;415.5;424.6;409.2;422.1;401.7;435.1;443.5;456.8;448.0;459.2;468.9;469.0;437.5;445.1;453.3
"Nam Dinh";807.3;832.0;927.6;971.3;990.1;976.5;979.9;993.5;958.8;1002.6;801.4;984.1;948.9;948.1;907.0;972.5;952.6;953.7;932.4;956.3;954.9
"Ninh Binh";326.9;290.2;396.2;424.4;448.5;445.5;455.9;470.8;444.6;478.1;415.3;484.3;473.1;492.0;503.2;508.6;513.7;509.2;482.4;505.9;496.9
"Northern midlands and mountain areas";2003.3;2172.8;2368.9;2432.4;2665.2;2933.8;3209.6;3432.1;3632.9;3815.8;3908.3;3961.5;4293.9;4448.9;4569.3;4623.5;4900.2;5115.3;5164.9;5232.1;5244.4
"Ha Giang";127.3;142.7;151.0;162.0;173.5;193.3;210.2;222.8;234.1;239.6;247.5;249.0;252.5;279.2;308.0;330.7;357.3;371.7;383.9;386.4;391.2
"Cao Bang";147.7;143.2;155.6;151.9;161.5;164.2;179.1;179.4;191.2;193.2;206.7;197.8;229.1;237.5;228.7;242.1;242.1;250.2;257.0;255.1;262.5
"Bac Kan";55.6;63.2;75.0;77.0;79.5;87.5;99.6;106.1;116.2;118.3;127.4;123.4;148.5;152.2;151.9;151.0;162.6;166.2;174.2;176.2;186.4
"Tuyen Quang";158.5;176.1;187.1;196.9;211.1;223.1;274.4;270.4;297.3;303.4;308.8;307.4;325.6;323.3;324.0;332.5;338.3;327.1;337.6;333.4;347.1
"Lao Cai";110.2;118.9;117.2;128.7;141.0;151.4;167.1;177.1;194.3;172.0;182.1;183.6;199.8;199.1;220.9;228.0;251.7;259.9;269.1;266.1;281.5
"Yen Bai";130.1;140.0;140.8;141.9;161.2;170.1;176.3;183.0;194.2;202.2;202.9;213.7;218.1;215.5;235.6;250.8;267.6;273.2;283.0;286.0;300.4
"Thai  Nguyen";189.5;224.3;249.8;256.2;278.8;296.3;316.4;348.9;357.2;369.0;377.3;380.4;399.2;417.2;407.3;415.0;448.7;443.8;444.6;445.1;465.7
