"Production of cereals per capita by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";363.1;381.8;392.6;407.6;432.7;444.9;435.6;463.6;466.1;482.5;480.9;476.6;477.9;508.8;503.6;513.4;537.7;548.7;548.5;553.1;550.6
"Red River Delta";319.8;335.1;351.1;364.5;384.5;390.9;374.7;390.0;375.3;385.6;356.0;369.9;357.6;370.7;362.2;365.5;370.1;359.9;344.8;346.5;342.8
"Ha Noi";81.8;89.1;87.5;88.7;88.9;93.6;78.3;79.6;76.8;73.8;68.8;66.5;65.9;201.9;189.9;187.8;198.1;190.4;180.1;179.5;176.5
"Ha Tay";303.8;320.2;321.2;357.0;393.5;410.3;395.5;422.1;405.6;409.0;366.9;354.7;338.8;..;..;..;..;..;..;..;..
"Vinh Phuc";243.9;253.5;281.7;289.4;305.9;345.3;310.7;352.8;368.4;378.2;357.1;328.1;313.3;377.3;349.9;385.8;400.9;347.8;362.9;379.7;375.2
"Bac Ninh";281.0;332.9;362.5;390.0;428.5;477.6;457.6;466.2;459.3;461.1;448.6;442.1;425.6;442.1;442.0;433.0;453.1;434.6;399.3;404.0;401.2
"Quang Ninh";130.3;148.5;159.8;164.6;169.9;186.0;193.0;205.6;218.5;220.5;216.3;199.3;205.4;201.0;197.3;201.6;202.7;203.1;196.1;195.1;193.0
"Hai Duong";433.2;471.5;489.5;492.1;511.1;506.8;480.9;499.3;501.4;484.7;472.9;467.2;449.9;458.1;464.5;455.6;465.0;460.5;434.3;433.1;429.1
"Hai Phong";246.9;260.6;262.3;266.0;281.9;290.4;285.5;289.5;288.2;289.6;263.3;272.9;259.8;266.2;270.8;268.7;265.0;262.1;258.7;252.3;246.6
"Hung Yen";408.1;444.3;456.2;474.9;503.9;508.2;479.1;497.0;497.3;488.7;483.4;479.4;477.2;498.8;484.1;494.9;508.3;501.8;475.8;463.4;454.8
"Thai Binh";551.5;574.6;551.3;558.8;604.7;593.9;558.2;602.9;526.7;610.3;577.1;627.8;595.8;647.4;645.3;646.4;638.8;621.1;614.0;624.2;629.7
"Ha Nam";409.7;418.4;460.7;486.9;515.6;514.0;519.1;526.9;502.1;515.0;507.6;550.8;562.5;580.5;569.8;584.0;595.9;594.1;549.6;556.8;564.7
"Nam Dinh";443.4;452.7;499.7;518.2;523.3;512.8;511.3;514.3;495.5;514.9;433.0;535.0;518.6;519.2;496.1;531.4;519.6;519.7;506.8;518.2;516.0
"Ninh Binh";382.1;335.1;453.2;481.7;506.8;500.7;511.2;526.4;490.7;524.5;464.8;541.4;528.0;547.8;559.4;564.4;565.9;554.2;520.3;540.6;526.1
