"Production of fishery by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";1584361;1701002;1730432;1782002;2006753;2250499;2434649;2647408;2859200;3142478;3466804;3720459;4199082;4602026;4870317;5142745;5447418;5820754;6019747;6333165;6549653
"Red River Delta";125731;152513;154361;172501;195121;219505;245023;287706;314353;353894;379300;414828;460888;497197;549748;592266;625670;666026;741592;773753;823310
"Ha Noi";6940;7811;7516;7582;7803;8600;9633;9824;9902;10317;10430;10808;11355;37797;44359;59548;64984;71384;76724;83290;88001
"Ha Tay";13402;12520;11864;11714;12381;12471;13591;15625;17876;20160;24012;25002;29811;..;..;..;..;..;..;..;..
"Vinh Phuc";6805;9311;6961;6449;5451;5853;6157;6889;7889;9087;9877;10545;11853;13268;14111;14111;17845;17934;18520;19201;19758
"Bac Ninh";2320;3615;5260;6260;6606;6826;8493;9675;11654;14239;17607;20456;23854;24781;27728;30652;33231;34155;35021;35623;36137
"Quang Ninh";15386;16951;19244;20689;22614;25509;31838;43745;45771;55924;54864;57179;66320;72407;78763;82154;85637;85735;87898;94157;94578
"Hai Duong";9010;11045;8941;10829;12256;13430;14847;18892;24129;27341;30594;34854;42425;48629;51845;53655;57757;62684;63269;64387;66673
"Hai Phong";26589;29834;29283;31966;36369;42588;47084;56187;62390;66269;70256;72517;75809;81879;86544;85379;93393;97716;100772;106913;114814
"Hung Yen";3980;4879;5750;5929;7463;7580;7784;8910;9806;10923;12704;14905;16583;18385;21225;24371;26144;29072;30417;31670;34670
"Thai Binh";20116;31303;27376;32119;35375;40182;44007;47825;47652;54893;62529;71765;77845;88899;101705;113204;100505;116345;168533;166292;183238
"Ha Nam";2666;2965;3169;4663;4118;4910;6212;8118;9983;10923;12266;13698;14669;13299;18587;19232;20588;21110;21541;21855;22184
"Nam Dinh";15905;19143;24557;28976;38384;43946;46850;51609;55071;60231;60118;65254;71555;76195;80763;88827;93379;94211;100505;110598;121552
"Ninh Binh";2612;3136;4440;5325;6301;7610;8527;10407;12230;13587;14043;17845;18809;21658;24118;21133;32207;35679;38393;39767;41705
"Northern midlands and mountain areas";24832;27824;22683;27295;28586;29581;31210;35396;38147;41336;43946;49797;55913;60905;69957;75428;82710;90405;99143;104728;112603
"Ha Giang";627;699;743;807;848;869;896;993;1008;1054;1091;1155;1247;1325;1389;1422;1498;1644;1827;1871;1901
"Cao Bang";112;119;94;181;238;248;244;261;290;307;312;330;361;363;351;346;367;391;408;407;413
"Bac Kan";223;309;271;290;303;311;243;321;396;399;450;550;676;734;804;863;872;854;889;908;934
"Tuyen Quang";1029;1116;1157;1209;1311;1428;1416;1497;1647;1820;2015;2249;2677;3199;3405;3620;3736;4549;5723;6183;6822
"Lao Cai";414;448;469;485;499;528;607;864;952;929;1164;1750;1670;1851;2801;3156;3308;3628;4409;4696;5168
"Yen Bai";302;586;612;656;910;1234;1654;2153;2784;3235;3627;4053;4331;4725;5168;5714;6183;6349;6592;6429;6429
"Thai  Nguyen";1412;1422;1356;2835;2775;3098;3023;3374;3608;3663;3755;3863;4169;4301;4931;5858;6171;6875;7362;7778;8310
"Lang Son";93;102;133;335;329;432;795;912;1007;1059;1130;1150;1167;1247;1716;1115;1171;1149;1354;1393;1478
"Bac Giang";5445;6318;6611;6748;6541;6652;6891;7268;7809;8501;8958;9685;11755;15050;19335;22018;25204;27851;30146;32397;36178
"Phu Tho";11995;11971;6273;10164;10926;10782;10769;12123;12577;13381;13765;15936;17466;17502;18596;19039;21184;22971;25413;26894;28428
"Dien Bien";..;..;..;..;..;..;..;..;373;632;791;927;995;1235;1273;1315;1467;1603;1752;1957;2235
"Lai Chau";355;453;460;486;507;527;603;640;297;638;744;860;1003;1113;1137;1167;1246;1514;1590;1684;1931
"Son La";1649;3159;3293;1826;2089;2181;2335;2942;3065;3205;3326;4021;4915;4666;4945;5253;5565;5989;6356;6548;6577
"Hoa Binh";1176;1123;1211;1273;1310;1291;1734;2048;2334;2513;2818;3269;3481;3594;4106;4542;4738;5037;5321;5583;5799
"Northern Central area and Central coastal area";448087;459637;507282;513422;583041;627811;659708;713526;763907;814079;871597;894402;944740;985563;1055629;1086137;1167646;1241642;1316240;1398177;1459205
"Thanh Hoa";32048;26812;36868;39491;43786;48968;52340;57723;63896;68495;73544;79217;83909;91699;98075;102878;108794;115885;123902;133048;141405
"Nghe An";26700;27598;31364;32397;34693;38628;42237;48261;57457;61133;66604;70894;79466;86168;94120;98321;105814;116519;130788;142674;143041
"Ha Tinh";17078;16700;17014;16826;19315;24044;24949;25842;27870;28736;29688;30556;31361;32838;35596;36120;37728;34403;42724;44338;48967
"Quang Binh";13076;14594;14769;14491;16620;20493;22250;24369;27557;29361;31113;34151;37389;41278;45302;45548;51964;57038;60210;64539;68951
"Quang Tri";7622;10861;10591;9390;10198;12744;13266;14444;15995;17575;18308;19620;20709;21551;23734;19938;24962;25297;27159;30620;34111
"Thua Thien-Hue";12186;13405;15444;16279;17325;19996;20514;21915;24423;25994;28460;31807;33421;35777;38499;35209;43183;45724;47593;50797;53300
"Da Nang";18920;19334;20907;23811;26254;27976;31593;33980;35798;37838;40557;38426;40378;37493;35916;36723;34463;33579;33031;33135;34980
"Quang  Nam";25333;26838;30921;33139;35983;39871;43350;46629;48175;50533;53296;55578;59642;63841;71648;63249;77455;82319;83622;90984;97351
"Quang  Ngai";38500;40150;46889;51341;60065;64989;64061;79408;80278;85645;91223;93279;94550;96750;100264;105391;119938;132526;146350;156373;164735
"Binh Dinh";59822;63513;61357;66185;70912;77825;84564;88812;95095;101095;110390;109981;117761;125156;137466;150398;161303;175397;187857;199811;210101
"Phu Yen";21928;24004;28831;26601;28555;30415;30907;33022;35058;37939;38607;39162;40430;42404;45433;50736;55254;58946;60251;59627;63392
"Khanh  Hoa";59087;50375;52375;54904;56584;61165;65054;68100;70547;68265;80581;79147;82982;83707;86568;88928;89088;93943;96051;99455;102913
"Ninh  Thuan";20175;23450;29015;26300;31486;30548;33153;35845;37529;43752;55993;55250;61003;61060;60641;65306;66829;75461;76510;83630;85686
"Binh Thuan";95612;102004;110936;102267;131265;130149;131470;135176;144229;157718;153233;157334;161739;165841;182367;187392;190871;194605;200193;209146;210271
"Central Highlands";8895;6589;6670;6994;8941;10286;10350;12882;13691;13443;14581;14682;16455;18432;20239;25258;29086;30064;33751;34655;38144
"Kon Tum";184;179;295;248;442;789;901;957;1027;1087;1260;1393;1653;1826;2214;2211;2127;2210;2484;2840;3309
"Gia Lai";64;166;168;183;194;201;214;218;264;344;443;551;633;800;1061;2544;2717;2771;4264;4204;4401
"Dak Lak";3137;3943;4008;4353;5874;6614;6333;8120;6737;6417;7363;7300;7288;8024;8530;11031;14759;15335;15804;16166;16444
"Dak Nong";..;..;..;..;..;..;..;..;992;1290;1558;1468;2158;1962;2118;2608;2007;2085;3299;3427;4403
"Lam Dong";5510;2301;2199;2210;2431;2682;2902;3587;4671;4306;3957;3970;4723;5820;6316;6864;7476;7663;7899;8017;9587
"South East";157594;164815;155844;154630;167060;194256;214652;243478;260314;297672;311110;325005;334915;338002;354755;364542;372591;406628;389356;417039;435922
"Binh Phuoc";1158;1421;1554;1230;1681;1591;2061;2374;3191;3622;4175;4905;5757;6661;7524;6926;6361;4051;5176;5729;5697
"Tay Ninh";1157;2887;2821;3081;3225;3923;4361;4473;4560;6679;6884;6714;6944;8513;11010;12578;13101;12864;15313;18150;18912
"Binh  Duong";333;359;416;423;431;443;467;504;573;2431;3341;3970;4593;5174;5464;5661;6880;6650;4464;3947;4007
"Dong Nai";12021;10333;11473;11041;12443;15755;16108;18817;20995;29766;28546;30559;32058;35186;35928;34852;42596;48179;47976;50248;52282
"Ba Ria - Vung Tau";97268;106161;98359;103339;112470;130117;139875;163881;170314;198974;214642;222171;229853;240250;255945;261022;258721;285365;264264;283795;299426
"Ho Chi Minh city";45657;43655;41222;35516;36810;42427;51780;53429;60681;56200;53522;56686;55710;42218;38884;43503;44932;49519;52163;55169;55598
"Mekong River Delta";819222;889625;883593;907160;1024004;1169060;1273707;1354420;1468788;1622053;1846271;2021745;2386169;2701927;2819990;2999114;3169715;3385989;3439665;3604813;3680470
"Long An";18624;18218;18851;22404;22372;20566;24416;25539;26191;29527;32267;36129;39609;39516;40241;41573;45262;43291;43621;45381;54615
"Tien Giang";89550;82609;71984;81920;90152;97578;105672;110632;117625;125956;136041;142711;153134;173106;189101;200910;211374;220048;228852;230989;242769
"Ben Tre";118695;112633;92240;94167;102904;116365;127713;134263;129049;130271;137397;144963;175779;238407;233672;287585;327102;383120;393616;403582;418233
