"Production of fishery caught by kinds of activity by Iterms, Year and Kinds of activity"

"Iterms";"Year";"Total";"Sea catch";"Sea catch: Fish";"Inland catch"
"Production (Thous. tons)";"1990";728.5;653.2;615.8;75.3
"Production (Thous. tons)";"1991";801.1;694.2;614.6;106.9
"Production (Thous. tons)";"1992";843.1;730.0;627.4;113.1
"Production (Thous. tons)";"1993";911.9;785.3;660.0;126.6
"Production (Thous. tons)";"1994";1120.9;946.3;712.5;174.6
"Production (Thous. tons)";"1995";1195.3;990.3;722.1;205.0
"Production (Thous. tons)";"1996";1278.0;1058.7;808.2;219.3
"Production (Thous. tons)";"1997";1315.8;1098.7;835.3;217.1
"Production (Thous. tons)";"1998";1357.0;1155.2;856.7;201.8
"Production (Thous. tons)";"1999";1526.0;1314.6;974.7;211.4
"Production (Thous. tons)";"2000";1660.9;1419.6;1075.3;241.3
"Production (Thous. tons)";"2001";1724.8;1481.2;1120.5;243.6
"Production (Thous. tons)";"2002";1802.6;1575.6;1189.6;227.0
"Production (Thous. tons)";"2003";1856.1;1647.1;1227.5;209.0
"Production (Thous. tons)";"2004";1940.0;1733.4;1333.8;206.6
"Production (Thous. tons)";"2005";1987.9;1791.1;1367.5;196.8
"Production (Thous. tons)";"2006";2026.6;1823.7;1396.5;202.9
"Production (Thous. tons)";"2007";2074.5;1876.3;1433.0;198.2
"Production (Thous. tons)";"2008";2136.4;1946.7;1475.8;189.7
"Production (Thous. tons)";"2009";2280.5;2091.7;1574.1;188.8
"Production (Thous. tons)";"2010";2414.4;2220.0;1662.7;194.4
"Production (Thous. tons)";"2011";2514.3;2308.3;1720.7;206.1
"Production (Thous. tons)";"2012";2705.4;2510.9;1818.9;194.5
"Production (Thous. tons)";"2013";2803.8;2607.0;1884.5;196.8
"Production (Thous. tons)";"2014";2920.4;2727.1;1970.2;193.3
"Production (Thous. tons)";"Prel. 2015";3036.4;2839.9;2065.3;196.5
"Index (Previous year = 100) - %";"1990";..;..;..;..
"Index (Previous year = 100) - %";"1991";110.0;106.3;99.8;142.0
"Index (Previous year = 100) - %";"1992";105.2;105.2;102.1;105.8
"Index (Previous year = 100) - %";"1993";108.2;107.6;105.2;111.9
"Index (Previous year = 100) - %";"1994";122.9;120.5;108.0;137.9
"Index (Previous year = 100) - %";"1995";106.6;104.6;101.3;117.4
"Index (Previous year = 100) - %";"1996";106.9;106.9;111.9;107.0
"Index (Previous year = 100) - %";"1997";103.0;103.8;103.4;99.0
"Index (Previous year = 100) - %";"1998";103.1;105.1;102.6;93.0
"Index (Previous year = 100) - %";"1999";112.5;113.8;113.8;104.8
"Index (Previous year = 100) - %";"2000";108.8;108.0;110.3;114.1
"Index (Previous year = 100) - %";"2001";103.8;104.3;104.2;101.0
"Index (Previous year = 100) - %";"2002";104.5;106.4;106.2;93.2
"Index (Previous year = 100) - %";"2003";103.0;104.5;103.2;92.1
"Index (Previous year = 100) - %";"2004";104.5;105.2;108.7;98.9
"Index (Previous year = 100) - %";"2005";102.5;103.3;102.5;95.3
"Index (Previous year = 100) - %";"2006";101.9;101.8;102.1;103.1
"Index (Previous year = 100) - %";"2007";102.4;102.9;102.6;97.7
"Index (Previous year = 100) - %";"2008";103.0;103.8;103.0;95.7
"Index (Previous year = 100) - %";"2009";106.7;107.4;106.7;99.5
"Index (Previous year = 100) - %";"2010";105.9;106.1;105.6;103.0
"Index (Previous year = 100) - %";"2011";104.1;104.0;103.5;106.0
"Index (Previous year = 100) - %";"2012";107.6;108.8;105.7;94.4
"Index (Previous year = 100) - %";"2013";103.6;103.8;103.6;101.2
"Index (Previous year = 100) - %";"2014";104.2;104.6;104.5;98.2
"Index (Previous year = 100) - %";"Prel. 2015";104.0;104.1;104.8;101.7
