"Production of fishery caught by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Pre. 2015"
" WHOLE COUNTRY";1195292;1277964;1315838;1356971;1525986;1660904;1724758;1802599;1856105;1939992;1987934;2026600;2074526;2136408;2280527;2414411;2514335;2705439;2803846;2920366;3036388
"Red River Delta";70103;87728;78384;84105;94964;106547;113073;121513;133687;138238;144973;148413;156602;175051;188953;198403;204697;209921;216791;231587;239932
"Ha Noi";1955;2160;1820;1090;886;854;911;951;927;658;614;598;553;3030;2875;2813;2854;3600;3901;3995;1246
"Ha Tay";6952;4935;5404;4245;3901;3747;3831;3527;3444;3020;2373;1918;1851;..;..;..;..;..;..;..;..
"Vinh Phuc";2995;6807;3970;3111;1933;1947;1785;1564;1572;1425;1364;1327;1458;1449;1705;1705;1650;2044;1923;2011;1977
"Bac Ninh";1366;2000;1246;1350;1320;1282;1290;1272;1140;1174;1214;1068;1011;1515;1592;1578;1531;1529;1565;1526;1475
"Quang Ninh";13138;14481;15418;17899;19446;21316;23432;26698;30575;35258;35700;37931;40149;47199;51255;53429;56022;56790;54756;55892;48772
"Hai Duong";4658;4444;710;1624;1798;1777;1797;1955;2127;2321;2336;2306;2302;2296;2287;2244;2203;2186;2145;2780;1814
"Hai Phong";15000;16200;15003;16802;20224;23163;26467;28154;28953;31721;35279;34007;35867;39692;43102;45204;46323;47853;49932;55211;67845
"Hung Yen";2565;2528;2647;2712;2215;2008;1501;1595;1659;1433;1468;1151;1034;996;934;885;784;774;764;757;738
"Thai Binh";11369;23195;18667;17663;19325;21166;21678;23563;27882;25678;29541;32577;34055;36327;40780;44798;46943;49602;54169;58683;64740
"Ha Nam";..;238;247;402;475;579;422;645;576;624;682;706;737;1397;1291;1024;979;959;748;670;589
"Nam Dinh";9343;9420;11660;15479;21518;26319;26761;29000;32357;32157;31699;31683;34008;36513;38564;39890;40149;40174;41216;44208;44579
"Ninh Binh";762;1321;1593;1728;1923;2389;3198;2589;2475;2770;2703;3141;3577;4636;4568;4833;5259;4410;5673;5855;6159
"Northern midlands and mountain areas";13926;15459;9038;11572;11678;9981;10256;9571;8660;8823;6938;7272;7065;10744;9809;9636;9773;9339;10219;9485;9729
"Ha Giang";..;17;15;12;12;11;11;10;10;10;10;9;44;53;73;81;85;92;144;142;145
"Cao Bang";27;28;15;47;47;51;42;53;56;59;60;66;73;74;76;81;89;94;86;87;86
"Bac Kan";28;43;43;48;258;45;28;32;27;21;20;26;28;36;32;29;30;27;29;32;44
"Tuyen Quang";72;95;109;110;113;119;133;131;139;137;131;130;192;208;283;293;312;766;837;791;773
"Lao Cai";20;20;24;23;19;16;17;17;18;10;11;11;14;11;10;9;8;6;5;8;6
"Yen Bai";264;164;170;181;266;347;451;499;648;718;780;834;788;833;893;955;1020;940;881;793;790
"Thai  Nguyen";162;163;162;50;75;68;82;92;117;124;128;126;130;135;141;144;149;151;166;158;151
"Lang Son";16;20;20;21;23;33;166;140;175;175;201;209;209;279;858;231;246;248;296;289;220
"Bac Giang";3077;3427;3551;3580;3644;3688;3782;3746;2997;3015;2930;2811;2833;4522;4437;4150;3808;3531;4157;3505;3709
