"Production of fishery by Iterms, Year and Kinds of activity"

"Iterms";"Year";"Total";"Catch";"Aquaculture"
"Production (Thous.tons)";"1990";890.6;728.5;162.1
"Production (Thous.tons)";"1991";969.2;801.1;168.1
"Production (Thous.tons)";"1992";1016.0;843.1;172.9
"Production (Thous.tons)";"1993";1100.0;911.9;188.1
"Production (Thous.tons)";"1994";1465.0;1120.9;344.1
"Production (Thous.tons)";"1995";1584.4;1195.3;389.1
"Production (Thous.tons)";"1996";1701.0;1278.0;423.0
"Production (Thous.tons)";"1997";1730.4;1315.8;414.6
"Production (Thous.tons)";"1998";1782.0;1357.0;425.0
"Production (Thous.tons)";"1999";2006.8;1526.0;480.8
"Production (Thous.tons)";"2000";2250.9;1660.9;590.0
"Production (Thous.tons)";"2001";2435.1;1724.8;710.3
"Production (Thous.tons)";"2002";2647.9;1802.6;845.3
"Production (Thous.tons)";"2003";2859.8;1856.1;1003.7
"Production (Thous.tons)";"2004";3143.2;1940.0;1203.2
"Production (Thous.tons)";"2005";3466.8;1987.9;1478.9
"Production (Thous.tons)";"2006";3721.6;2026.6;1695.0
"Production (Thous.tons)";"2007";4199.1;2074.5;2124.6
"Production (Thous.tons)";"2008";4602.0;2136.4;2465.6
"Production (Thous.tons)";"2009";4870.3;2280.5;2589.8
"Production (Thous.tons)";"2010";5142.7;2414.4;2728.3
"Production (Thous.tons)";"2011";5447.4;2514.3;2933.1
"Production (Thous.tons)";"2012";5820.7;2705.4;3115.3
"Production (Thous.tons)";"2013";6019.7;2803.8;3215.9
"Production (Thous.tons)";"2014";6333.2;2920.4;3412.8
"Production (Thous.tons)";"Prel. 2015";6549.7;3036.4;3513.3
"Index (Previous year = 100) - %";"1990";101.1;101.7;98.3
"Index (Previous year = 100) - %";"1991";108.8;110.0;103.7
"Index (Previous year = 100) - %";"1992";104.8;105.2;102.9
"Index (Previous year = 100) - %";"1993";108.3;108.2;108.8
"Index (Previous year = 100) - %";"1994";133.2;122.9;182.9
"Index (Previous year = 100) - %";"1995";108.2;106.6;113.1
"Index (Previous year = 100) - %";"1996";107.4;106.9;108.7
"Index (Previous year = 100) - %";"1997";101.7;103.0;98.0
"Index (Previous year = 100) - %";"1998";103.0;103.1;102.5
"Index (Previous year = 100) - %";"1999";112.6;112.5;113.1
"Index (Previous year = 100) - %";"2000";112.1;108.8;122.6
"Index (Previous year = 100) - %";"2001";108.2;103.8;120.4
"Index (Previous year = 100) - %";"2002";108.7;104.5;119.0
"Index (Previous year = 100) - %";"2003";108.0;103.0;118.7
"Index (Previous year = 100) - %";"2004";109.9;104.5;119.9
"Index (Previous year = 100) - %";"2005";110.3;102.5;122.9
"Index (Previous year = 100) - %";"2006";107.3;101.9;114.6
"Index (Previous year = 100) - %";"2007";112.8;102.4;125.3
"Index (Previous year = 100) - %";"2008";109.6;103.0;116.1
"Index (Previous year = 100) - %";"2009";105.8;106.7;105.0
"Index (Previous year = 100) - %";"2010";105.6;105.9;105.3
"Index (Previous year = 100) - %";"2011";105.9;104.1;107.5
"Index (Previous year = 100) - %";"2012";106.9;107.6;106.2
"Index (Previous year = 100) - %";"2013";103.4;103.6;103.2
"Index (Previous year = 100) - %";"2014";105.2;104.2;106.1
"Index (Previous year = 100) - %";"Prel. 2015";103.4;104.0;102.9
