"Production of main annual crops by Items, Year and main annual crops"

"Items";"Year";"Paddy";"Maize";"Sugar-cane";"Cotton";"Peanut";"Soya-bean"
"Production (Thous.tons)";"2000";32529.5;2005.9;15044.3;18.8;355.3;149.3
"Production (Thous.tons)";"2001";32108.4;2161.7;14656.9;33.6;363.1;173.7
"Production (Thous.tons)";"2002";34447.2;2511.2;17120.0;40.0;400.4;205.6
"Production (Thous.tons)";"2003";34568.8;3136.3;16854.7;35.1;406.2;219.7
"Production (Thous.tons)";"2004";36148.9;3430.9;15649.3;28.0;469.0;245.9
"Production (Thous.tons)";"2005";35832.9;3787.1;14948.7;33.5;489.3;292.7
"Production (Thous.tons)";"2006";35849.5;3854.6;16719.5;28.6;462.5;258.1
"Production (Thous.tons)";"2007";35942.7;4303.2;17396.7;16.1;510.0;275.2
"Production (Thous.tons)";"2008";38729.8;4573.1;16145.5;8.0;530.2;267.6
"Production (Thous.tons)";"2009";38950.2;4371.7;15608.3;12.1;510.9;215.2
"Production (Thous.tons)";"2010";40005.6;4625.7;16161.7;12.5;487.2;298.6
"Production (Thous.tons)";"2011";42398.5;4835.6;17539.6;12.6;468.7;266.9
"Production (Thous.tons)";"2012";43737.8;4973.6;19015.4;8.8;468.5;173.5
"Production (Thous.tons)";"2013";44039.1;5191.2;20128.5;3.2;491.9;168.2
"Production (Thous.tons)";"2014";44974.6;5202.3;19821.6;2.9;453.3;156.5
"Production (Thous.tons)";"Prel. 2015";45215.6;5281.0;18320.8;1.3;451.8;146.4
"Index (Previous year = 100) - %";"2000";110.4;114.4;84.7;84.7;111.7;101.4
"Index (Previous year = 100) - %";"2001";99.4;107.8;97.4;178.7;102.2;116.3
"Index (Previous year = 100) - %";"2002";108.0;116.2;116.8;119.0;110.3;118.4
"Index (Previous year = 100) - %";"2003";100.6;124.9;98.5;87.8;101.4;106.9
"Index (Previous year = 100) - %";"2004";101.5;109.4;92.8;79.8;115.5;111.9
"Index (Previous year = 100) - %";"2005";99.1;110.4;95.5;119.6;104.3;119.0
"Index (Previous year = 100) - %";"2006";100.0;101.8;111.8;85.4;94.5;88.2
"Index (Previous year = 100) - %";"2007";100.3;111.6;104.1;56.3;110.3;106.6
"Index (Previous year = 100) - %";"2008";107.8;106.3;92.8;49.7;104.0;97.2
"Index (Previous year = 100) - %";"2009";100.6;95.6;96.7;151.3;96.4;80.4
"Index (Previous year = 100) - %";"2010";102.7;105.8;103.5;103.3;95.4;138.8
"Index (Previous year = 100) - %";"2011";106.0;104.5;108.5;100.8;96.2;89.4
"Index (Previous year = 100) - %";"2012";103.2;102.9;108.4;69.8;100.0;65.0
"Index (Previous year = 100) - %";"2013";100.7;104.4;105.9;36.4;105.0;96.9
"Index (Previous year = 100) - %";"2014";102.1;100.2;98.5;90.6;92.2;93.0
"Index (Previous year = 100) - %";"Prel. 2015";100.5;101.5;92.4;44.8;99.7;93.5
