"Production of maize by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
" WHOLE COUNTRY";1177.2;1536.7;1650.6;1612.0;1753.1;2005.9;2161.7;2511.2;3136.3;3430.9;3787.1;3854.6;4303.2;4573.1;4371.7;4625.7;4835.6;4973.6;5191.2;5202.3;5281.0
"Red River Delta";255.4;333.9;359.2;317.2;331.1;292.5;241.0;260.9;317.9;362.7;356.4;343.1;374.6;429.1;308.4;441.0;443.7;403.7;407.1;415.1;438.1
"Ha Noi";21.8;31.0;35.9;32.4;31.1;31.7;28.4;28.5;27.8;27.0;26.1;27.8;28.5;111.0;75.1;112.4;111.9;99.5;100.0;98.0;102.3
"Ha Tay";51.3;66.1;63.5;59.9;64.5;69.0;57.9;59.2;63.6;64.8;63.3;56.6;61.8;..;..;..;..;..;..;..;..
"Vinh Phuc";38.5;50.1;60.3;51.5;60.2;54.9;48.4;52.8;63.5;72.2;61.8;62.7;51.6;73.5;26.4;74.4;69.8;55.8;65.2;64.4;69.5
"Bac Ninh";7.3;13.6;19.0;13.9;15.9;11.5;6.9;6.1;6.5;7.6;6.8;7.3;9.0;9.8;8.8;10.7;12.5;18.5;18.3;17.6;17.5
"Quang Ninh";6.0;7.4;9.9;10.8;11.1;12.9;12.8;14.2;16.3;19.3;22.1;18.3;21.2;23.8;22.6;24.0;23.8;22.5;22.3;22.5;23.0
"Hai Duong";32.1;41.7;35.9;29.2;33.3;19.4;7.0;15.9;28.3;24.7;22.9;19.0;20.6;21.5;19.3;22.4;20.6;18.3;21.0;21.0;21.4
"Hai Phong";1.0;1.1;2.6;2.5;1.5;1.8;0.9;1.6;4.1;7.4;7.6;6.3;7.9;9.6;10.1;13.7;13.7;9.0;7.9;6.3;5.8
"Hung Yen";26.9;35.0;26.6;30.2;30.6;19.1;15.8;16.8;23.6;28.4;30.3;33.2;44.0;47.2;35.3;48.7;50.8;46.3;45.9;47.0;49.0
"Thai Binh";26.9;36.2;45.1;25.0;21.4;19.1;18.7;21.0;33.7;55.4;51.7;42.5;48.0;49.0;44.9;49.3;49.5;50.6;44.8;54.6;61.4
"Ha Nam";13.5;15.5;15.8;23.6;25.2;23.3;19.5;19.8;21.1;22.7;26.9;30.3;36.4;40.5;28.9;41.8;44.3;44.5;42.4;43.5;47.1
"Nam Dinh";20.0;22.9;23.2;19.1;16.3;10.9;9.2;10.1;12.6;15.6;18.7;19.7;17.1;19.1;17.9;20.5;21.0;19.9;17.8;18.6;19.6
"Ninh Binh";10.1;13.3;21.4;19.1;20.0;18.9;15.5;14.9;16.8;17.6;18.2;19.4;28.5;24.1;19.1;23.1;25.8;18.8;21.5;21.6;21.5
"Northern midlands and mountain areas";333.5;404.3;457.3;486.1;541.7;640.4;704.0;798.9;883.0;991.9;1043.3;1057.1;1401.7;1544.6;1515.4;1535.4;1700.8;1844.0;1899.1;1890.8;1909.7
"Ha Giang";45.4;53.7;55.4;62.1;63.7;71.7;79.2;85.6;88.0;89.5;92.6;90.7;90.7;111.7;122.5;136.3;155.3;168.7;176.9;178.4;187.1
"Cao Bang";55.3;59.1;63.8;60.6;63.1;75.8;78.8;80.5;86.2;88.9;96.1;80.3;109.1;112.7;109.7;116.2;124.8;127.0;131.3;128.1;133.0
"Bac Kan";5.1;9.3;14.9;16.1;15.4;21.2;24.1;27.5;35.0;36.2;39.8;35.3;55.6;58.4;55.7;57.3;64.7;61.8;66.9;64.1;67.4
"Tuyen Quang";24.8;27.1;31.7;27.5;34.0;38.6;44.7;49.9;53.0;56.1;59.9;56.2;73.2;66.7;62.7;70.7;72.4;60.4;71.0;68.0;81.0
"Lao Cai";27.7;31.2;29.9;34.3;37.1;38.3;44.9;51.9;57.3;61.0;64.6;65.9;75.8;80.7;92.6;101.6;110.0;115.6;122.2;117.7;131.5
"Yen Bai";9.4;10.4;13.0;14.1;17.5;19.5;20.6;22.7;26.3;30.3;33.4;35.0;39.9;45.3;49.4;64.7;72.8;75.5;84.5;83.6;92.9
"Thai  Nguyen";10.1;18.7;29.4;30.8;30.7;30.8;29.7;38.0;43.7;54.6;55.1;53.9;74.8;84.6;68.0;75.2;80.4;76.4;81.6;79.2;87.6
"Lang Son";21.6;24.9;28.6;28.4;32.2;44.8;56.2;57.4;61.7;74.1;79.8;70.2;89.0;94.9;93.4;97.2;100.7;103.8;105.4;98.4;104.1
"Bac Giang";13.9;25.8;38.2;35.2;33.5;29.4;22.3;19.3;29.0;45.7;44.3;42.9;49.7;51.0;40.9;44.9;40.7;33.6;35.3;39.4;42.3
"Phu Tho";23.9;31.0;34.0;31.6;44.9;42.5;48.1;55.0;66.5;71.7;74.8;65.8;82.2;89.5;63.4;90.4;94.3;79.1;84.4;85.8;89.6
"Dien Bien";..;..;..;..;..;..;..;..;..;47.5;49.1;52.3;56.5;64.3;66.8;67.4;71.0;71.6;74.2;76.1;76.2
"Lai Chau";30.1;36.7;35.8;40.5;40.6;43.2;47.5;55.0;61.1;23.0;28.9;32.1;37.5;40.2;43.2;50.1;52.7;59.4;57.3;62.1;65.7
"Son La";45.6;50.8;50.7;82.3;97.2;135.8;151.6;196.1;200.9;217.8;228.0;269.0;444.0;503.5;514.2;417.4;506.7;667.3;654.7;657.7;588.7
"Hoa Binh";20.6;25.6;31.9;22.6;31.8;48.8;56.3;60.0;74.3;95.5;96.9;107.5;123.7;141.1;132.9;146.0;154.3;143.8;153.4;152.2;162.6
"Northern Central area and Central coastal area";170.5;216.6;259.8;258.9;308.9;353.7;416.9;464.7;599.2;770.1;799.8;822.7;818.1;843.4;777.2;849.8;836.9;826.8;891.8;862.3;925.2
"Thanh Hoa";68.2;81.3;88.8;101.4;127.1;126.7;140.0;155.6;188.4;245.9;244.2;233.0;234.5;231.4;207.8;215.9;214.0;199.6;218.5;221.3;243.6
"Nghe An";32.8;56.0;70.8;65.7;80.4;78.7;90.2;100.5;141.6;217.3;218.6;232.5;206.9;223.3;186.0;234.6;211.6;200.6;230.4;193.1;235.4
"Ha Tinh";6.6;6.0;5.7;4.2;8.1;5.8;6.1;6.0;11.0;28.6;32.7;19.0;24.4;24.4;19.0;27.8;24.8;18.6;26.9;24.9;32.0
"Quang Binh";4.7;5.5;8.5;6.8;7.7;10.4;10.7;11.3;11.5;16.4;14.8;18.9;18.9;21.1;21.1;19.1;21.0;21.3;21.8;21.4;23.3
"Quang Tri";1.6;2.0;2.9;1.9;3.5;3.1;2.9;3.3;3.6;5.2;5.8;6.2;6.6;7.9;7.6;8.3;7.9;9.9;9.5;11.2;11.7
"Thua Thien-Hue";1.1;1.5;1.8;1.7;1.2;2.7;3.4;3.9;3.9;4.2;5.1;7.2;6.5;5.3;5.7;6.0;6.2;6.9;6.4;6.2;6.3
"Da Nang";0.3;0.3;0.4;0.3;0.3;0.6;2.4;4.6;4.8;4.6;4.2;4.7;4.6;4.7;4.9;4.7;4.4;3.5;3.0;2.0;2.1
"Quang  Nam";11.1;10.4;15.1;14.3;14.8;26.5;35.6;34.6;41.5;42.9;43.8;48.3;51.2;54.1;50.1;55.7;55.7;58.6;55.5;59.7;57.4
"Quang  Ngai";8.5;12.4;14.4;13.2;13.7;24.9;30.1;32.7;35.9;42.3;46.6;50.2;52.9;53.6;50.2;51.8;52.6;55.3;56.2;57.7;56.3
