"Production of peanut by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"WHOLE COUNTRY";334.5;357.7;351.3;386.0;318.1;355.3;363.1;400.4;406.2;469.0;489.3;462.5;510.0;530.2;510.9;487.2;468.7;468.5;491.9;453.3;451.8
"Ha Noi";3.6;3.9;3.4;2.7;3.1;4.2;4.3;3.6;4.0;5.1;4.7;3.9;4.4;15.4;12.9;12.9;11.9;9.7;9.6;8.5;8.8
"Vinh Phuc";4.0;4.7;3.7;3.0;3.8;4.6;4.5;4.3;4.7;5.9;6.2;4.3;6.6;8.2;6.8;6.5;6.9;6.3;6.1;5.9;5.7
"Nam Dinh";4.3;5.9;6.7;7.9;9.2;11.0;14.0;17.9;19.3;21.8;22.7;24.9;24.2;25.7;21.2;23.6;24.3;24.7;25.0;20.7;20.7
"Ninh Binh";0.3;6.3;6.9;7.0;5.8;7.5;8.9;8.5;10.3;11.3;11.3;10.8;10.1;11.3;11.2;10.7;12.2;11.3;12.5;10.0;9.0
"Ha Giang";1.2;1.2;1.4;1.6;1.6;1.8;2.0;2.0;2.3;3.4;3.8;5.0;5.0;6.8;9.0;9.7;10.8;13.2;15.4;16.4;18.1
"Tuyen Quang";2.7;3.6;3.3;3.3;3.5;3.9;4.5;4.5;5.0;5.9;7.5;7.6;10.3;11.0;12.2;12.7;12.8;12.2;12.6;11.3;11.4
"Thai Nguyen";5.3;5.9;5.3;5.6;5.0;5.4;6.3;5.3;4.6;5.0;5.2;4.6;5.6;7.3;7.1;6.8;6.6;6.7;6.7;6.7;6.4
"Bac Giang";7.3;8.7;6.9;8.6;6.8;8.7;12.2;12.6;13.1;16.9;20.6;16.6;19.1;25.8;23.1;25.5;26.5;28.3;28.8;28.2;28.9
"Phu Tho";5.8;6.8;6.7;6.9;8.0;8.7;8.3;7.6;8.7;9.6;9.4;8.4;9.5;10.8;10.5;9.8;10.0;9.3;9.7;9.0;8.3
"Hoa Binh";3.6;3.6;4.7;4.9;3.5;4.4;5.0;4.7;4.6;6.4;7.3;7.6;7.9;9.2;9.5;8.4;7.7;6.6;7.6;7.6;8.1
"Thanh Hoa";15.2;13.8;14.1;20.5;16.5;21.2;24.7;27.1;27.5;28.9;29.3;23.6;29.4;28.8;27.4;27.2;27.4;25.6;27.6;21.1;23.6
"Nghe An";32.9;28.4;32.9;38.9;31.7;36.7;36.0;40.7;36.7;48.7;45.5;46.1;53.0;52.0;53.1;46.1;43.0;39.7;44.5;36.5;37.3
"Ha Tinh";15.8;16.1;18.0;22.1;26.5;25.0;26.6;33.1;33.3;37.4;35.8;37.3;36.9;44.6;42.9;41.0;38.5;35.8;40.8;38.3;36.9
"Quang Binh";1.7;2.4;2.8;2.0;3.8;4.7;5.1;5.9;5.9;7.1;6.4;8.0;8.3;9.6;11.2;10.2;9.5;9.9;11.1;9.7;8.0
"Quang Tri";2.5;2.8;4.0;4.1;4.9;5.2;6.7;7.5;8.1;8.5;8.1;8.7;9.9;5.1;9.5;8.8;5.9;8.1;8.5;7.8;8.0
"Quang Nam";9.8;11.9;12.5;11.9;11.1;10.7;9.5;10.2;10.7;10.7;12.8;15.1;16.9;14.2;14.3;16.8;14.4;18.1;21.4;18.8;19.1
"Quang Ngai";5.8;5.8;6.6;7.6;7.4;8.0;8.7;8.9;8.7;9.7;11.2;10.8;11.1;10.8;9.8;11.3;11.4;12.2;12.8;13.3;12.9
"Binh Dinh";9.2;7.8;9.4;14.2;12.4;12.3;12.4;11.8;13.5;13.8;15.6;16.6;18.7;23.4;23.8;23.2;24.4;25.7;30.1;25.0;27.8
"Binh Thuan";3.8;4.9;4.6;5.6;3.9;5.3;5.6;5.5;6.5;6.1;8.6;6.5;6.7;6.0;7.0;6.5;5.8;8.3;9.0;9.1;6.4
"Dak Lak";18.5;20.5;17.6;15.3;16.2;20.4;23.7;23.6;29.8;6.4;14.4;12.9;11.3;10.0;10.7;11.0;11.0;10.3;10.0;9.8;8.8
"Dak Nong";..;..;..;..;..;..;..;..;..;7.6;15.2;16.6;18.9;18.2;17.1;17.1;16.7;11.9;8.2;9.4;8.4
"Tay Ninh";85.2;91.3;85.5;90.9;52.7;56.4;50.3;62.4;54.0;74.8;70.1;64.0;70.6;73.4;59.1;44.2;34.7;29.6;23.2;23.4;20.9
"Long An";23.3;28.3;21.5;26.0;9.6;13.8;11.2;17.0;14.3;21.0;22.9;18.4;23.0;22.0;19.8;16.5;15.1;20.2;23.8;21.4;20.3
"Tra Vinh";0.9;0.7;2.4;2.6;2.8;3.4;2.5;3.8;6.8;10.0;13.6;13.8;15.4;17.2;17.9;19.3;21.0;22.1;23.6;23.6;24.4
