"Production of soya-bean by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel.2015"
" WHOLE COUNTRY";125.5;113.8;113.0;146.7;147.2;149.3;173.7;205.6;219.7;245.9;292.7;258.1;275.2;267.6;215.2;298.6;266.9;173.5;168.2;156.5;146.4
"Ha Noi";2.3;2.3;1.9;2.5;3.0;0.7;2.4;2.7;2.2;2.3;2.3;2.1;2.1;43.9;11.8;56.4;50.5;19.8;30.4;27.4;30.2
"Ha Tay";7.8;9.4;6.8;11.4;15.7;14.4;16.0;19.7;21.1;28.9;42.5;47.7;51.7;..;..;..;..;..;..;..;..
"Vinh Phuc";2.8;2.4;3.0;4.5;6.9;5.7;6.3;7.5;7.6;9.7;13.3;10.2;6.4;10.5;4.2;10.9;8.0;4.6;4.5;4.1;4.6
"Bac Ninh";2.0;1.5;1.6;1.7;1.9;2.0;2.6;3.0;3.4;3.1;2.8;2.9;3.2;4.0;4.1;5.5;3.9;3.1;2.7;2.6;1.9
"Quang Ninh";1.5;1.4;1.6;1.6;1.2;1.2;1.2;1.2;1.2;1.1;1.0;1.1;1.1;1.1;1.3;1.0;1.0;1.0;1.0;0.8;0.6
"Hai Duong";4.2;4.3;3.3;5.0;3.5;3.3;3.6;3.6;3.6;3.3;3.7;2.9;2.5;2.3;2.9;2.4;1.7;1.3;1.2;1.2;1.1
"Hung Yen";4.8;4.8;2.7;5.0;6.4;5.7;6.8;8.6;8.7;10.5;13.1;8.4;7.9;6.9;5.6;7.5;6.6;4.9;4.7;3.9;4.3
"Thai Binh";5.5;4.4;5.1;6.2;5.6;6.4;6.4;6.6;7.8;11.9;11.8;12.4;13.8;14.0;16.8;27.1;24.8;12.5;8.7;9.3;8.3
"Ha Nam";1.7;1.5;1.3;2.5;2.9;3.5;3.8;4.4;4.9;6.2;10.3;11.1;12.0;13.0;2.3;17.7;17.5;7.4;7.5;7.0;5.6
"Nam Dinh";1.6;1.2;1.7;2.4;2.9;2.9;3.6;4.6;4.0;4.6;4.5;5.3;5.6;5.4;4.0;3.7;4.7;3.0;2.8;4.6;3.4
"Ha Giang";1.7;2.1;2.6;3.3;3.7;4.4;5.9;6.8;9.9;12.9;14.7;14.1;14.1;20.4;23.9;23.0;24.2;25.8;28.8;30.5;31.8
"Cao Bang";5.3;3.6;3.8;4.0;3.5;4.3;4.6;4.9;5.4;5.2;5.8;4.4;5.2;5.1;4.2;4.6;4.6;4.6;4.1;4.1;4.0
"Bac Kan";0.5;0.4;0.5;0.7;1.0;1.2;1.9;2.3;2.2;3.1;3.2;2.9;2.8;3.6;4.1;3.1;2.8;2.5;2.1;1.6;1.6
"Tuyen Quang";2.5;2.6;2.5;2.8;2.0;2.1;2.9;3.1;2.5;2.9;2.8;3.2;4.1;4.5;3.9;4.8;5.1;3.7;2.9;2.2;1.9
"Lao Cai";1.7;1.9;2.1;2.1;2.0;2.2;2.7;3.5;4.1;4.2;4.7;4.7;5.4;4.9;5.3;4.9;5.3;5.2;5.2;5.3;5.5
"Thai Nguyen";2.3;2.3;2.6;3.5;3.7;3.8;4.1;4.9;4.1;4.3;4.3;3.6;3.1;2.8;2.6;2.3;2.4;2.2;2.0;1.7;1.5
"Lang Son";2.3;2.8;3.1;3.0;2.1;2.3;2.5;2.5;2.3;2.9;3.4;2.0;3.0;2.7;2.3;2.3;2.1;1.8;1.8;1.7;1.5
"Bac Giang";5.8;4.4;5.4;6.5;5.7;6.4;7.1;7.8;7.8;7.2;6.1;4.5;3.4;3.1;2.9;2.6;2.1;1.9;1.5;1.4;1.3
"Dien Bien";..;..;..;..;..;..;..;..;..;6.8;10.1;10.7;11.2;13.0;11.8;10.0;9.5;8.8;7.2;7.2;6.4
"Lai Chau";2.7;1.9;2.2;2.7;2.5;3.0;3.6;4.9;7.3;1.1;1.3;1.7;1.8;2.1;2.2;2.2;2.6;2.5;2.8;2.4;2.3
"Son La";5.2;4.9;5.7;7.8;7.8;9.5;9.4;11.5;12.1;14.8;13.6;11.1;11.5;10.0;10.1;10.6;10.6;4.6;3.4;2.6;1.5
"Hoa Binh";3.9;2.0;2.6;1.7;2.4;2.5;3.2;3.2;2.6;3.1;3.2;3.4;4.3;3.6;1.8;2.1;1.7;0.9;0.9;0.8;0.7
"Thanh Hoa";1.9;1.0;1.5;2.8;3.0;3.4;6.3;8.9;8.6;8.6;7.3;6.6;7.6;6.3;7.4;9.3;14.4;12.1;13.8;11.2;6.3
"Dak Lak";10.9;12.3;12.2;10.6;14.6;21.1;19.7;28.7;37.3;10.3;13.0;10.4;11.3;11.2;10.9;11.7;11.4;11.4;6.0;5.1;4.6
"Dak Nong";..;..;..;..;..;..;..;..;..;14.8;29.0;26.7;30.3;30.5;33.2;31.1;21.5;11.1;9.3;8.4;8.5
"Dong Nai";9.9;7.0;11.4;11.8;9.6;5.0;8.0;6.3;6.4;4.4;4.8;3.2;3.2;2.1;1.6;2.2;1.1;0.9;0.6;0.4;0.5
"Dong Thap";15.6;12.9;10.6;15.2;12.7;6.6;12.7;15.0;16.2;21.5;24.1;14.0;16.6;13.7;10.7;9.8;4.5;3.4;1.8;1.4;0.6
"An Giang";7.3;9.4;4.4;9.6;7.9;5.5;9.6;9.2;6.6;9.3;6.8;2.8;3.1;2.0;1.6;1.2;0.6;0.8;0.4;0.2;0.1
