"Production of sugar-cane by province by Cities, provincies and Year"

"Cities, provincies";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"WHOLE COUNTRY";10711.1;11430.3;11920.9;13843.5;17760.3;15044.3;14656.9;17120.0;16854.7;15649.3;14948.7;16719.5;17396.7;16145.5;15608.3;16161.7;17539.6;19015.4;20128.5;19821.6;18320.8
"Quang Ninh";9.5;8.9;7.9;11.5;12.4;14.2;14.3;15.0;14.2;14.8;14.6;13.9;13.2;13.0;16.6;16.8;20.3;..;..;..;..
"Ninh Binh";24.4;65.0;66.4;70.3;75.2;75.0;75.0;81.3;85.1;88.7;81.0;68.5;74.4;68.7;57.6;62.0;60.9;64.4;60.9;64.3;60.7
"Ha Giang";6.7;6.3;7.5;7.5;8.2;9.0;9.5;10.5;10.6;9.7;10.1;12.0;12.0;12.1;12.5;11.4;12.1;13.1;15.7;15.7;15.6
"Cao Bang";30.0;33.0;62.0;99.1;125.8;118.0;101.9;106.3;126.2;108.4;89.7;106.1;137.8;164.5;142.2;168.6;195.8;246.2;267.5;253.3;186.6
"Tuyen Quang";61.6;144.4;183.6;215.6;303.1;301.5;229.5;313.9;324.1;323.2;291.8;297.8;361.2;370.1;398.3;374.3;480.8;589.4;627.1;638.9;690.7
"Yen Bai";25.7;27.0;24.8;25.7;28.3;29.9;30.3;31.8;31.7;19.3;16.0;16.6;19.0;19.5;20.4;20.7;18.9;18.6;16.7;15.9;15.9
"Son La";29.8;62.9;127.3;130.6;178.6;136.6;136.2;177.9;186.6;164.7;152.8;182.5;208.0;172.7;175.0;174.7;249.4;313.5;326.1;350.5;352.3
"Hoa Binh";195.1;255.0;298.0;250.4;357.3;331.0;358.6;406.9;403.0;398.8;389.3;391.0;496.4;506.4;494.9;527.4;602.2;553.4;587.9;633.2;645.9
"Thanh Hoa";397.5;561.7;896.9;932.6;1653.7;1639.9;1558.1;1613.9;1726.6;1750.9;1700.6;1735.1;1865.7;1794.6;1689.0;1581.1;1669.2;1963.7;2140.5;2005.8;1863.8
"Nghe An";112.7;179.8;257.3;442.1;709.3;901.9;1050.7;1392.2;1338.1;1321.8;1128.6;1485.7;1741.8;1708.7;1563.8;1249.0;1293.3;1476.7;1609.8;1634.3;1560.1
"Quang Ngai";520.0;522.7;495.3;560.0;598.3;503.4;366.8;469.0;453.7;436.2;353.3;356.1;390.9;368.1;292.5;272.2;289.1;307.5;307.8;284.8;247.5
"Binh Đinh";179.9;226.3;258.9;294.4;356.2;454.3;282.0;281.8;278.1;239.3;180.9;153.7;185.9;158.5;124.1;129.3;149.1;157.1;160.3;168.0;95.3
"Phu Yen";387.1;651.5;610.1;816.7;905.1;698.1;795.1;867.1;871.0;902.0;814.7;937.9;1051.4;938.7;821.8;945.9;1132.9;1342.3;1506.2;1613.9;1507.5
"Khanh Hoa";509.4;553.7;569.6;634.4;802.3;662.0;776.0;672.9;641.5;665.9;566.7;702.4;728.6;743.5;690.0;732.8;764.0;914.4;970.5;1002.4;934.7
"Ninh Thuan";30.9;44.1;69.3;70.1;94.5;103.3;73.4;80.4;106.8;91.9;68.0;48.5;68.8;81.7;66.6;87.4;122.3;138.2;162.1;165.9;160.9
"Binh Thuan";44.6;87.0;124.7;124.7;283.9;279.9;193.3;213.7;255.4;285.8;208.4;136.5;148.1;143.7;163.2;201.4;143.7;133.0;125.8;95.9;49.8
"Kon Tum";65.1;76.5;127.4;31.6;184.1;150.1;150.3;159.1;171.1;154.0;115.6;123.3;127.7;107.3;95.6;91.4;87.1;89.3;92.9;94.6;93.6
"Gia Lai";256.2;394.7;270.3;296.7;634.9;466.9;512.6;591.0;715.3;662.6;604.3;863.7;895.9;926.7;1017.6;1203.7;1505.5;1717.6;1943.7;2186.3;2304.7
"Đak Lak";142.9;253.8;298.0;292.3;477.1;333.9;345.8;434.5;489.5;425.5;353.3;528.4;577.3;618.5;580.3;780.1;1005.7;954.1;1158.4;1131.8;1030.6
"Lam Đong";142.3;221.6;222.6;199.4;234.6;140.9;182.1;154.8;158.2;148.8;128.5;128.8;127.7;97.7;75.0;71.6;64.8;66.5;61.3;39.4;28.1
"Binh Phuoc";8.0;6.1;27.9;119.2;168.3;47.1;49.2;59.6;59.6;42.1;39.2;30.5;28.3;22.6;18.7;19.5;18.0;12.7;10.0;9.6;9.2
