"Production of wood by kinds of economic activity by Iterms, Kinds of economic activity and Year"

"Iterms";"Kinds of economic activity";"2005";"2009";"2010";"2011";"2012";"2013";"2014";"Prel. 2015"
"Production (Thous. m3)";"TOTAL";2996.4;3766.7;4042.6;4692.0;5251.0;5908.0;7701.4;8671.6
"Production (Thous. m3)";"State";915.4;1257.1;1376.8;1893.0;1721.4;1890.6;2356.0;2577.0
"Production (Thous. m3)";"Non-State:";2041.5;2459.9;2612.5;2737.1;3460.3;3940.6;5245.6;5980.5
"Production (Thous. m3)";"Collective";2.2;2.5;3.0;3.4;3.7;4.2;5.7;6.3
"Production (Thous. m3)";"Private";1999.1;2406.8;2555.2;2670.7;3386.1;3856.1;5132.0;5852.3
"Production (Thous. m3)";"Household";40.2;50.6;54.3;63.0;70.5;80.3;107.9;121.9
"Production (Thous. m3)";"Foreign invested sector";39.5;49.7;53.3;61.9;69.3;76.8;99.9;114.1
"Index (Previous year = 100) - %";"TOTAL";114.0;125.7;107.3;116.1;111.9;112.5;130.4;112.6
"Index (Previous year = 100) - %";"State";109.1;137.3;109.5;137.5;90.9;109.8;124.6;109.4
"Index (Previous year = 100) - %";"Non-State:";114.1;120.5;106.2;104.8;126.4;113.9;133.1;114.0
"Index (Previous year = 100) - %";"Collective";122.2;113.6;120.0;113.3;108.8;113.5;135.7;110.5
"Index (Previous year = 100) - %";"Private";116.3;120.4;106.2;104.5;126.8;113.9;133.1;114.0
"Index (Previous year = 100) - %";"Household";117.2;125.9;107.3;116.0;111.9;113.9;134.3;113.0
"Index (Previous year = 100) - %";"Foreign invested sector";116.5;125.8;107.2;116.1;112.0;110.8;130.1;114.2
