"Yield of main annual crops by Items, Year and Main annual crops"

"Items";"Year";"Paddy";"Maize";"Sugar-cane";"Cotton";"Peanut";"Soya-bean"
"Yield (Quintal/ha)";"2000";42.4;27.5;497.7;10.1;14.5;12.0
"Yield (Quintal/ha)";"2001";42.9;29.6;504.2;12.1;14.8;12.4
"Yield (Quintal/ha)";"2002";45.9;30.8;535.0;11.7;16.2;13.0
"Yield (Quintal/ha)";"2003";46.4;34.4;538.1;12.6;16.7;13.3
"Yield (Quintal/ha)";"2004";48.6;34.6;547.0;10.0;17.8;13.4
"Yield (Quintal/ha)";"2005";48.9;36.0;561.3;13.0;18.1;14.3
"Yield (Quintal/ha)";"2006";48.9;37.3;580.3;13.7;18.7;13.9
"Yield (Quintal/ha)";"2007";49.9;39.3;592.9;13.3;20.0;14.7
"Yield (Quintal/ha)";"2008";52.3;40.1;596.4;13.8;20.8;13.9
"Yield (Quintal/ha)";"2009";52.4;40.1;587.7;12.6;20.9;14.6
"Yield (Quintal/ha)";"2010";53.4;41.1;600.6;13.7;21.1;15.1
"Yield (Quintal/ha)";"2011";55.4;43.1;621.5;12.9;20.9;14.7
"Yield (Quintal/ha)";"2012";56.4;43.0;629.9;12.8;21.4;14.5
"Yield (Quintal/ha)";"2013";55.7;44.4;648.5;10.7;22.7;14.4
"Yield (Quintal/ha)";"2014";57.5;44.1;649.9;10.4;21.7;14.3
"Yield (Quintal/ha)";"Prel. 2015";57.7;44.8;644.0;8.7;22.6;14.5
"Index (Previous year = 100) - %";"2000";103.4;108.4;96.5;96.2;113.3;105.3
"Index (Previous year = 100) - %";"2001";101.0;107.9;101.3;119.8;102.1;103.3
"Index (Previous year = 100) - %";"2002";107.1;103.9;106.1;96.7;109.5;104.8
"Index (Previous year = 100) - %";"2003";101.1;111.7;100.6;107.7;103.1;102.3
"Index (Previous year = 100) - %";"2004";104.7;100.7;101.7;79.4;106.5;100.6
"Index (Previous year = 100) - %";"2005";100.7;103.9;102.6;129.8;102.0;107.2
"Index (Previous year = 100) - %";"2006";100.1;103.7;103.4;105.5;103.0;96.9
"Index (Previous year = 100) - %";"2007";101.9;105.2;102.2;97.1;107.0;105.8
"Index (Previous year = 100) - %";"2008";104.9;102.2;100.6;103.8;104.0;94.6
"Index (Previous year = 100) - %";"2009";100.1;100.0;98.5;91.3;100.5;105.0
"Index (Previous year = 100) - %";"2010";101.9;102.5;102.2;109.0;100.7;103.4
"Index (Previous year = 100) - %";"2011";103.7;104.9;103.5;93.8;99.3;97.6
"Index (Previous year = 100) - %";"2012";101.8;99.7;101.3;99.2;102.1;98.4
"Index (Previous year = 100) - %";"2013";98.8;103.1;103.0;83.6;106.4;98.9
"Index (Previous year = 100) - %";"2014";103.2;99.3;100.2;97.2;95.6;99.3
"Index (Previous year = 100) - %";"Prel. 2015";100.3;101.6;99.1;83.7;104.1;101.4
