"Kindergarten education as of 30 September by Items, Indicator and Year"

"Items";"Indicator";"1995-1996";"1996-1997";"1997-1998";"1998-1999";"1999-2000";"2000-2001";"2001-2002";"2002-2003";"2003-2004";"2004-2005";"2005-2006";"2006-2007";"2007-2008";"2008-2009";"2009-2010";"2010-2011";"2011-2012";"2012-2013";"2013-2014";"2014-2015";"2015-2016"
"Total";"School";..;..;..;..;..;8933;9262;9558;9975;10376;10927;11582;11696;12071;12265;12678;13144;13548;13841;14179;14513
"Total";"Class";67;74;80;83;85;87;87;87;89;93;94;98;100;104;107;119;118;122;126;134;147
"Total";"Teacher";75;84;93;94;98;103;104;104;107;113;117;123;130;138;145;158;174;188;205;216;232
"Total";"Pupil";1932;2093;2258;2248;2200;2212;2172;2144;2173;2330;2427;2524;2593;2774;2909;3061;3320;3551;3614;3755;3979
"Total";"Pupils per class";29;28;28;27;26;25;25;25;24;25;26;26;26;27;27;26;28;29;29;28;27
"Total";"Pupils per teacher";26;25;24;24;23;21;21;21;20;21;21;21;20;20;20;19;19;19;18;17;17
"Index (Previous year = 100) - %";"School";..;..;..;..;..;103;104;103;104;104;105;106;101;103;102;103;104;103;102;102;102
"Index (Previous year = 100) - %";"Class";106;111;108;104;102;103;100;100;101;105;101;104;102;104;103;112;99;103;103;106;110
"Index (Previous year = 100) - %";"Teacher";108;113;110;101;104;106;100;100;103;106;104;105;106;106;105;109;111;108;109;105;108
"Index (Previous year = 100) - %";"Pupil";105;108;108;100;98;101;98;99;101;107;104;104;103;107;105;105;109;107;102;104;106
"Index (Previous year = 100) - %";"Pupils per class";100;108;108;100;96;97;98;98;100;102;103;100;100;103;102;94;110;103;99;98;96
"Index (Previous year = 100) - %";"Pupils per teacher";97;96;98;98;94;95;98;99;99;101;101;99;97;101;100;97;98;97;93;99;99
