"Number of direct teaching teachers of general education as of 30 September by province(*) by Cities, provincies, Year and Items"

"Cities, provincies";"2002 Total";"2002 Primary";"2002 Lower secondary";"2002 Upper secondary";"2003 Total";"2003 Primary";"2003 Lower secondary";"2003 Upper secondary";"2004 Total";"2004 Primary";"2004 Lower secondary";"2004 Upper secondary";"2005 Total";"2005 Primary";"2005 Lower secondary";"2005 Upper secondary";"2006 Total";"2006 Primary";"2006 Lower secondary";"2006 Upper secondary";"2007 Total";"2007 Primary";"2007 Lower secondary";"2007 Upper secondary";"2008 Total";"2008 Primary";"2008 Lower secondary";"2008 Upper secondary";"2009 Total";"2009 Primary";"2009 Lower secondary";"2009 Upper secondary";"2010 Total";"2010 Primary";"2010 Lower secondary";"2010 Upper secondary";"2011 Total";"2011 Primary";"2011 Lower secondary";"2011 Upper secondary";"2012 Total";"2012 Primary";"2012 Lower secondary";"2012 Upper secondary";"2013 Total";"2013 Primary";"2013 Lower secondary";"2013 Upper secondary";"2014 Total";"2014 Primary";"2014 Lower secondary";"2014 Upper secondary";"2015 Total";"2015 Primary";"2015 Lower secondary";"2015 Upper secondary"
"WHOLE COUNTRY";723471;363094;271755;88622;755384;366215;290410;98759;771015;362448;302459;106108;780538;354757;310250;115531;789663;349519;314905;125239;800623;348727;317534;134362;806864;349695;316973;140196;818725;355165;317239;146321;830923;365772;316243;148908;828148;366045;311970;150133;847536;381432;315189;150915;855235;386953;315593;152689;856730;392136;312587;152007;861269;396843;313526;150900
"Red River Delta";167668;71070;72011;24587;170264;69712;73126;27426;171527;69448;74501;27578;171516;67727;74500;29289;171615;67097;73237;31281;172047;66169;72370;33508;172577;66438;71285;34854;175900;68484;71508;35908;178225;70767;70116;37342;175720;70407;69102;36211;179104;73331;69339;36434;180935;75466;69449;36020;180731;76702;68255;35774;181425;78060;68769;34596
"Ha Noi";22620;8674;9478;4468;23140;8611;9478;5051;23502;8819;9713;4970;23928;8855;9810;5263;24007;8669;9628;5710;24105;8580;9506;6019;52689;20246;20970;11473;53235;20545;20614;12076;54285;21189;20689;12407;53166;20879;20134;12153;54908;22090;20455;12363;56024;22806;20782;12436;56274;23639;20563;12072;56741;24171;21392;11178
"Ha Tay";25669;11193;11292;3184;27445;11521;11854;4070;26400;11357;11740;3303;26630;11346;11560;3724;25986;10888;11088;4010;26025;10692;10808;4525;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Vinh Phuc";11018;4725;4773;1520;11538;4647;5118;1773;11706;4565;5232;1909;11745;4451;5268;2026;11332;4293;5046;1993;11901;4464;5255;2182;9975;3705;4370;1900;10065;3807;4431;1827;10176;3903;4274;1999;10145;3826;4260;2059;10233;4088;4131;2014;10617;4311;4204;2102;10412;4225;4133;2054;10629;4469;4081;2079
"Bac Ninh";9339;4099;3602;1638;9633;4049;3748;1836;9681;3851;3830;2000;9695;3678;3866;2151;9917;3660;3887;2370;10128;3560;4058;2510;9838;3587;3756;2495;10035;3741;3873;2421;10059;3783;3847;2429;9642;3609;3802;2231;10202;4064;3886;2252;10105;4077;3818;2210;10224;4109;3885;2230;10890;4480;4126;2284
"Quang Ninh";10769;5113;4274;1382;11016;5195;4382;1439;11484;5222;4625;1637;11864;5207;4952;1705;12629;5812;4893;1924;11969;5076;4868;2025;12309;5314;4813;2182;12515;6;5;2255;13131;5725;4667;2739;12147;5401;4527;2219;12620;5730;4522;2368;13103;6166;4617;2320;12426;5933;4151;2342;12540;6003;4161;2376
"Hai Duong";14522;6243;6310;1969;14771;6105;6410;2256;14272;5778;6427;2067;13899;5367;6366;2166;14080;5443;6329;2308;14550;5746;6354;2450;14705;6006;6204;2495;14782;6184;6180;2418;15574;6562;6057;2955;15749;6840;6163;2746;15826;6950;6169;2707;15829;7182;5977;2670;15943;7304;5828;2811;16115;7510;5821;2784
"Hai Phong";15946;6054;6816;3076;16513;6273;7048;3192;16429;6117;7042;3270;16358;5897;6986;3475;16371;5994;6758;3619;16515;6114;6663;3738;16338;5985;6645;3708;16705;6335;6482;3888;16513;6196;6210;4107;16287;6269;5897;4121;16158;6377;5959;3822;16087;6416;5907;3764;15908;6427;5819;3662;15697;6497;5698;3502
"Hung Yen";9431;4269;3926;1236;9727;4273;4088;1366;9730;4123;4139;1468;9837;3890;4291;1656;9814;3727;4276;1811;10190;3850;4338;2002;9990;3648;4304;2038;9992;3668;4233;2091;10159;3742;4304;2113;10335;3965;4266;2104;10819;4066;4368;2385;10426;4181;4269;1976;10584;4353;4253;1978;10704;4421;4305;1978
