"Number of direct teaching woman teachers of general education as of 30 September by province(*) by Cities, provincies, Year and Items"

"Cities, provincies";"2004 Total";"2004 Primary";"2004 Lower secondary";"2004 Upper secondary";"2005 Total";"2005 Primary";"2005 Lower secondary";"2005 Upper secondary";"2006 Total";"2006 Primary";"2006 Lower secondary";"2006 Upper secondary";"2007 Total";"2007 Primary";"2007 Lower secondary";"2007 Upper secondary";"2008 Total";"2008 Primary";"2008 Lower secondary";"2008 Upper secondary";"2009 Total";"2009 Primary";"2009 Lower secondary";"2009 Upper secondary";"2010 Total";"2010 Primary";"2010 Lower secondary";"2010 Upper secondary";"2011 Total";"2011 Primary";"2011 Lower secondary";"2011 Upper secondary";"2012 Total";"2012 Primary";"2012 Lower secondary";"2012 Upper secondary";"2013 Total";"2013 Primary";"2013 Lower secondary";"2013 Upper secondary";"2014 Total";"2014 Primary";"2014 Lower secondary";"2014 Upper secondary";"2015 Total";"2015 Primary";"2015 Lower secondary";"2015 Upper secondary"
"WHOLE COUNTRY";546294;282204;204433;59657;550232;276304;208776;65152;557236;271960;213806;71470;564404;272357;214991;77056;568555;273112;213333;82110;579079;275631;216777;86671;590040;283938;215693;90409;587179;283361;211995;91823;596788;293303;212067;91418;600476;292515;214029;93932;613916;304391;213625;95900;618844;308883;214427;95534
"Red River Delta";136559;62417;57088;17054;137003;61094;57272;18637;136544;60446;56055;20043;136972;59807;55526;21639;137672;60142;54050;23480;141347;61725;55745;23877;143607;63602;54308;25697;142009;63219;53589;25201;143777;64977;53515;25285;140658;61305;53532;25821;148089;69114;52984;25991;150220;70725;54182;25313
"Ha Noi";18729;7804;7818;3107;19588;8095;7902;3591;19725;7982;7960;3783;20065;7976;7813;4276;43089;18376;16650;8063;43497;18637;16722;8138;44650;19319;16459;8872;43531;18954;15932;8645;43971;19854;15607;8510;39346;14226;16095;9025;46534;21560;16159;8815;47725;22153;17324;8248
"Ha Tay";21269;10225;8969;2075;21177;9865;8908;2404;21100;9891;8552;2657;21062;9681;8316;3065;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Vinh Phuc";8168;3617;3434;1117;8398;3828;3384;1186;8400;3688;3484;1228;8669;3764;3544;1361;7245;3056;2968;1221;7545;3219;3054;1272;7655;3329;2891;1435;7774;3306;2961;1507;7644;3389;2834;1421;8242;3725;2948;1569;8063;3641;2878;1544;8316;3887;2880;1549
"Bac Ninh";7266;3367;2736;1163;7190;3206;2737;1247;7378;3203;2764;1411;7550;3160;2885;1505;7746;3175;2738;1833;7588;3273;2799;1516;7756;3407;2747;1602;7405;3184;2788;1433;7386;3142;2698;1546;7845;3595;2744;1506;7836;3522;2771;1543;8920;4095;3203;1622
"Quang Ninh";10090;4807;4091;1192;10146;4783;4133;1230;10431;5168;3980;1283;9903;4634;4006;1263;10241;4783;3959;1499;10412;4994;3885;1533;10834;5143;3814;1877;10183;4903;3717;1563;10598;5181;3711;1706;10795;5473;3753;1569;10433;5320;3422;1691;10537;5394;3392;1751
"Hai Duong";11451;5299;4930;1222;11114;4916;4849;1349;11180;4929;4817;1434;11495;5146;4797;1552;11664;5399;4684;1581;11914;5575;4834;1505;12493;5916;4738;1839;12796;6149;4799;1848;13293;6237;5238;1818;13008;6480;4657;1871;13094;6593;4541;1960;13256;6746;4548;1962
"Hai Phong";13509;5725;5613;2171;13005;5409;5299;2297;13348;5549;5372;2427;13510;5655;5328;2527;13220;5549;5157;2514;13678;5848;5248;2582;13655;5786;5004;2865;13483;5866;4755;2862;13587;5976;4855;2756;13462;5966;4781;2715;13344;6002;4691;2651;13175;6054;4600;2521
"Hung Yen";8122;3816;3407;899;8075;3556;3461;1058;7845;3328;3372;1145;8179;3474;3449;1256;7896;3416;3095;1385;7997;3259;3275;1463;8044;3236;3341;1467;8230;3388;3351;1491;8926;3724;3463;1739;8708;3835;3386;1487;8863;3979;3391;1493;8958;4060;3465;1433
"Thai Binh";12780;5994;5477;1309;13251;6142;5866;1243;12540;5760;5403;1377;12400;5870;5135;1395;12688;6057;5085;1546;13380;6220;5286;1874;13198;6307;5286;1605;13671;6473;5509;1689;13168;6307;5286;1575;13705;6429;5556;1720;13870;6520;5421;1929;13562;6447;5326;1789
"Ha Nam";5689;2604;2401;684;5619;2525;2367;727;5652;2502;2370;780;5528;2349;2400;779;5553;2353;2325;875;5906;2493;2482;931;5948;2617;2365;966;5800;2530;2295;975;5714;2496;2175;1043;5977;2748;2218;1011;6011;2824;2206;981;5925;2801;2134;990
"Nam Dinh";12466;5771;5292;1403;12306;5574;5304;1428;12199;5524;5114;1561;12024;5136;5157;1731;12159;5154;5097;1908;12772;5268;5493;2011;12696;5550;5039;2107;12717;5519;5032;2166;13024;5749;5078;2197;13006;5847;4937;2222;13108;5974;4879;2255;12861;5871;4696;2294
"Ninh Binh";7020;3388;2920;712;7134;3195;3062;877;6746;2922;2867;957;6587;2962;2696;929;6171;2824;2292;1055;6658;2939;2667;1052;6678;2992;2624;1062;6419;2947;2450;1022;6466;2922;2570;974;6564;2981;2457;1126;6933;3179;2625;1129;6985;3217;2614;1154
"Northern midlands and mountain areas";98655;53824;35807;9024;98742;52785;36310;9647;99575;51403;37321;10851;99429;50865;37317;11247;98984;50973;36326;11685;101032;52014;36698;12320;103346;53576;36781;12989;99988;52115;35003;12870;100620;53052;34823;12745;102788;54105;35386;13297;103237;54624;35427;13186;103002;54850;34863;13289
