"Number of ethnic minority direct teaching teachers of general education as of 30 September by some provinces(*) by Province, city, Year and Items"

"Province, city";"2004 Total";"2004 Primary";"2004 Lower secondary";"2004 Upper secondary";"2005 Total";"2005 Primary";"2005 Lower secondary";"2005 Upper secondary";"2006 Total";"2006 Primary";"2006 Lower secondary";"2006 Upper secondary";"2007 Total";"2007 Primary";"2007 Lower secondary";"2007 Upper secondary";"2008 Total";"2008 Primary";"2008 Lower secondary";"2008 Upper secondary";"2009 Total";"2009 Primary";"2009 Lower secondary";"2009 Upper secondary";"2010 Total";"2010 Primary";"2010 Lower secondary";"2010 Upper secondary";"2012 Total";"2012 Primary";"2012 Lower secondary";"2012 Upper secondary";"2013 Total";"2013 Primary";"2013 Lower secondary";"2013 Upper secondary";"2014 Total";"2014 Primary";"2014 Lower secondary";"2014 Upper secondary";"2015 Total";"2015 Primary";"2015 Lower secondary";"2015 Upper secondary"
"WHOLE COUNTRY";60347;38673;17637;4037;62557;39343;18731;4483;60739;36337;19112;5290;64737;38836;20338;5563;66681;38763;21705;6213;69496;39865;22852;6779;74962;42478;22826;7470;79713;47096;24668;7949;80508;46980;24867;8661;83292;49713;24850;8729;84248;50634;24978;8636
"Ha Tay";..;..;..;..;..;..;..;..;261;122;101;38;251;104;109;38;412;188;161;63;306;120;123;63;378;152;161;65;359;173;111;75;354;135;133;86;464;215;168;81;513;226;191;96
"Vinh Phuc";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;199;88;53;58;197;89;50;58;209;104;57;48
"Quang Ninh";912;699;149;64;908;688;150;70;978;751;168;59;909;684;179;46;996;703;217;76;1088;778;226;84;1181;828;239;114;249;..;249;..;1279;895;277;107;1250;901;234;115;1234;858;266;110
"Ninh Binh";..;..;..;..;..;..;..;..;118;73;19;26;105;67;20;18;110;46;18;46;122;47;29;46;116;45;34;37;149;63;35;51;179;62;43;74;187;71;55;61;183;62;58;63
"Ha Giang";4233;3185;868;180;4585;3246;1129;210;4161;2850;1064;247;4598;3172;1207;219;4746;3167;1287;292;4638;2952;1405;281;5116;3198;1596;322;5815;3797;1649;369;5888;3721;1783;384;5757;3630;1743;384;5858;3723;1726;409
"Cao Bang";5908;3640;1777;491;6076;3661;1951;464;6527;3699;2196;632;6353;3445;2215;693;6313;3329;2192;792;6827;3624;2413;790;7062;3768;2468;826;6901;3809;2357;735;7089;3988;2304;797;7111;4028;2311;772;7055;4047;2270;738
"Bac Kan";2969;1594;1090;285;2963;1529;1126;308;1587;153;1126;308;2960;1530;1138;292;3417;1753;1214;450;3482;1868;1185;429;3425;1883;1122;420;3690;1923;1287;480;3424;1962;1061;401;3452;1979;1074;399;3499;2026;1094;379
"Tuyen Quang";2589;1588;740;261;3018;1625;1070;323;2643;1501;806;336;2675;1566;791;318;2645;1276;1042;327;2628;1474;839;315;2760;1605;833;322;2751;1627;783;341;2746;1593;816;337;2821;1649;850;322;2885;1739;832;314
"Lao Cai";1437;997;360;80;1455;986;383;86;1506;956;447;103;1557;992;432;133;1760;1104;529;127;1876;1117;596;163;1614;1039;430;145;2722;1737;778;207;2764;1744;808;212;2916;1917;788;211;3042;1983;818;241
