"Number of ethnic minority pupils of general education as of 30 September by some provinces(*) by Cities, provincies, Years and Items"

"Cities, provincies";"2004 Total";"2004 Primary";"2004 Lower secondary";"2004 Upper secondary";"2005 Total";"2005 Primary";"2005 Lower secondary";"2005 Upper secondary";"2006 Total";"2006 Primary";"2006 Lower secondary";"2006 Upper secondary";"2007 Total";"2007 Primary";"2007 Lower secondary";"2007 Upper secondary";"2008 Total";"2008 Primary";"2008 Lower secondary";"2008 Upper secondary";"2009 Total";"2009 Primary";"2009 Lower secondary";"2009 Upper secondary";"2010 Total";"2010 Primary";"2010 Lower secondary";"2010 Upper secondary";"2011 Total";"2011 Primary";"2011 Lower secondary";"2011 Upper secondary";"2012 Total";"2012 Primary";"2012 Lower secondary";"2012 Upper secondary";"2013 Total";"2013 Primary";"2013 Lower secondary";"2013 Upper secondary";"2014 Total";"2014 Primary";"2014 Lower secondary";"2014 Upper secondary";"2015 Total";"2015 Primary";"2015 Lower secondary";"2015 Upper secondary"
"WHOLE COUNTRY";..;..;..;..;2765879;1441867;993947;330065;2467121;1262769;898230;306122;2395650;1222390;875236;298024;2288011;1193858;818862;275291;2278331;1199981;801167;277183;2225950;1151116;763344;276151;2318731;1244771;774358;299602;2335243;1265096;777521;292626;2398250;1304217;794439;299594;2432892;1319029;816995;296868;2487832;1354009;834429;299394
"Ha Noi";..;..;..;..;..;..;..;..;738;212;257;269;892;298;364;230;9698;4284;3567;1847;8751;4260;2638;1853;9855;4965;3069;1821;9340;4517;2997;2;10932;5772;3408;1752;15541;6049;3711;5781;11947;5802;4306;1839;12813;6489;4435;1889
"Ha Tay";6313;2610;2597;1106;5951;2497;2556;898;5986;2521;2376;1089;5747;2559;2157;1031;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Vinh Phuc";10384;4869;4393;1122;9619;4424;3936;1259;9433;3848;4203;1382;9414;4064;4040;1310;9954;4045;3653;2256;8878;4014;3339;1525;8526;3903;3305;1318;8572;3996;3252;1;8776;4233;3215;1328;8876;4393;3151;1332;9108;4627;3187;1294;9514;4957;3206;1351
"Quang Ninh";29590;16009;10260;3321;29018;15074;10088;3856;27927;16678;9884;1365;28291;13488;10782;4021;27815;13325;10648;3842;26790;12662;10305;3823;27449;12825;9984;4640;29526;15788;9831;4;26078;12506;9688;3884;26673;13314;9639;3720;26189;13516;8758;3915;27415;13859;9715;3841
"Hai Duong";..;..;..;..;..;..;..;..;1035;450;310;275;986;477;375;134;1174;659;390;125;972;469;358;145;951;471;342;138;1351;809;378;164;1075;449;339;287;986;472;341;173;1681;485;1028;168;947;472;304;171
"Ninh Binh";5592;2300;2568;724;5733;2363;2689;681;4910;1944;2272;694;4519;2040;2048;431;4906;1974;2090;842;4244;1968;1731;545;4120;2042;1518;560;3461;2127;772;562;4359;2201;1594;564;4475;2388;1559;528;4712;2569;1601;542;5012;2776;1661;575
"Ha Giang";128955;82970;35587;10398;128881;79243;38618;11020;123248;71524;40820;10904;122394;69108;41904;11382;122528;68404;42282;11842;121156;66250;42797;12109;120410;67328;41230;11852;116674;63003;41029;12642;125427;70449;42191;12787;124855;72496;41747;10612;127969;71900;42757;13312;135104;78764;43238;13102
"Cao Bang";117057;54218;43983;18856;113163;49364;41695;22104;107737;46046;38956;22735;97207;44267;33008;19932;95921;43178;33023;19720;89718;42757;30583;16378;85778;41682;29053;15043;83732;42005;28663;13064;83208;41769;27523;13916;83289;42429;27536;13324;81888;41985;27467;12436;82439;42190;28252;11997
"Bac Kan";63270;27651;23978;11641;59030;24826;22588;11616;55253;22400;21588;11265;51041;21767;19563;9711;44190;20871;15478;7841;45396;20035;15612;9749;45314;20946;15494;8874;44291;21001;14498;8792;43515;21007;14705;7803;43416;21491;14582;7343;43674;21529;14990;7155;44604;21843;15576;7185
"Tuyen Quang";100406;41494;41126;17786;96580;37925;38449;20206;90383;35068;36388;18927;80449;33818;31663;14968;77014;34191;28537;14286;74766;33828;26781;14157;74434;35339;25348;13747;75367;36022;25539;13806;75640;36768;25481;13391;77103;38168;25795;13140;77516;38063;26792;12661;82029;41732;27770;12527
