"Number of school of general education as of 30 September by province by Cities, provincies, Year and Items"

"Cities, provincies";"2002 Total";"2002 Primary";"2002 Lower Secondary";"2002 Upper Secondary";"2002 Primary and lower secondary";"2002 Lower and upper Secondary";"2003 Total";"2003 Primary";"2003 Lower Secondary";"2003 Upper Secondary";"2003 Primary and lower secondary";"2003 Lower and upper Secondary";"2004 Total";"2004 Primary";"2004 Lower Secondary";"2004 Upper Secondary";"2004 Primary and lower secondary";"2004 Lower and upper Secondary";"2005 Total";"2005 Primary";"2005 Lower Secondary";"2005 Upper Secondary";"2005 Primary and lower secondary";"2005 Lower and upper Secondary";"2006 Total";"2006 Primary";"2006 Lower Secondary";"2006 Upper Secondary";"2006 Primary and lower secondary";"2006 Lower and upper Secondary";"2007 Total";"2007 Primary";"2007 Lower Secondary";"2007 Upper Secondary";"2007 Primary and lower secondary";"2007 Lower and upper Secondary";"2008 Total";"2008 Primary";"2008 Lower Secondary";"2008 Upper Secondary";"2008 Primary and lower secondary";"2008 Lower and upper Secondary";"2009 Total";"2009 Primary";"2009 Lower Secondary";"2009 Upper Secondary";"2009 Primary and lower secondary";"2009 Lower and upper Secondary";"2010 Total";"2010 Primary";"2010 Lower Secondary";"2010 Upper Secondary";"2010 Primary and lower secondary";"2010 Lower and upper Secondary";"2011 Total";"2011 Primary";"2011 Lower Secondary";"2011 Upper Secondary";"2011 Primary and lower secondary";"2011 Lower and upper Secondary";"2012 Total";"2012 Primary";"2012 Lower Secondary";"2012 Upper Secondary";"2012 Primary and lower secondary";"2012 Lower and upper Secondary";"2013 Total";"2013 Primary";"2013 Lower Secondary";"2013 Upper Secondary";"2013 Primary and lower secondary";"2013 Lower and upper Secondary";"2014 Total";"2014 Primary";"2014 Lower Secondary";"2014 Upper Secondary";"2014 Primary and lower secondary";"2014 Lower and upper Secondary";"2015 Total";"2015 Primary";"2015 Lower Secondary";"2015 Upper Secondary";"2015 Primary and lower secondary";"2015 Lower and upper Secondary"
"WHOLE COUNTRY";25825;14163;8396;1532;1197;537;26352;14346;8745;1664;1143;454;26817;14518;9041;1828;1034;396;27227;14688;9383;1952;889;315;27593;14834;9635;2044;773;307;27898;14933;9781;2149;727;308;28114;15051;9902;2192;674;295;28408;15172;10064;2267;611;294;28593;15242;10143;2288;601;319;28803;15337;10243;2350;554;319;28916;15361;10290;2361;557;347;28977;15337;10290;2404;592;354;28922;15277;10293;2386;585;381;28951;15254;10312;2399;597;389
"Red River Delta";5604;2647;2363;489;90;15;5635;2662;2377;500;85;11;5671;2667;2380;530;80;14;5688;2684;2395;507;75;27;5725;2694;2407;547;66;11;5779;2705;2418;581;65;10;5778;2705;2420;579;63;11;5815;2715;2426;599;57;18;5819;2719;2423;570;63;44;5840;2730;2434;577;62;37;5864;2737;2441;577;59;50;5922;2762;2448;614;61;37;5886;2756;2445;592;51;42;5892;2752;2446;595;57;42
"Ha Noi";595;272;221;98;3;1;596;271;225;97;3;..;582;269;215;96;2;..;588;273;214;81;4;16;595;277;218;100;..;..;602;280;219;103;..;..;1440;674;584;182;..;..;1461;677;581;186;7;10;1471;681;589;162;7;32;1483;687;595;167;7;27;1498;692;599;168;6;33;1531;696;605;205;6;19;1522;707;607;183;..;25;1549;717;617;183;7;25
"Ha Tay";751;354;335;58;2;2;755;357;335;59;2;2;758;358;336;59;2;3;760;358;337;61;2;2;763;359;337;63;2;2;769;361;337;67;2;2;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Vinh Phuc";374;187;151;32;3;1;381;189;152;36;3;1;390;193;155;38;3;1;398;199;158;38;2;1;412;204;162;43;2;1;417;205;167;43;1;1;356;173;144;37;1;1;357;173;145;38;1;..;355;174;145;36;..;..;355;174;145;36;..;..;358;173;146;37;1;1;359;173;146;37;1;2;359;173;146;37;1;2;360;174;146;37;1;2
"Bac Ninh";308;149;130;29;..;..;308;149;131;28;..;..;310;149;132;29;..;..;317;150;133;34;..;..;318;150;133;35;..;..;322;150;136;36;..;..;321;150;134;37;..;..;321;150;134;37;..;..;319;148;134;37;..;..;322;152;134;36;..;..;321;152;134;35;..;..;322;153;134;35;..;..;323;153;135;35;..;..;326;154;135;35;..;2
"Quang Ninh";361;142;111;30;71;7;375;150;122;33;66;4;384;154;127;33;63;7;392;158;135;37;57;5;396;161;137;40;52;6;405;164;139;45;52;5;407;164;139;44;52;8;413;172;140;44;49;8;416;173;143;45;46;9;421;177;146;46;45;7;427;180;149;46;41;11;435;183;153;46;42;11;429;183;151;47;38;10;425;180;150;47;38;10
"Hai Duong";589;278;270;41;..;..;590;278;270;42;..;..;595;279;273;43;..;..;595;279;273;43;..;..;598;279;273;46;..;..;602;279;273;50;..;..;604;279;273;52;..;..;605;279;273;53;..;..;604;279;272;53;..;..;605;279;272;54;..;..;605;279;272;54;..;..;604;279;271;54;..;..;607;281;272;54;..;..;608;282;272;54;..;..
"Hai Phong";470;217;189;49;11;4;473;217;190;51;11;4;472;217;190;52;10;3;476;218;192;53;10;3;476;216;194;54;10;2;482;218;194;58;10;2;479;218;194;55;10;2;479;218;204;57;..;..;478;219;193;53;10;3;475;218;193;51;10;3;477;218;193;50;11;5;489;232;190;51;11;5;488;231;190;52;11;4;468;216;184;55;11;2
"Hung Yen";359;166;167;26;..;..;363;169;167;27;..;..;385;169;167;49;..;..;366;169;168;29;..;..;367;169;168;30;..;..;371;169;169;33;..;..;364;169;169;26;..;..;375;169;169;37;..;..;375;169;169;37;..;..;375;169;169;37;..;..;375;169;169;37;..;..;379;169;171;38;1;..;380;169;171;38;1;1;380;170;171;38;..;1
"Thai Binh";613;293;281;39;..;..;608;293;276;39;..;..;608;293;276;39;..;..;609;294;276;39;..;..;610;294;276;40;..;..;609;294;274;41;..;..;608;293;274;41;..;..;606;293;272;41;..;..;603;293;270;40;..;..;604;293;271;40;..;..;604;293;271;40;..;..;606;295;271;40;..;..;605;295;271;39;..;..;603;295;269;39;..;..
"Ha Nam";281;139;120;22;..;..;283;139;121;23;..;..;284;139;121;24;..;..;284;139;121;24;..;..;284;139;121;24;..;..;285;139;121;25;..;..;285;140;120;25;..;..;285;140;120;25;..;..;285;140;120;25;..;..;287;140;120;27;..;..;287;140;120;27;..;..;285;140;119;26;..;..;262;121;118;23;..;..;262;121;118;23;..;..
"Nam Dinh";582;295;245;42;..;..;582;295;245;42;..;..;581;293;245;43;..;..;581;293;245;43;..;..;583;292;245;46;..;..;590;292;245;53;..;..;590;292;245;53;..;..;590;291;245;54;..;..;591;291;245;55;..;..;592;290;246;56;..;..;593;291;246;56;..;..;593;292;246;55;..;..;592;293;242;57;..;..;592;293;242;57;..;..
"Ninh Binh";321;155;143;23;..;..;321;155;143;23;..;..;322;154;143;25;..;..;322;154;143;25;..;..;323;154;143;26;..;..;325;154;144;27;..;..;324;153;144;27;..;..;323;153;143;27;..;..;322;152;143;27;..;..;321;151;143;27;..;..;319;150;142;27;..;..;319;150;142;27;..;..;319;150;142;27;..;..;319;150;142;27;..;..
"Northern midlands and mountain areas";4892;2273;1523;251;769;76;5095;2352;1688;275;711;69;5291;2482;1839;299;613;58;5475;2577;2033;331;496;38;5616;2678;2150;347;404;37;5709;2727;2203;358;383;38;5751;2776;2233;372;338;32;5865;2843;2315;397;285;25;5916;2876;2351;394;270;25;5987;2932;2394;397;235;29;5997;2945;2405;395;225;27;6032;2959;2422;400;223;28;6040;2960;2411;396;233;40;6030;2951;2402;399;239;39
"Ha Giang";283;136;34;8;94;11;291;136;41;8;95;11;327;145;68;16;92;6;347;138;89;18;96;6;369;146;110;18;89;6;375;150;116;18;83;8;381;156;128;18;70;9;399;173;147;19;52;8;408;178;156;21;45;8;415;184;161;22;40;8;420;189;165;22;36;8;424;193;166;22;34;9;425;193;167;22;34;9;430;197;171;23;30;9
