"Number of schoolgirls of general education as of 30 September by province(*) by Cities, provincies, Year and Items"

"Cities, provincies";"2004 Total";"2004 Primary";"2004 Lower secondary";"2004 Upper secondary";"2005 Total";"2005 Primary";"2005 Lower secondary";"2005 Upper secondary";"2006 Total";"2006 Primary";"2006 Lower secondary";"2006 Upper secondary";"2007 Total";"2007 Primary";"2007 Lower secondary";"2007 Upper secondary";"2008 Total";"2008 Primary";"2008 Lower secondary";"2008 Upper secondary";"2009 Total";"2009 Primary";"2009 Lower secondary";"2009 Upper secondary";"2010 Total";"2010 Primary";"2010 Lower secondary";"2010 Upper secondary";"2011 Total";"2011 Primary";"2011 Lower secondary";"2011 Upper secondary";"2012 Total";"2012 Primary";"2012 Lower secondary";"2012 Upper secondary";"2013 Total";"2013 Primary";"2013 Lower secondary";"2013 Upper secondary";"2014 Total";"2014 Primary";"2014 Lower secondary";"2014 Upper secondary";"2015 Total";"2015 Primary";"2015 Lower secondary";"2015 Upper secondary"
"WHOLE COUNTRY";8234779;3691844;3193937;1348998;8085950;3523175;3094368;1468407;7887566;3407538;2965140;1514888;7669275;3284206;2830440;1556774;7434684;3230700;2661017;1542967;7337323;3322113;2515272;1499938;7304361;3392061;2416499;1495801;7301981;3447654;2388172;1466155;7226826;3444731;2363611;1418484;7301157;3559759;2401840;1339558;7396850;3611152;2489545;1296153;7540074;3735231;2506551;1298292
"Red River Delta";1800170;717893;735542;346735;1731308;681668;682940;366700;1721504;677181;647368;396955;1658821;643719;612188;402914;1600051;640412;570575;389064;1565672;659365;539562;366745;1568819;678751;525869;364199;1547202;682721;511116;353365;1560389;712335;506683;341371;1574259;750439;505854;317966;1607205;769927;530263;307015;1652278;810529;535256;306493
"Ha Noi";234827;94121;89340;51366;239113;98112;86497;54504;241347;97417;85401;58529;240592;96077;84156;60359;488082;198751;170130;119201;485850;212150;158904;114796;505581;226472;165515;113594;497023;229656;154842;112525;513238;248541;155902;108795;528336;266079;160720;101537;548183;274850;176227;97106;572800;291552;184703;96545
"Ha Tay";254371;100725;99103;54543;237014;96394;93922;46698;244926;94796;88823;61307;237293;92354;84447;60492;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Vinh Phuc";120518;48341;50528;21649;112226;43878;45226;23122;110052;43220;43465;23367;106803;41512;40781;24510;86190;34509;31386;20295;81513;35035;29736;16742;78414;35504;27095;15815;84034;37649;27193;19192;83646;38854;26444;18348;85921;41828;26702;17391;87770;43746;28099;15925;89511;45870;27942;15699
"Bac Ninh";107647;42343;42296;23008;105922;40643;40321;24958;104457;40055;37828;26574;99967;37898;35529;26540;97487;38374;33551;25562;91034;37801;32056;21177;94091;39445;30947;23699;92940;39517;31377;22046;92792;40921;30300;21571;92650;41955;29915;20780;95815;42933;32556;20326;96153;44826;30904;20423
"Quang Ninh";110014;47057;42417;20540;108634;44248;41337;23049;107161;44632;37906;24623;105348;41600;38895;24853;101924;41570;35931;24423;98486;41496;34508;22482;100059;42275;32381;25403;99050;45246;32195;21609;96447;43284;32160;21003;96482;46200;31764;18518;97568;47863;30913;18792;102779;50863;33023;18893
"Hai Duong";161093;62358;68087;30648;154661;59555;61758;33348;149176;58501;57125;33550;145925;57822;54112;33991;140464;58140;49981;32343;135932;56573;47510;31849;132283;56486;46079;29718;131604;56578;46039;28987;134302;58996;46633;28673;130750;59653;44053;27044;132791;60731;45188;26872;135752;64586;44449;26717
"Hai Phong";162882;62562;66625;33695;157201;58518;62378;36305;153541;56158;58473;38910;148439;54164;54966;39309;142434;53495;50160;38779;138727;56632;46694;35401;137043;57848;43245;35950;132674;58516;42309;31849;134607;61164;43166;30277;137344;66749;42691;27904;141085;69618;44574;26893;147360;74129;45579;27652
"Hung Yen";113737;44165;48578;20994;108770;41588;43709;23473;106026;39337;40630;26059;101500;38139;38143;25218;94380;36691;34645;23044;93939;37425;34895;21619;89357;36698;31877;20782;89137;37673;31450;20014;86569;37929;29277;19363;87427;40064;28891;18472;87269;41127;29438;16704;89105;43230;28658;17217
"Thai Binh";171054;68816;72309;29929;157692;61606;62190;33896;166357;68333;62350;35674;148140;58772;55040;34328;141096;56410;50509;34177;138884;58854;46425;33605;139481;60643;48047;30791;135380;57470;48057;29853;136306;58441;46833;31032;133136;60060;46006;27070;135894;60301;46793;28800;135606;62253;45163;28190
"Ha Nam";79316;32071;33651;13594;77638;30225;31922;15491;73259;28918;29529;14812;72812;27772;27576;17464;68864;26854;25635;16375;67279;27572;24276;15431;65684;27707;22638;15339;64903;27863;21984;15056;64097;27983;21339;14775;64071;28873;21206;13992;63936;29100;21685;13151;64438;30074;21468;12896
"Nam Dinh";189202;80142;80428;28632;182350;74451;75232;32667;178661;73944;71237;33480;169907;68092;66505;35310;164661;66467;62054;36140;160289;65755;58936;35598;155455;65405;54343;35707;153508;63584;53314;36610;149252;64600;51881;32771;148151;65976;50830;31345;147277;66923;50993;29361;147473;68951;49833;28689
