"Number of schools and classes of general education as of 30 September by Items, Schools and classes and Year"

"Items";"Schools and classes";"1995 - 1996";"1996-1997";"1997-1998";"1998-1999";"1999 - 2000";"2000 - 2001";"2001 - 2002";"2002 - 2003";"2003 - 2004";"2004 - 2005";"2005-2006";"2006-2007";"2007-2008";"2008-2009";"2009-2010";"2010-2011";"2011-2012";"2012-2013";"2013-2014";"2014-2015";"2015-2016"
"Number";"Schools (School)";21049.0;21754.0;22664.0;23414.0;24012.0;24692.0;25225.0;25825.0;26352.0;26817.0;27227.0;27593.0;27898.0;28114.0;28408.0;28593.0;28803.0;28916.0;28977.0;28922.0;28951.0
"Number";"   Primary school (School)";11701.0;12145.0;12764.0;13259.0;13517.0;13859.0;13903.0;14163.0;14346.0;14518.0;14688.0;14834.0;14933.0;15051.0;15172.0;15242.0;15337.0;15361.0;15337.0;15277.0;15254.0
"Number";"Lower secondary school (School)";5902.0;6340.0;6258.0;7164.0;7417.0;7741.0;8096.0;8396.0;8745.0;9041.0;9383.0;9635.0;9781.0;9902.0;10064.0;10143.0;10243.0;10290.0;10290.0;10293.0;10312.0
"Number";"Upper secondary school (School)";644.0;703.0;894.0;962.0;1101.0;1258.0;1396.0;1532.0;1664.0;1828.0;1952.0;2044.0;2149.0;2192.0;2267.0;2288.0;2350.0;2361.0;2404.0;2386.0;2399.0
"Number";"Primary and lower secondary school (School)";2101.0;1834.0;2047.0;1349.0;1316.0;1189.0;1265.0;1197.0;1143.0;1034.0;889.0;773.0;727.0;674.0;611.0;601.0;554.0;557.0;592.0;585.0;597.0
"Number";"Lower and upper secondary school";701.0;732.0;701.0;683.0;661.0;645.0;565.0;537.0;454.0;396.0;315.0;307.0;308.0;295.0;294.0;319.0;319.0;347.0;354.0;381.0;389.0
"Number";"Classes (Thous.classes)";436.4;459.7;476.9;494.6;501.2;509.6;518.4;522.2;520.9;519.7;508.7;501.2;495.2;486.2;484.5;490.5;488.1;486.3;490.8;494.5;501.0
"Number";"Classes - Primary (Thous.classes)";310.3;317.9;323.4;327.3;322.4;320.1;314.5;308.8;299.4;288.9;276.6;270.2;266.4;265.1;268.1;272.4;274.7;275.0;279.0;279.9;283.5
"Number";"Classes - Lower secondary (Thous.classes)";104.3;117.2;124.9;133.4;139.5;144.4;153.7;161.3;165.7;170.9;167.5;163.8;160.2;154.3;150.0;151.2;147.1;145.4;147.4;150.7;153.4
"Number";"Classes - Upper secondary (Thous.classes)";21.8;24.6;28.6;33.9;39.3;45.1;50.2;52.1;55.8;59.9;64.6;67.2;68.6;66.8;66.4;66.9;66.3;65.9;64.4;63.9;64.1
"Index (Previous year = 100) - %";"Schools (School)";104.7;103.3;104.2;103.3;102.6;102.8;102.2;102.4;102.0;101.8;101.5;101.3;101.1;100.8;101.0;100.7;100.7;100.4;100.2;99.8;100.1
"Index (Previous year = 100) - %";"   Primary school (School)";106.5;103.8;105.1;103.9;101.9;102.5;100.3;101.9;101.3;101.2;101.2;101.0;100.7;100.8;100.8;100.5;100.6;100.2;99.8;99.6;99.8
"Index (Previous year = 100) - %";"Lower secondary school (School)";111.9;107.4;98.7;114.4;103.6;104.4;104.6;103.7;104.2;103.4;103.8;102.7;101.5;101.2;101.6;100.8;101.0;100.5;100.0;100.0;100.2
"Index (Previous year = 100) - %";"Upper secondary school (School)";104.7;109.2;127.7;107.6;114.4;114.3;111.0;109.7;108.6;109.9;106.8;104.7;105.1;102.0;103.4;100.9;102.7;100.5;101.8;99.3;100.5
"Index (Previous year = 100) - %";"Primary and lower secondary school (School)";82.3;87.3;111.6;65.9;97.6;90.3;106.4;94.6;95.5;90.5;86.0;87.0;94.0;92.7;90.7;98.4;92.2;100.5;106.3;98.8;102.1
"Index (Previous year = 100) - %";"Lower and upper secondary school";104.5;104.4;95.8;97.4;96.8;97.6;87.6;95.0;84.5;87.2;79.5;97.5;100.3;95.8;99.7;108.5;100.0;108.8;102.0;107.6;102.1
"Index (Previous year = 100) - %";"Classes (Thous.classes)";106.6;105.3;103.7;103.7;101.3;101.7;101.7;100.7;99.8;99.8;97.9;98.5;98.8;98.2;99.7;101.2;99.5;99.6;100.9;100.7;101.3
"Index (Previous year = 100) - %";"Classes - Primary (Thous.classes)";103.7;102.4;101.7;101.2;98.5;99.3;98.3;98.2;97.0;96.5;95.7;97.7;98.6;99.5;101.1;101.6;100.8;100.1;101.4;100.3;101.3
"Index (Previous year = 100) - %";"Classes - Lower secondary (Thous.classes)";114.6;112.4;106.6;106.8;104.6;103.5;106.4;104.9;102.7;103.1;98.0;97.8;97.8;96.3;97.2;100.8;97.3;98.8;101.4;102.2;101.8
"Index (Previous year = 100) - %";"Classes - Upper secondary (Thous.classes)";114.1;112.8;116.3;118.5;115.9;114.8;111.3;103.8;107.1;107.3;107.8;104.0;102.1;97.4;99.4;100.7;99.0;99.4;97.7;99.2;100.3
