"Number of schools, classes, teachers and pupils of kindergarten education as of 30 September by province by Cities, provincies, Year and Items"

"Cities, provincies";"2002 School";"2002 Class";"2002 Teacher (Pers.)";"2002 Pupil (Thous. Pupil)";"2003 School";"2003 Class";"2003 Teacher (Pers.)";"2003 Pupil (Thous. Pupil)";"2004 School";"2004 Class";"2004 Teacher (Pers.)";"2004 Pupil (Thous. Pupil)";"2005 School";"2005 Class";"2005 Teacher (Pers.)";"2005 Pupil (Thous. Pupil)";"2006 School";"2006 Class";"2006 Teacher (Pers.)";"2006 Pupil (Thous. Pupil)";"2007 School";"2007 Class";"2007 Teacher (Pers.)";"2007 Pupil (Thous. Pupil)";"2008 School";"2008 Class";"2008 Teacher (Pers.)";"2008 Pupil (Thous. Pupil)";"2009 School";"2009 Class";"2009 Teacher (Pers.)";"2009 Pupil (Thous. Pupil)";"2010 School";"2010 Class";"2010 Teacher (Pers.)";"2010 Pupil (Thous. Pupil)";"2011 School";"2011 Class";"2011 Teacher (Pers.)";"2011 Pupil (Thous. Pupil)";"2012 School";"2012 Class";"2012 Teacher (Pers.)";"2012 Pupil (Thous. Pupil)";"2013 School";"2013 Class";"2013 Teacher (Pers.)";"2013 Pupil (Thous. Pupil)";"2014 School";"2014 Class";"2014 Teacher (Pers.)";"2014 Pupil (Thous. Pupil)";"2015 School";"2015 Class";"2015 Teacher (Pers.)";"2015 Pupil (Thous. Pupil)"
"WHOLE COUNTRY";..;87439;103713;2144;..;88704;106666;2173;10376;92963;112813;2330;10927;93927;117226;2427;11582;97456;122877;2524;11696;99729;130352;2593;12071;103888;138058;2774;12265;106646;144480;2909;12678;119398;157530;3061;13174;117977;174009;3320;13548;121979;188176;3551;13841;125486;204944;3614;14179;133495;215518;3755;14513;147249;231931;3978521
"Red River Delta";..;22157;28243;567;..;22199;28289;576;2686;24322;31850;616;2719;22275;31351;607;2833;23166;32776;636;2763;23492;33035;643;2809;24767;33994;690;2855;24876;35833;737;2893;25815;40411;790;2870;27866;46023;870;3003;28655;53138;938;3089;30139;57638;943;3139;32240;61458;988;3186;37304;64968;1072016
"Ha Noi";..;2467;4049;77;..;2644;4462;82;333;2628;4765;90;360;3023;5395;98;356;3181;5683;109;366;3297;6103;115;767;8231;11287;234;804;7825;12473;255;833;8717;15845;289;857;9538;18736;318;897;9314;22397;352;929;10331;23354;341;960;11769;25960;374;1009;13403;27081;391048
"Ha Tay";..;2984;3646;75;..;3086;3636;76;348;3533;3608;75;358;2774;3870;78;360;3029;3832;81;360;3148;4023;83;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Vinh Phuc";..;1348;1567;33;..;1373;1474;35;167;1364;1492;36;168;1389;1615;38;175;1426;1669;40;175;1571;1943;45;159;1425;1905;43;164;1493;1978;45;169;1608;2209;50;172;1746;2207;52;177;1854;2626;55;181;1960;2871;58;183;1849;2654;56;183;3227;2942;64730
"Bac Ninh";..;1340;1462;35;..;1369;1465;35;138;1389;1561;37;141;1405;1517;37;217;1977;2754;50;141;1450;1606;39;144;1497;1705;42;147;1512;1760;43;147;1590;1872;47;148;1704;2362;51;150;1713;2592;54;153;1772;2917;56;159;1852;2919;59;159;2424;3182;66510
"Quang Ninh";..;1100;1077;22;..;1169;1596;25;202;1311;1746;28;190;1285;2507;27;218;1289;2648;28;202;1354;2734;28;205;1431;1998;29;197;1366;2013;34;197;1488;2619;37;205;1798;2701;47;206;1823;3188;48;209;2107;3817;53;211;2144;3887;55;210;2265;4183;60532
"Hai Duong";..;2419;2834;55;..;2396;2813;55;285;2338;2716;54;284;2307;2735;57;282;2267;2797;56;283;2308;2908;58;287;2292;3058;59;295;2676;3184;72;285;2312;3198;65;286;2421;3674;70;305;2559;4200;79;315;2657;4613;82;318;2844;5164;88;323;3150;5867;97669
"Hai Phong";..;1673;2396;47;..;1664;2341;46;239;1886;2636;49;229;1639;2646;48;234;1675;2644;50;244;1711;2784;53;253;1740;2851;56;252;1794;3004;57;266;1842;3228;61;201;2015;3658;69;264;2213;4310;70;290;2336;4919;74;299;2592;5352;76;279;2871;5611;83755
"Hung Yen";..;1558;1646;35;..;1492;1713;35;165;1512;1669;36;166;1513;1664;36;166;1548;1654;37;166;1621;1631;36;169;1394;1730;36;170;1539;1760;40;170;1523;1807;41;172;1662;1945;46;175;2086;2297;58;176;1855;2533;54;176;1959;2554;53;189;2195;2652;59195
