"Number of students participated in post-graduate and medical specialized training by Type of training and Year"

"Type of training";"2005";"2010";"2011";"2012";"2013";"2014";"Pre. 2015"
"Number of students participated in post-graduate  - Total";34982;67388;85504;72731;101681;102701;110304
"Number of students participated in post-graduate - Doctor";3430;4683;6233;5958;8870;10352;11380
"Number of students participated in post-graduate - Master";31552;62705;79271;66773;92811;92349;98924
"Number of post-graduates - Total";5780;15630;18834;17295;27920;32496;26533
"Number of post-graduates - Doctor";359;504;549;434;790;965;739
"Number of post-graduates - Master";5421;15126;18285;16861;27130;31531;25794
"Number of students participated in medical specialized training  - Total";4957;4858;7264;5647;3254;5387;5512
"Number of students participated in medical specialized training  - Level 1";4245;3988;6021;4506;2519;4389;4281
"Number of students participated in medical specialized training  - Level 2";712;870;1243;1141;735;998;1231
"Number of medical graduates  - Total";1726;1365;2710;1667;1596;2467;..
"Number of medical graduates  - Level 1";1484;1089;2219;1344;1260;1469;..
"Number of medical graduates  - Level 2";242;276;491;323;336;998;..
